total,used,free,log_time
3.6Gi,4.0Mi,3.6Gi,2.465803384780884
3.6Gi,4.0Mi,3.6Gi,3.8250668048858643
3.6Gi,4.0Mi,3.6Gi,5.559409856796265
3.6Gi,4.0Mi,3.6Gi,6.882140398025513
3.6Gi,4.0Mi,3.6Gi,8.265455961227417
3.6Gi,4.0Mi,3.6Gi,9.605839729309082
3.6Gi,4.0Mi,3.6Gi,11.047353982925415
3.6Gi,4.0Mi,3.6Gi,12.482016324996948
3.6Gi,4.0Mi,3.6Gi,13.77802038192749
3.6Gi,4.0Mi,3.6Gi,15.214183807373047
3.6Gi,4.0Mi,3.6Gi,16.622007131576538
3.6Gi,4.0Mi,3.6Gi,18.049866914749146
3.6Gi,4.0Mi,3.6Gi,19.512975454330444
3.6Gi,4.0Mi,3.6Gi,20.900810956954956
3.6Gi,4.0Mi,3.6Gi,22.155460357666016
3.6Gi,4.0Mi,3.6Gi,23.572463035583496
3.6Gi,4.0Mi,3.6Gi,24.929614067077637
3.6Gi,4.0Mi,3.6Gi,26.4014093875885
3.6Gi,4.0Mi,3.6Gi,27.796647787094116
3.6Gi,4.0Mi,3.6Gi,29.066453218460083
