power_budget,powermode_random,bs_random,optim_time_random,optim_power_random,time_budget,arr_rate,soln_random,powermode_nn,bs_nn,optim_time_nn,optim_power_nn,soln_nn
47,8_2201600_318750000_3199000000,1.0,19.27841567993164,17.354,0.05,30,0,8_2201600_318750000_3199000000,1,19.27841567993164,17.354,0
48,8_2201600_318750000_3199000000,1.0,19.27841567993164,17.354,0.05,30,0,8_2201600_318750000_3199000000,1,19.27841567993164,17.354,0
49,8_2201600_318750000_3199000000,1.0,19.27841567993164,17.354,0.05,30,0,8_2201600_318750000_3199000000,1,19.27841567993164,17.354,0
50,8_2201600_318750000_3199000000,1.0,19.27841567993164,17.354,0.05,30,0,8_2201600_318750000_3199000000,1,19.27841567993164,17.354,0
10,8_2201600_318750000_3199000000,1.0,19.27841567993164,17.354,0.06,30,0,8_2201600_318750000_3199000000,1,19.27841567993164,17.354,0
11,8_2201600_318750000_3199000000,1.0,19.27841567993164,17.354,0.06,30,0,8_2201600_318750000_3199000000,1,19.27841567993164,17.354,0
12,8_2201600_318750000_3199000000,1.0,19.27841567993164,17.354,0.06,30,0,8_2201600_318750000_3199000000,1,19.27841567993164,17.354,0
13,8_2201600_318750000_3199000000,1.0,19.27841567993164,17.354,0.06,30,0,8_2201600_318750000_3199000000,1,19.27841567993164,17.354,0
14,8_2201600_318750000_3199000000,1.0,19.27841567993164,17.354,0.06,30,0,8_2201600_318750000_3199000000,1,19.27841567993164,17.354,0
15,8_2201600_318750000_3199000000,1.0,19.27841567993164,17.354,0.06,30,0,8_2201600_318750000_3199000000,1,19.27841567993164,17.354,0
16,8_2201600_318750000_3199000000,1.0,19.27841567993164,17.354,0.06,30,0,8_2201600_318750000_3199000000,1,19.27841567993164,17.354,0
17,8_2201600_318750000_3199000000,1.0,19.27841567993164,17.354,0.06,30,0,8_2201600_318750000_3199000000,1,19.27841567993164,17.354,0
18,8_2201600_318750000_3199000000,1.0,19.27841567993164,17.354,0.06,30,1,8_2201600_318750000_3199000000,1,19.27841567993164,17.354,0
19,8_2201600_318750000_3199000000,1.0,19.27841567993164,17.354,0.06,30,1,8_2201600_318750000_3199000000,1,19.27841567993164,17.354,1
20,8_2201600_318750000_3199000000,1.0,19.27841567993164,17.354,0.06,30,1,8_2201600_318750000_3199000000,1,19.27841567993164,17.354,1
21,8_2201600_318750000_3199000000,1.0,19.27841567993164,17.354,0.06,30,1,8_2201600_318750000_3199000000,1,19.27841567993164,17.354,1
22,8_2201600_318750000_3199000000,1.0,19.27841567993164,17.354,0.06,30,1,8_2201600_318750000_3199000000,1,19.27841567993164,17.354,1
23,8_2201600_318750000_3199000000,1.0,19.27841567993164,17.354,0.06,30,1,8_2201600_318750000_3199000000,1,19.27841567993164,17.354,1
24,8_2201600_318750000_3199000000,1.0,19.27841567993164,17.354,0.06,30,1,8_2201600_318750000_3199000000,1,19.27841567993164,17.354,1
25,8_2201600_318750000_3199000000,1.0,19.27841567993164,17.354,0.06,30,1,8_2201600_318750000_3199000000,1,19.27841567993164,17.354,1
26,8_2201600_318750000_3199000000,1.0,19.27841567993164,17.354,0.06,30,1,8_2201600_318750000_3199000000,1,19.27841567993164,17.354,1
27,8_2201600_318750000_3199000000,1.0,19.27841567993164,17.354,0.06,30,1,8_2201600_318750000_3199000000,1,19.27841567993164,17.354,1
28,8_2201600_318750000_3199000000,1.0,19.27841567993164,17.354,0.06,30,1,8_2201600_318750000_3199000000,1,19.27841567993164,17.354,1
29,8_2201600_318750000_3199000000,1.0,19.27841567993164,17.354,0.06,30,1,8_2201600_318750000_3199000000,1,19.27841567993164,17.354,1
30,8_2201600_318750000_3199000000,1.0,19.27841567993164,17.354,0.06,30,1,8_2201600_318750000_3199000000,1,19.27841567993164,17.354,1
31,8_2201600_318750000_3199000000,1.0,19.27841567993164,17.354,0.06,30,1,8_2201600_318750000_3199000000,1,19.27841567993164,17.354,1
32,8_2201600_318750000_3199000000,1.0,19.27841567993164,17.354,0.06,30,1,8_2201600_318750000_3199000000,1,19.27841567993164,17.354,1
33,8_2201600_318750000_3199000000,1.0,19.27841567993164,17.354,0.06,30,1,8_2201600_318750000_3199000000,1,19.27841567993164,17.354,1
34,8_2201600_318750000_3199000000,1.0,19.27841567993164,17.354,0.06,30,1,8_2201600_318750000_3199000000,1,19.27841567993164,17.354,1
35,8_2201600_318750000_3199000000,1.0,19.27841567993164,17.354,0.06,30,1,8_2201600_318750000_3199000000,1,19.27841567993164,17.354,1
36,8_2201600_318750000_3199000000,1.0,19.27841567993164,17.354,0.06,30,1,8_2201600_318750000_3199000000,1,19.27841567993164,17.354,1
37,8_2201600_318750000_3199000000,1.0,19.27841567993164,17.354,0.06,30,1,8_2201600_318750000_3199000000,1,19.27841567993164,17.354,1
38,8_2201600_318750000_3199000000,1.0,19.27841567993164,17.354,0.06,30,1,8_2201600_318750000_3199000000,1,19.27841567993164,17.354,1
39,8_2201600_318750000_3199000000,1.0,19.27841567993164,17.354,0.06,30,1,8_2201600_318750000_3199000000,1,19.27841567993164,17.354,1
40,8_2201600_318750000_3199000000,1.0,19.27841567993164,17.354,0.06,30,1,8_2201600_318750000_3199000000,1,19.27841567993164,17.354,1
41,8_2201600_318750000_3199000000,1.0,19.27841567993164,17.354,0.06,30,1,8_2201600_318750000_3199000000,1,19.27841567993164,17.354,1
42,8_2201600_318750000_3199000000,1.0,19.27841567993164,17.354,0.06,30,1,8_2201600_318750000_3199000000,1,19.27841567993164,17.354,1
43,8_2201600_318750000_3199000000,1.0,19.27841567993164,17.354,0.06,30,1,8_2201600_318750000_3199000000,1,19.27841567993164,17.354,1
44,8_2201600_318750000_3199000000,1.0,19.27841567993164,17.354,0.06,30,1,8_2201600_318750000_3199000000,1,19.27841567993164,17.354,1
45,8_2201600_318750000_3199000000,1.0,19.27841567993164,17.354,0.06,30,1,8_2201600_318750000_3199000000,1,19.27841567993164,17.354,1
46,8_2201600_318750000_3199000000,1.0,19.27841567993164,17.354,0.06,30,1,8_2201600_318750000_3199000000,1,19.27841567993164,17.354,1
47,8_2201600_318750000_3199000000,1.0,19.27841567993164,17.354,0.06,30,1,8_2201600_318750000_3199000000,1,19.27841567993164,17.354,1
48,8_2201600_318750000_3199000000,1.0,19.27841567993164,17.354,0.06,30,1,8_2201600_318750000_3199000000,1,19.27841567993164,17.354,1
49,8_2201600_318750000_3199000000,1.0,19.27841567993164,17.354,0.06,30,1,8_2201600_318750000_3199000000,1,19.27841567993164,17.354,1
50,8_2201600_318750000_3199000000,1.0,19.27841567993164,17.354,0.06,30,1,8_2201600_318750000_3199000000,1,19.27841567993164,17.354,1
10,8_2201600_318750000_3199000000,1.0,19.27841567993164,17.354,0.07,30,0,8_2201600_318750000_3199000000,1,19.27841567993164,17.354,0
11,8_2201600_318750000_3199000000,1.0,19.27841567993164,17.354,0.07,30,0,8_2201600_318750000_3199000000,1,19.27841567993164,17.354,0
12,8_2201600_318750000_3199000000,1.0,19.27841567993164,17.354,0.07,30,0,8_2201600_318750000_3199000000,1,19.27841567993164,17.354,0
13,8_2201600_318750000_3199000000,1.0,19.27841567993164,17.354,0.07,30,0,8_2201600_318750000_3199000000,1,19.27841567993164,17.354,0
14,8_1344000_114750000_665600000,1.0,32.14587116241455,13.142,0.07,30,1,8_1344000_522750000_665600000,1,32.83671951293945,13.545,1
15,8_1344000_114750000_2133000000,1.0,30.24022388458252,14.249,0.07,30,1,8_1344000_522750000_665600000,1,32.83671951293945,13.545,1
16,8_1344000_114750000_2133000000,1.0,30.24022388458252,14.249,0.07,30,1,8_1344000_522750000_665600000,1,32.83671951293945,13.545,1
17,12_2201600_114750000_2133000000,1.0,27.359951972961422,16.252,0.07,30,1,8_1344000_522750000_665600000,1,32.83671951293945,13.545,1
18,8_2201600_318750000_3199000000,1.0,19.27841567993164,17.354,0.07,30,1,8_1344000_522750000_665600000,1,32.83671951293945,13.545,1
19,8_2201600_318750000_3199000000,1.0,19.27841567993164,17.354,0.07,30,1,8_2201600_318750000_3199000000,1,19.27841567993164,17.354,1
20,8_2201600_318750000_3199000000,1.0,19.27841567993164,17.354,0.07,30,1,8_2201600_318750000_3199000000,1,19.27841567993164,17.354,1
21,8_2201600_318750000_3199000000,1.0,19.27841567993164,17.354,0.07,30,1,8_2201600_318750000_3199000000,1,19.27841567993164,17.354,1
22,8_2201600_318750000_3199000000,1.0,19.27841567993164,17.354,0.07,30,1,8_2201600_318750000_3199000000,1,19.27841567993164,17.354,1
23,8_2201600_318750000_3199000000,1.0,19.27841567993164,17.354,0.07,30,1,8_2201600_318750000_3199000000,1,19.27841567993164,17.354,1
24,8_2201600_318750000_3199000000,1.0,19.27841567993164,17.354,0.07,30,1,8_2201600_318750000_3199000000,1,19.27841567993164,17.354,1
25,8_2201600_318750000_3199000000,1.0,19.27841567993164,17.354,0.07,30,1,8_2201600_318750000_3199000000,1,19.27841567993164,17.354,1
26,8_2201600_318750000_3199000000,1.0,19.27841567993164,17.354,0.07,30,1,8_2201600_318750000_3199000000,1,19.27841567993164,17.354,1
27,8_2201600_318750000_3199000000,1.0,19.27841567993164,17.354,0.07,30,1,8_2201600_318750000_3199000000,1,19.27841567993164,17.354,1
28,8_2201600_318750000_3199000000,1.0,19.27841567993164,17.354,0.07,30,1,8_2201600_318750000_3199000000,1,19.27841567993164,17.354,1
29,8_2201600_318750000_3199000000,1.0,19.27841567993164,17.354,0.07,30,1,8_2201600_318750000_3199000000,1,19.27841567993164,17.354,1
30,8_2201600_318750000_3199000000,1.0,19.27841567993164,17.354,0.07,30,1,8_2201600_318750000_3199000000,1,19.27841567993164,17.354,1
31,8_2201600_318750000_3199000000,1.0,19.27841567993164,17.354,0.07,30,1,8_2201600_318750000_3199000000,1,19.27841567993164,17.354,1
32,8_2201600_318750000_3199000000,1.0,19.27841567993164,17.354,0.07,30,1,8_2201600_318750000_3199000000,1,19.27841567993164,17.354,1
33,8_2201600_318750000_3199000000,1.0,19.27841567993164,17.354,0.07,30,1,8_2201600_318750000_3199000000,1,19.27841567993164,17.354,1
34,8_2201600_318750000_3199000000,1.0,19.27841567993164,17.354,0.07,30,1,8_2201600_318750000_3199000000,1,19.27841567993164,17.354,1
35,8_2201600_318750000_3199000000,1.0,19.27841567993164,17.354,0.07,30,1,8_2201600_318750000_3199000000,1,19.27841567993164,17.354,1
36,8_2201600_318750000_3199000000,1.0,19.27841567993164,17.354,0.07,30,1,8_2201600_318750000_3199000000,1,19.27841567993164,17.354,1
37,8_2201600_318750000_3199000000,1.0,19.27841567993164,17.354,0.07,30,1,8_2201600_318750000_3199000000,1,19.27841567993164,17.354,1
38,8_2201600_318750000_3199000000,1.0,19.27841567993164,17.354,0.07,30,1,8_2201600_318750000_3199000000,1,19.27841567993164,17.354,1
39,8_2201600_318750000_3199000000,1.0,19.27841567993164,17.354,0.07,30,1,8_2201600_318750000_3199000000,1,19.27841567993164,17.354,1
40,8_2201600_318750000_3199000000,1.0,19.27841567993164,17.354,0.07,30,1,8_2201600_318750000_3199000000,1,19.27841567993164,17.354,1
41,8_2201600_318750000_3199000000,1.0,19.27841567993164,17.354,0.07,30,1,8_2201600_318750000_3199000000,1,19.27841567993164,17.354,1
42,8_2201600_318750000_3199000000,1.0,19.27841567993164,17.354,0.07,30,1,8_2201600_318750000_3199000000,1,19.27841567993164,17.354,1
43,8_2201600_318750000_3199000000,1.0,19.27841567993164,17.354,0.07,30,1,8_2201600_318750000_3199000000,1,19.27841567993164,17.354,1
44,8_2201600_318750000_3199000000,1.0,19.27841567993164,17.354,0.07,30,1,8_2201600_318750000_3199000000,1,19.27841567993164,17.354,1
45,8_2201600_318750000_3199000000,1.0,19.27841567993164,17.354,0.07,30,1,8_2201600_318750000_3199000000,1,19.27841567993164,17.354,1
46,8_2201600_318750000_3199000000,1.0,19.27841567993164,17.354,0.07,30,1,8_2201600_318750000_3199000000,1,19.27841567993164,17.354,1
47,8_2201600_318750000_3199000000,1.0,19.27841567993164,17.354,0.07,30,1,8_2201600_318750000_3199000000,1,19.27841567993164,17.354,1
48,8_2201600_318750000_3199000000,1.0,19.27841567993164,17.354,0.07,30,1,8_2201600_318750000_3199000000,1,19.27841567993164,17.354,1
49,8_2201600_318750000_3199000000,1.0,19.27841567993164,17.354,0.07,30,1,8_2201600_318750000_3199000000,1,19.27841567993164,17.354,1
50,8_2201600_318750000_3199000000,1.0,19.27841567993164,17.354,0.07,30,1,8_2201600_318750000_3199000000,1,19.27841567993164,17.354,1
10,8_2201600_318750000_3199000000,1.0,19.27841567993164,17.354,0.08,30,0,8_2201600_318750000_3199000000,1,19.27841567993164,17.354,0
11,8_2201600_318750000_3199000000,1.0,19.27841567993164,17.354,0.08,30,0,8_2201600_318750000_3199000000,1,19.27841567993164,17.354,0
12,8_2201600_318750000_3199000000,1.0,19.27841567993164,17.354,0.08,30,0,8_2201600_318750000_3199000000,1,19.27841567993164,17.354,0
13,8_2201600_318750000_3199000000,1.0,19.27841567993164,17.354,0.08,30,0,8_2201600_318750000_3199000000,1,19.27841567993164,17.354,0
14,8_1344000_114750000_665600000,1.0,32.14587116241455,13.142,0.08,30,1,8_1344000_522750000_665600000,1,32.83671951293945,13.545,1
15,8_1344000_114750000_2133000000,1.0,30.24022388458252,14.249,0.08,30,1,8_1344000_522750000_665600000,1,32.83671951293945,13.545,1
16,8_1344000_114750000_2133000000,1.0,30.24022388458252,14.249,0.08,30,1,8_1344000_522750000_665600000,1,32.83671951293945,13.545,1
17,12_2201600_114750000_2133000000,1.0,27.359951972961422,16.252,0.08,30,1,8_1344000_522750000_665600000,1,32.83671951293945,13.545,1
18,8_2201600_318750000_3199000000,1.0,19.27841567993164,17.354,0.08,30,1,8_1344000_522750000_665600000,1,32.83671951293945,13.545,1
19,8_2201600_318750000_3199000000,1.0,19.27841567993164,17.354,0.08,30,1,8_2201600_318750000_3199000000,1,19.27841567993164,17.354,1
20,8_2201600_318750000_3199000000,1.0,19.27841567993164,17.354,0.08,30,1,8_2201600_318750000_3199000000,1,19.27841567993164,17.354,1
