cores_algo,cpu_algo,gpu_algo,mem_algo,bs_algo,algo_time,algo_power,power_budget,num_pwds_nnRan50,visited_dim,tries,time_budget,arr_rate,soln_algo,cores_optimal,cpu_optimal,gpu_optimal,mem_optimal,bs_optimal,optim_time_nnRan50,optim_power_nnRan50,soln_optimal,powermode_random,bs_random,optim_time_random,optim_power_random,soln_random,powermode_nn,bs_nn,optim_time_nn,optim_power_nn,soln_nn,flag,time_scaled,time_cond1,time_cond2,powermode_random_50,bs_random_50,optim_time_random_50,optim_power_random_50,soln_random_50,powermode_nn_50,bs_nn_50,optim_time_nn_50,optim_power_nn_50,soln_nn_50,cpu_bs,gpu_bs,mem_bs,cores_bs,bs_bs,observed_time,observed_power,num_pwds_bs,soln_bs,cores_optim,cpu_optim,gpu_optim,mem_optim,bs_optim,optim_time_bs,optim_power_bs,soln_optim
8.0,1344000.0,726750000.0,2133000000.0,1.0,29.63475227355957,14.549,10,10.0,4.0,10.0,0.05,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12_2201600_726750000_3199000000,1.0,17.93832015991211,18.559,0,12_2201600_726750000_3199000000,1,17.93832015991211,18.559,0,False,0.0179383201599121,0.0512716534932454,0.5381496047973633,8_2201600_318750000_3199000000,1.0,19.27841567993164,17.354,0,8_2201600_318750000_3199000000,1,19.27841567993164,17.354,0,729600.0,726750000.0,2133000000.0,8.0,16.0,65.18643188476562,18.563,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,1344000.0,726750000.0,2133000000.0,1.0,29.63475227355957,14.549,11,10.0,4.0,10.0,0.05,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12_2201600_726750000_3199000000,1.0,17.93832015991211,18.559,0,12_2201600_726750000_3199000000,1,17.93832015991211,18.559,0,False,0.0179383201599121,0.0512716534932454,0.5381496047973633,8_2201600_318750000_3199000000,1.0,19.27841567993164,17.354,0,8_2201600_318750000_3199000000,1,19.27841567993164,17.354,0,729600.0,726750000.0,2133000000.0,8.0,16.0,65.18643188476562,18.563,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,1344000.0,726750000.0,2133000000.0,1.0,29.63475227355957,14.549,12,10.0,4.0,10.0,0.05,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12_2201600_726750000_3199000000,1.0,17.93832015991211,18.559,0,12_2201600_726750000_3199000000,1,17.93832015991211,18.559,0,False,0.0179383201599121,0.0512716534932454,0.5381496047973633,8_2201600_318750000_3199000000,1.0,19.27841567993164,17.354,0,8_2201600_318750000_3199000000,1,19.27841567993164,17.354,0,729600.0,726750000.0,2133000000.0,8.0,16.0,65.18643188476562,18.563,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,1344000.0,726750000.0,2133000000.0,1.0,29.63475227355957,14.549,13,10.0,4.0,10.0,0.05,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12_2201600_726750000_3199000000,1.0,17.93832015991211,18.559,0,12_2201600_726750000_3199000000,1,17.93832015991211,18.559,0,False,0.0179383201599121,0.0512716534932454,0.5381496047973633,8_2201600_318750000_3199000000,1.0,19.27841567993164,17.354,0,8_2201600_318750000_3199000000,1,19.27841567993164,17.354,0,729600.0,726750000.0,2133000000.0,8.0,16.0,65.18643188476562,18.563,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,1344000.0,726750000.0,2133000000.0,1.0,29.63475227355957,14.549,14,11.0,4.0,11.0,0.05,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12_2201600_726750000_3199000000,1.0,17.93832015991211,18.559,0,12_2201600_726750000_3199000000,1,17.93832015991211,18.559,0,False,0.0179383201599121,0.0512716534932454,0.5381496047973633,8_2201600_318750000_3199000000,1.0,19.27841567993164,17.354,0,8_2201600_318750000_3199000000,1,19.27841567993164,17.354,0,1036800.0,318750000.0,665600000.0,4.0,4.0,53.189374923706055,14.649,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,2201600.0,726750000.0,2133000000.0,1.0,20.223504066467285,16.954,15,10.0,4.0,10.0,0.05,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12_2201600_726750000_3199000000,1.0,17.93832015991211,18.559,0,12_2201600_726750000_3199000000,1,17.93832015991211,18.559,0,False,0.0179383201599121,0.0512716534932454,0.5381496047973633,8_2201600_318750000_3199000000,1.0,19.27841567993164,17.354,0,8_2201600_318750000_3199000000,1,19.27841567993164,17.354,0,729600.0,726750000.0,2133000000.0,8.0,16.0,65.18643188476562,18.563,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,2201600.0,726750000.0,2133000000.0,1.0,20.223504066467285,16.954,16,9.0,4.0,9.0,0.05,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12_2201600_726750000_3199000000,1.0,17.93832015991211,18.559,0,12_2201600_726750000_3199000000,1,17.93832015991211,18.559,0,False,0.0179383201599121,0.0512716534932454,0.5381496047973633,8_2201600_318750000_3199000000,1.0,19.27841567993164,17.354,0,8_2201600_318750000_3199000000,1,19.27841567993164,17.354,0,729600.0,726750000.0,2133000000.0,8.0,16.0,65.18643188476562,18.563,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,2201600.0,726750000.0,3199000000.0,1.0,18.545472145080566,18.158,17,9.0,4.0,9.0,0.05,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12_2201600_726750000_3199000000,1.0,17.93832015991211,18.559,0,12_2201600_726750000_3199000000,1,17.93832015991211,18.559,0,False,0.0179383201599121,0.0512716534932454,0.5381496047973633,8_2201600_318750000_3199000000,1.0,19.27841567993164,17.354,0,8_2201600_318750000_3199000000,1,19.27841567993164,17.354,0,729600.0,726750000.0,2133000000.0,8.0,16.0,65.18643188476562,18.563,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,2201600.0,726750000.0,3199000000.0,1.0,18.545472145080566,18.158,18,9.0,4.0,9.0,0.05,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12_2201600_726750000_3199000000,1.0,17.93832015991211,18.559,0,12_2201600_726750000_3199000000,1,17.93832015991211,18.559,0,True,0.0179383201599121,0.0512716534932454,0.5381496047973633,8_2201600_318750000_3199000000,4.0,26.22815990447998,21.179,0,8_2201600_318750000_3199000000,1,19.27841567993164,17.354,0,729600.0,726750000.0,2133000000.0,8.0,16.0,65.18643188476562,18.563,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,2201600.0,1134750000.0,3199000000.0,1.0,18.900303840637207,19.362,19,9.0,4.0,9.0,0.05,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12_2201600_726750000_3199000000,4.0,20.004847526550293,23.374,0,12_2201600_726750000_3199000000,4,20.004847526550293,23.374,0,False,0.0200048475265502,0.1533381808598836,0.6001454257965088,8_2201600_318750000_3199000000,4.0,26.22815990447998,21.179,0,12_1036800_726750000_2133000000,16,50.1147689819336,20.177,0,729600.0,1134750000.0,2133000000.0,8.0,16.0,80.61886215209961,20.467,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
