time,uptime,jetson_clocks,nvp model,CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,GPU1,GPU2,RAM,EMC,SWAP,APE,NVDEC,NVENC,NVJPG,NVJPG1,SE,VIC,fan,Temp CPU,Temp GPU,Temp SOC0,Temp SOC1,Temp SOC2,Temp tj,power cur,power avg,log_time
2024-06-09 20:14:57.058265,0 days 00:05:23.560000,OFF,15W,11,11,9,5,7,5,0,0,1150840,0,0,OFF,OFF,OFF,OFF,OFF,307,OFF,28.627450980392158,49.312,48.656,48.25,49.25,50.093,50.0,7186,7244,0.05845761299133301
2024-06-09 20:14:57.058265,0 days 00:05:23.560000,OFF,15W,11,11,9,5,7,5,0,0,1150840,0,0,OFF,OFF,OFF,OFF,OFF,307,OFF,28.627450980392158,49.312,48.656,48.25,49.25,50.093,50.0,7186,7244,0.05845761299133301
2024-06-09 20:14:57.646205,0 days 00:05:24.150000,OFF,pm_new,92,98,OFF,OFF,OFF,OFF,1,1,1419772,1,0,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,47.781,47.218,46.375,47.281,48.312,48.312,9158,9158,0.6461257934570312
2024-06-09 20:14:58.937160,0 days 00:05:25.440000,OFF,pm_new,41,84,OFF,OFF,OFF,OFF,0,0,1475548,1,0,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,47.593,46.968,46.312,47.281,48.218,48.218,8445,8827,1.9369187355041504
2024-06-09 20:15:00.086304,0 days 00:05:26.590000,OFF,pm_new,32,50,OFF,OFF,OFF,OFF,0,0,1572868,1,0,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,47.25,46.75,46.218,47.062,48.062,48.062,7922,8464,3.0860719680786133
2024-06-09 20:15:01.162531,0 days 00:05:27.670000,OFF,pm_new,30,62,OFF,OFF,OFF,OFF,0,0,1656576,1,0,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,47.281,46.718,46.125,46.968,48.062,48.062,8041,8383,4.1622936725616455
2024-06-09 20:15:02.229868,0 days 00:05:28.740000,OFF,pm_new,26,40,OFF,OFF,OFF,OFF,0,0,1710024,1,0,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,47.343,46.812,45.968,46.968,48.0,48.0,7883,8288,5.229631185531616
2024-06-09 20:15:03.349701,0 days 00:05:29.860000,OFF,pm_new,25,80,OFF,OFF,OFF,OFF,0,0,1877852,1,0,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,47.0,46.468,45.906,46.843,47.812,47.812,7803,8224,6.34975790977478
2024-06-09 20:15:04.447832,0 days 00:05:30.950000,OFF,pm_new,27,60,OFF,OFF,OFF,OFF,7,7,2024420,1,0,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,47.25,46.406,45.906,46.812,47.781,47.781,8160,8202,7.447580337524414
2024-06-09 20:15:05.522497,0 days 00:05:32.030000,OFF,pm_new,36,94,OFF,OFF,OFF,OFF,16,16,2199420,1,0,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,46.812,46.375,45.687,46.656,47.656,47.656,8120,8190,8.522290468215942
2024-06-09 20:15:06.599766,0 days 00:05:33.110000,OFF,pm_new,44,72,OFF,OFF,OFF,OFF,19,19,2361964,1,0,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,47.093,46.5,45.531,46.687,47.75,47.625,8199,8184,9.599537134170532
2024-06-09 20:15:07.846633,0 days 00:05:34.350000,OFF,pm_new,86,69,OFF,OFF,OFF,OFF,0,0,2480296,1,0,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,46.937,46.156,45.562,46.5,47.562,47.562,8445,8196,10.846479415893555
2024-06-09 20:15:09.088499,0 days 00:05:35.590000,OFF,pm_new,11,9,OFF,OFF,OFF,OFF,0,0,2725580,1,0,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,46.625,46.031,45.406,46.312,47.375,47.437,8121,8268,12.088632822036743
2024-06-09 20:15:10.168153,0 days 00:05:36.670000,OFF,pm_new,28,35,OFF,OFF,OFF,OFF,0,0,2782384,1,0,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,46.656,45.937,45.343,46.437,47.468,47.468,7764,8234,13.167909860610962
2024-06-09 20:15:11.236545,0 days 00:05:37.740000,OFF,pm_new,6,35,OFF,OFF,OFF,OFF,0,0,2851744,0,0,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,46.406,45.75,45.437,46.312,47.343,47.343,7684,8210,14.236295461654663
2024-06-09 20:15:12.304933,0 days 00:05:38.810000,OFF,pm_new,19,14,OFF,OFF,OFF,OFF,0,0,2886820,0,0,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,46.281,45.843,45.218,46.125,47.187,47.187,7764,8179,15.304805517196655
2024-06-09 20:15:13.374532,0 days 00:05:39.880000,OFF,pm_new,5,2,OFF,OFF,OFF,OFF,0,0,2887588,0,0,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,46.125,45.718,45.093,46.25,47.25,47.187,7566,8153,16.374301195144653
2024-06-09 20:15:14.443030,0 days 00:05:40.950000,OFF,pm_new,25,17,OFF,OFF,OFF,OFF,0,0,2964376,0,0,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,46.312,45.875,45.187,46.062,47.031,47.031,7883,8137,17.442790031433105
2024-06-09 20:15:15.588450,0 days 00:05:42.090000,OFF,pm_new,8,12,OFF,OFF,OFF,OFF,0,0,3003964,0,0,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,46.031,45.718,45.031,45.906,46.968,46.968,7684,8122,18.588233709335327
2024-06-09 20:15:16.658876,0 days 00:05:43.160000,OFF,pm_new,19,30,OFF,OFF,OFF,OFF,5,5,3067848,0,0,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,46.125,45.437,44.937,45.875,46.843,47.031,8001,8113,19.658658504486084
2024-06-09 20:15:17.731101,0 days 00:05:44.240000,OFF,pm_new,22,33,OFF,OFF,OFF,OFF,8,8,3107928,0,0,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,46.187,45.875,45.062,45.75,46.843,46.843,7803,8102,20.730852127075195
2024-06-09 20:15:18.934100,0 days 00:05:45.440000,OFF,pm_new,50,18,OFF,OFF,OFF,OFF,0,0,3154864,0,0,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,45.875,45.687,44.781,45.75,46.75,46.781,7883,8094,21.933942794799805
2024-06-09 20:15:20.010445,0 days 00:05:46.520000,OFF,pm_new,20,25,OFF,OFF,OFF,OFF,0,0,3266796,0,0,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,45.812,45.25,44.718,45.593,46.718,46.593,7764,8073,23.010212898254395
2024-06-09 20:15:21.090369,0 days 00:05:47.600000,OFF,pm_new,44,50,OFF,OFF,OFF,OFF,0,0,3352184,0,0,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,45.875,45.187,44.625,45.781,46.656,46.656,7922,8068,24.090138912200928
2024-06-09 20:15:22.174929,0 days 00:05:48.680000,OFF,pm_new,28,76,OFF,OFF,OFF,OFF,0,0,3453476,0,0,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,45.687,45.187,44.781,45.625,46.562,46.562,7805,8056,25.174696445465088
2024-06-09 20:15:23.243653,0 days 00:05:49.750000,OFF,pm_new,9,71,OFF,OFF,OFF,OFF,0,0,3536464,0,0,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,45.781,45.312,44.625,45.468,46.406,46.406,7724,8049,26.243409156799316
2024-06-09 20:15:24.311157,0 days 00:05:50.820000,OFF,pm_new,30,53,OFF,OFF,OFF,OFF,0,0,3569876,0,0,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,45.781,45.0,44.562,45.375,46.375,46.375,7724,8038,27.310913562774658
2024-06-09 20:15:25.378790,0 days 00:05:51.880000,OFF,pm_new,5,35,OFF,OFF,OFF,OFF,2,2,3584896,0,0,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,45.468,45.031,44.375,45.25,46.343,46.343,7605,8030,28.37854790687561
2024-06-09 20:15:26.448144,0 days 00:05:52.950000,OFF,pm_new,17,20,OFF,OFF,OFF,OFF,2,0,3591508,0,0,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,45.625,45.343,44.281,45.375,46.406,46.406,7803,8021,29.447895526885986
