val,frq,min_freq,max_freq,FreqOverride,log_time
10,665000,204000000,665600000,1,0.13127779960632324
10,665000,204000000,665600000,1,0.13127779960632324
1,2133000,204000000,2133000000,1,0.6844432353973389
2,2133000,204000000,2133000000,1,1.8394134044647217
2,2133000,204000000,2133000000,1,2.9883930683135986
4,2133000,204000000,2133000000,1,4.139743804931641
3,2133000,204000000,2133000000,1,5.289675712585449
2,2133000,204000000,2133000000,1,6.441901206970215
4,2133000,204000000,2133000000,1,7.588295936584473
12,2133000,204000000,2133000000,1,8.760685920715332
30,2133000,204000000,2133000000,1,9.943320989608765
45,2133000,204000000,2133000000,1,11.122007608413696
49,2133000,204000000,2133000000,1,12.281707525253296
50,2133000,204000000,2133000000,1,13.44312834739685
46,2133000,204000000,2133000000,1,14.607136487960815
50,2133000,204000000,2133000000,1,15.776041269302368
51,2133000,204000000,2133000000,1,16.937058925628662
51,2133000,204000000,2133000000,1,18.097132682800293
52,2133000,204000000,2133000000,1,19.255477905273438
