powermode_algo,infer_time_algo,bs_algo,interleaved_power_algo,power_budget,num_train_batches_algo,num_tries_algo,time_budget,arr_rate,powermode_optim,infer_time_optim,bs_optim,interleaved_power_optim,num_train_batches_optim,num_tries_optim,powermode_nn,infer_time_nn,bs_nn,interleaved_power_nn,num_train_batches_nn,powermode_random,infer_time_random,bs_random,interleaved_power_random,num_train_batches_random,flag,time_scaled,time_cond1,time_cond2,powermode_nn_50,infer_time_nn_50,bs_nn_50,interleaved_power_nn_50,num_train_batches_nn_50,powermode_random_50,infer_time_random_50,bs_random_50,interleaved_power_random_50,num_train_batches_random_50
8_1344000_726750000_2133000000,3.090655922889709,4.0,24.175,26,0.0,13.0,0.5,30.0,4_1958400_726750000_2133000000,2.462239980697632,4.0,25.974,0.0,1.0,12_1958400_522750000_3199000000,19.91268825531006,1.0,24.977,0.0,8_1651200_522750000_2133000000,2.513759970664978,1.0,25.573,0.0,True,0.01991268825531,0.0532460215886433,0.5973806476593018,12_1036800_726750000_2133000000,35.532958984375,1.0,23.975,-1.0,8_2201600_318750000_3199000000,3.3999040126800537,1.0,22.287,0.0
8_1651200_522750000_3199000000,3.0081599950790405,4.0,23.78,27,0.0,13.0,0.5,30.0,4_2201600_522750000_2133000000,2.0922720432281494,1.0,26.78,0.0,1.0,12_2201600_522750000_3199000000,18.484479904174805,1.0,26.18,0.0,4_1958400_522750000_2133000000,2.241104006767273,1.0,26.881,0.0,True,0.0184844799041748,0.0518178132375081,0.5545343971252442,12_1036800_726750000_2133000000,35.532958984375,1.0,23.975,-1.0,8_2201600_318750000_3199000000,3.3999040126800537,1.0,22.287,0.0
8_2201600_726750000_2133000000,2.3234879970550537,4.0,27.283,28,0.0,13.0,0.5,30.0,4_2201600_726750000_2133000000,2.0872960090637207,1.0,27.887,0.0,1.0,12_2201600_522750000_3199000000,18.484479904174805,1.0,26.18,0.0,12_1958400_318750000_2133000000,2.2348960638046265,1.0,27.78,0.0,True,0.0184844799041748,0.0518178132375081,0.5545343971252442,12_1036800_726750000_2133000000,35.532958984375,1.0,23.975,-1.0,8_2201600_318750000_3199000000,3.3999040126800537,1.0,22.287,0.0
8_2201600_726750000_2133000000,2.3234879970550537,4.0,27.283,29,0.0,13.0,0.5,30.0,4_2201600_726750000_2133000000,2.0872960090637207,1.0,27.887,0.0,1.0,12_2201600_522750000_3199000000,18.484479904174805,1.0,26.18,0.0,12_1958400_318750000_2133000000,2.2348960638046265,1.0,27.78,0.0,True,0.0184844799041748,0.0518178132375081,0.5545343971252442,12_1036800_726750000_2133000000,35.532958984375,1.0,23.975,-1.0,8_2201600_318750000_3199000000,3.3999040126800537,1.0,22.287,0.0
8_2201600_726750000_3199000000,2.2714399099349976,4.0,29.892,30,0.0,13.0,0.5,30.0,4_2201600_726750000_2133000000,2.0872960090637207,1.0,27.887,0.0,1.0,12_2201600_522750000_3199000000,18.484479904174805,1.0,26.18,0.0,12_2201600_318750000_2133000000,2.108832001686096,1.0,29.095,0.0,True,0.0184844799041748,0.0518178132375081,0.5545343971252442,12_1036800_726750000_2133000000,35.532958984375,1.0,23.975,-1.0,8_2201600_318750000_3199000000,3.3999040126800537,1.0,22.287,0.0
8_2201600_726750000_3199000000,2.2714399099349976,4.0,29.892,31,0.0,13.0,0.5,30.0,4_1651200_930750000_3199000000,2.457808017730713,4.0,30.382,1.0,1.0,12_2201600_726750000_3199000000,17.93832015991211,1.0,30.392,0.0,4_2201600_930750000_2133000000,2.0895040035247803,1.0,30.084,0.0,True,0.0179383201599121,0.0512716534932454,0.5381496047973633,12_1036800_726750000_2133000000,35.532958984375,1.0,23.975,-1.0,8_2201600_318750000_3199000000,3.3999040126800537,1.0,22.287,0.0
8_2201600_726750000_3199000000,2.2714399099349976,4.0,29.892,32,0.0,13.0,0.5,30.0,4_1958400_1134750000_2133000000,2.2789920568466187,4.0,31.889,1.0,1.0,12_2201600_726750000_3199000000,17.93832015991211,1.0,30.392,0.0,4_2201600_930750000_2133000000,2.0895040035247803,1.0,30.084,0.0,True,0.0179383201599121,0.0512716534932454,0.5381496047973633,12_1036800_726750000_2133000000,35.532958984375,1.0,23.975,-1.0,8_2201600_318750000_3199000000,3.3999040126800537,1.0,22.287,0.0
8_2201600_726750000_3199000000,2.2714399099349976,4.0,29.892,33,0.0,13.0,0.5,30.0,4_1958400_930750000_3199000000,2.198607921600342,4.0,32.391,1.0,1.0,12_2201600_726750000_3199000000,17.93832015991211,1.0,30.392,0.0,4_1958400_930750000_3199000000,2.198607921600342,4.0,32.391,1.0,True,0.0179383201599121,0.0512716534932454,0.5381496047973633,12_1036800_726750000_2133000000,35.532958984375,1.0,23.975,-1.0,8_2201600_318750000_3199000000,3.3999040126800537,1.0,22.287,0.0
8_2201600_726750000_3199000000,2.2714399099349976,4.0,29.892,34,0.0,13.0,0.5,30.0,4_2201600_1134750000_2133000000,2.1310880184173584,4.0,33.199,1.0,1.0,12_2201600_726750000_3199000000,17.93832015991211,1.0,30.392,0.0,4_1958400_930750000_3199000000,2.198607921600342,4.0,32.391,1.0,True,0.0179383201599121,0.0512716534932454,0.5381496047973633,12_1036800_726750000_2133000000,35.532958984375,1.0,23.975,-1.0,8_2201600_318750000_3199000000,3.3999040126800537,1.0,22.287,0.0
8_2201600_930750000_3199000000,2.135856032371521,4.0,34.196,35,1.0,13.0,0.5,30.0,12_2201600_1134750000_2133000000,2.106352090835572,4.0,34.894,1.0,1.0,12_2201600_726750000_3199000000,17.93832015991211,1.0,30.392,0.0,4_1958400_930750000_3199000000,2.198607921600342,4.0,32.391,1.0,True,0.0179383201599121,0.0512716534932454,0.5381496047973633,12_1036800_726750000_2133000000,35.532958984375,1.0,23.975,-1.0,8_2201600_318750000_3199000000,3.3999040126800537,1.0,22.287,0.0
