powermode,observed_time,observed_power
6_1190400_522750000_665600000,466.5356335144043,18.071
4_1804800_114750000_204000000,1620.368128173828,14.047
12_1651200_1032750000_3199000000,168.1188338394165,33.694
8_729600_726750000_665600000,444.38812182617187,18.97
6_729600_624750000_2133000000,304.35350497436525,21.569
12_1497600_828750000_665600000,412.8408637084961,20.78
2_422400_216750000_2133000000,1869.3470517578126,13.848
4_268800_624750000_665600000,1058.7766268615726,14.5495
6_1651200_420750000_2133000000,330.8221923217773,20.984
12_422400_420750000_204000000,1252.950431640625,14.148
10_1497600_624750000_3199000000,238.0790364379883,25.28
12_1190400_420750000_665600000,487.65799151611327,18.061
4_422400_930750000_665600000,648.9644659118652,17.86
10_1958400_930750000_2133000000,194.87524299621586,29.9845
4_1804800_1300500000_3199000000,161.88373363494873,38.609
