Model,TL,NN,MAXN
Mobnet,18.98,37.47,360.23
Resnet,14.58,57.08,581.76
Yolo,2.1,14.84,25.67
Lstm,2.21,21.12,310.37
Bert,6.9,81.11,771.38
Mobnet_IN,13.84,21.51,342.98
Resnet_GLD,9.78,36.97,490.55
