files,directories,resident_pages,resident_pages_size,resident_pages_%,elapsed,redundant,log_time
23080,1,20128/722637,78M/2G,2.79%,0.78548,seconds,17.07992124557495
23080,1,0/722637,0/2G,0%,1.3451,seconds,20.139699459075928
23080,1,20190/722637,78M/2G,2.79%,0.83669,seconds,151.45287442207336
