total,used,free,log_time
3.6Gi,3.0Mi,3.6Gi,2.35079026222229
3.6Gi,3.0Mi,3.6Gi,3.50899338722229
3.6Gi,3.0Mi,3.6Gi,4.633984565734863
3.6Gi,3.0Mi,3.6Gi,5.75923490524292
3.6Gi,3.0Mi,3.6Gi,6.892117738723755
3.6Gi,3.0Mi,3.6Gi,8.021193027496338
3.6Gi,3.0Mi,3.6Gi,9.14243197441101
3.6Gi,3.0Mi,3.6Gi,10.29442572593689
3.6Gi,3.0Mi,3.6Gi,11.426187992095947
3.6Gi,3.0Mi,3.6Gi,12.558258533477783
3.6Gi,3.0Mi,3.6Gi,13.670089960098267
3.6Gi,3.0Mi,3.6Gi,14.79460883140564
3.6Gi,3.0Mi,3.6Gi,15.924091100692749
3.6Gi,3.0Mi,3.6Gi,17.061676263809204
3.6Gi,3.0Mi,3.6Gi,18.191970109939575
3.6Gi,3.0Mi,3.6Gi,19.446651935577393
3.6Gi,3.0Mi,3.6Gi,20.581082105636597
