use,tot,unit,lfb,shared,table,log_time
8094672,31357612,k,"{'nblock': 4152, 'size': 4, 'unit': 'M'}",2339412,"[['Client', 'Process', 'PID', 'Size'], [{'Client': 'user', 'Process': 'python3', 'PID': '3228556', 'Size': {'val': 0, 'unit': 'k'}}, {'Client': 'user', 'Process': 'python3', 'PID': '3228550', 'Size': {'val': 0, 'unit': 'k'}}, {'Client': 'user', 'Process': 'python3', 'PID': '3228549', 'Size': {'val': 0, 'unit': 'k'}}, {'Client': 'user', 'Process': 'python3', 'PID': '3228540', 'Size': {'val': 0, 'unit': 'k'}}, {'Client': 'user', 'Process': 'python3', 'PID': '3226980', 'Size': {'val': 0, 'unit': 'k'}}, {'Client': 'user', 'Process': 'python3', 'PID': '3226975', 'Size': {'val': 2304992, 'unit': 'k'}}, {'Client': 'user', 'Process': 'gnome-shell', 'PID': '2644', 'Size': {'val': 6284, 'unit': 'k'}}, {'Client': 'user', 'Process': 'Xorg', 'PID': '2408', 'Size': {'val': 28060, 'unit': 'k'}}, {'Client': 'user', 'Process': 'nvargus-daemon', 'PID': '988', 'Size': {'val': 76, 'unit': 'k'}}]]",11.103395462036133
8393612,31357612,k,"{'nblock': 4147, 'size': 4, 'unit': 'M'}",2550356,"[['Client', 'Process', 'PID', 'Size'], [{'Client': 'user', 'Process': 'python3', 'PID': '3228556', 'Size': {'val': 0, 'unit': 'k'}}, {'Client': 'user', 'Process': 'python3', 'PID': '3228550', 'Size': {'val': 0, 'unit': 'k'}}, {'Client': 'user', 'Process': 'python3', 'PID': '3228549', 'Size': {'val': 0, 'unit': 'k'}}, {'Client': 'user', 'Process': 'python3', 'PID': '3228540', 'Size': {'val': 0, 'unit': 'k'}}, {'Client': 'user', 'Process': 'python3', 'PID': '3226980', 'Size': {'val': 0, 'unit': 'k'}}, {'Client': 'user', 'Process': 'python3', 'PID': '3226975', 'Size': {'val': 2515936, 'unit': 'k'}}, {'Client': 'user', 'Process': 'gnome-shell', 'PID': '2644', 'Size': {'val': 6284, 'unit': 'k'}}, {'Client': 'user', 'Process': 'Xorg', 'PID': '2408', 'Size': {'val': 28060, 'unit': 'k'}}, {'Client': 'user', 'Process': 'nvargus-daemon', 'PID': '988', 'Size': {'val': 76, 'unit': 'k'}}]]",12.268673181533813
8383276,31357612,k,"{'nblock': 4147, 'size': 4, 'unit': 'M'}",2550356,"[['Client', 'Process', 'PID', 'Size'], [{'Client': 'user', 'Process': 'python3', 'PID': '3228556', 'Size': {'val': 0, 'unit': 'k'}}, {'Client': 'user', 'Process': 'python3', 'PID': '3228550', 'Size': {'val': 0, 'unit': 'k'}}, {'Client': 'user', 'Process': 'python3', 'PID': '3228549', 'Size': {'val': 0, 'unit': 'k'}}, {'Client': 'user', 'Process': 'python3', 'PID': '3228540', 'Size': {'val': 0, 'unit': 'k'}}, {'Client': 'user', 'Process': 'python3', 'PID': '3226980', 'Size': {'val': 0, 'unit': 'k'}}, {'Client': 'user', 'Process': 'python3', 'PID': '3226975', 'Size': {'val': 2515936, 'unit': 'k'}}, {'Client': 'user', 'Process': 'gnome-shell', 'PID': '2644', 'Size': {'val': 6284, 'unit': 'k'}}, {'Client': 'user', 'Process': 'Xorg', 'PID': '2408', 'Size': {'val': 28060, 'unit': 'k'}}, {'Client': 'user', 'Process': 'nvargus-daemon', 'PID': '988', 'Size': {'val': 76, 'unit': 'k'}}]]",13.415050268173218
8384360,31357612,k,"{'nblock': 4147, 'size': 4, 'unit': 'M'}",2550356,"[['Client', 'Process', 'PID', 'Size'], [{'Client': 'user', 'Process': 'python3', 'PID': '3228556', 'Size': {'val': 0, 'unit': 'k'}}, {'Client': 'user', 'Process': 'python3', 'PID': '3228550', 'Size': {'val': 0, 'unit': 'k'}}, {'Client': 'user', 'Process': 'python3', 'PID': '3228549', 'Size': {'val': 0, 'unit': 'k'}}, {'Client': 'user', 'Process': 'python3', 'PID': '3228540', 'Size': {'val': 0, 'unit': 'k'}}, {'Client': 'user', 'Process': 'python3', 'PID': '3226980', 'Size': {'val': 0, 'unit': 'k'}}, {'Client': 'user', 'Process': 'python3', 'PID': '3226975', 'Size': {'val': 2515936, 'unit': 'k'}}, {'Client': 'user', 'Process': 'gnome-shell', 'PID': '2644', 'Size': {'val': 6284, 'unit': 'k'}}, {'Client': 'user', 'Process': 'Xorg', 'PID': '2408', 'Size': {'val': 28060, 'unit': 'k'}}, {'Client': 'user', 'Process': 'nvargus-daemon', 'PID': '988', 'Size': {'val': 76, 'unit': 'k'}}]]",14.641386985778809
8384620,31357612,k,"{'nblock': 4147, 'size': 4, 'unit': 'M'}",2550356,"[['Client', 'Process', 'PID', 'Size'], [{'Client': 'user', 'Process': 'python3', 'PID': '3228556', 'Size': {'val': 0, 'unit': 'k'}}, {'Client': 'user', 'Process': 'python3', 'PID': '3228550', 'Size': {'val': 0, 'unit': 'k'}}, {'Client': 'user', 'Process': 'python3', 'PID': '3228549', 'Size': {'val': 0, 'unit': 'k'}}, {'Client': 'user', 'Process': 'python3', 'PID': '3228540', 'Size': {'val': 0, 'unit': 'k'}}, {'Client': 'user', 'Process': 'python3', 'PID': '3226980', 'Size': {'val': 0, 'unit': 'k'}}, {'Client': 'user', 'Process': 'python3', 'PID': '3226975', 'Size': {'val': 2515936, 'unit': 'k'}}, {'Client': 'user', 'Process': 'gnome-shell', 'PID': '2644', 'Size': {'val': 6284, 'unit': 'k'}}, {'Client': 'user', 'Process': 'Xorg', 'PID': '2408', 'Size': {'val': 28060, 'unit': 'k'}}, {'Client': 'user', 'Process': 'nvargus-daemon', 'PID': '988', 'Size': {'val': 76, 'unit': 'k'}}]]",15.80711054801941
8393304,31357612,k,"{'nblock': 4147, 'size': 4, 'unit': 'M'}",2550356,"[['Client', 'Process', 'PID', 'Size'], [{'Client': 'user', 'Process': 'python3', 'PID': '3228556', 'Size': {'val': 0, 'unit': 'k'}}, {'Client': 'user', 'Process': 'python3', 'PID': '3228550', 'Size': {'val': 0, 'unit': 'k'}}, {'Client': 'user', 'Process': 'python3', 'PID': '3228549', 'Size': {'val': 0, 'unit': 'k'}}, {'Client': 'user', 'Process': 'python3', 'PID': '3228540', 'Size': {'val': 0, 'unit': 'k'}}, {'Client': 'user', 'Process': 'python3', 'PID': '3226980', 'Size': {'val': 0, 'unit': 'k'}}, {'Client': 'user', 'Process': 'python3', 'PID': '3226975', 'Size': {'val': 2515936, 'unit': 'k'}}, {'Client': 'user', 'Process': 'gnome-shell', 'PID': '2644', 'Size': {'val': 6284, 'unit': 'k'}}, {'Client': 'user', 'Process': 'Xorg', 'PID': '2408', 'Size': {'val': 28060, 'unit': 'k'}}, {'Client': 'user', 'Process': 'nvargus-daemon', 'PID': '988', 'Size': {'val': 76, 'unit': 'k'}}]]",16.93543267250061
8393904,31357612,k,"{'nblock': 4147, 'size': 4, 'unit': 'M'}",2550356,"[['Client', 'Process', 'PID', 'Size'], [{'Client': 'user', 'Process': 'python3', 'PID': '3228556', 'Size': {'val': 0, 'unit': 'k'}}, {'Client': 'user', 'Process': 'python3', 'PID': '3228550', 'Size': {'val': 0, 'unit': 'k'}}, {'Client': 'user', 'Process': 'python3', 'PID': '3228549', 'Size': {'val': 0, 'unit': 'k'}}, {'Client': 'user', 'Process': 'python3', 'PID': '3228540', 'Size': {'val': 0, 'unit': 'k'}}, {'Client': 'user', 'Process': 'python3', 'PID': '3226980', 'Size': {'val': 0, 'unit': 'k'}}, {'Client': 'user', 'Process': 'python3', 'PID': '3226975', 'Size': {'val': 2515936, 'unit': 'k'}}, {'Client': 'user', 'Process': 'gnome-shell', 'PID': '2644', 'Size': {'val': 6284, 'unit': 'k'}}, {'Client': 'user', 'Process': 'Xorg', 'PID': '2408', 'Size': {'val': 28060, 'unit': 'k'}}, {'Client': 'user', 'Process': 'nvargus-daemon', 'PID': '988', 'Size': {'val': 76, 'unit': 'k'}}]]",18.05128765106201
8384276,31357612,k,"{'nblock': 4147, 'size': 4, 'unit': 'M'}",2550356,"[['Client', 'Process', 'PID', 'Size'], [{'Client': 'user', 'Process': 'python3', 'PID': '3228556', 'Size': {'val': 0, 'unit': 'k'}}, {'Client': 'user', 'Process': 'python3', 'PID': '3228550', 'Size': {'val': 0, 'unit': 'k'}}, {'Client': 'user', 'Process': 'python3', 'PID': '3228549', 'Size': {'val': 0, 'unit': 'k'}}, {'Client': 'user', 'Process': 'python3', 'PID': '3228540', 'Size': {'val': 0, 'unit': 'k'}}, {'Client': 'user', 'Process': 'python3', 'PID': '3226980', 'Size': {'val': 0, 'unit': 'k'}}, {'Client': 'user', 'Process': 'python3', 'PID': '3226975', 'Size': {'val': 2515936, 'unit': 'k'}}, {'Client': 'user', 'Process': 'gnome-shell', 'PID': '2644', 'Size': {'val': 6284, 'unit': 'k'}}, {'Client': 'user', 'Process': 'Xorg', 'PID': '2408', 'Size': {'val': 28060, 'unit': 'k'}}, {'Client': 'user', 'Process': 'nvargus-daemon', 'PID': '988', 'Size': {'val': 76, 'unit': 'k'}}]]",19.226659536361694
8386588,31357612,k,"{'nblock': 4147, 'size': 4, 'unit': 'M'}",2550356,"[['Client', 'Process', 'PID', 'Size'], [{'Client': 'user', 'Process': 'python3', 'PID': '3228556', 'Size': {'val': 0, 'unit': 'k'}}, {'Client': 'user', 'Process': 'python3', 'PID': '3228550', 'Size': {'val': 0, 'unit': 'k'}}, {'Client': 'user', 'Process': 'python3', 'PID': '3228549', 'Size': {'val': 0, 'unit': 'k'}}, {'Client': 'user', 'Process': 'python3', 'PID': '3228540', 'Size': {'val': 0, 'unit': 'k'}}, {'Client': 'user', 'Process': 'python3', 'PID': '3226980', 'Size': {'val': 0, 'unit': 'k'}}, {'Client': 'user', 'Process': 'python3', 'PID': '3226975', 'Size': {'val': 2515936, 'unit': 'k'}}, {'Client': 'user', 'Process': 'gnome-shell', 'PID': '2644', 'Size': {'val': 6284, 'unit': 'k'}}, {'Client': 'user', 'Process': 'Xorg', 'PID': '2408', 'Size': {'val': 28060, 'unit': 'k'}}, {'Client': 'user', 'Process': 'nvargus-daemon', 'PID': '988', 'Size': {'val': 76, 'unit': 'k'}}]]",20.358562707901
8397204,31357612,k,"{'nblock': 4147, 'size': 4, 'unit': 'M'}",2550356,"[['Client', 'Process', 'PID', 'Size'], [{'Client': 'user', 'Process': 'python3', 'PID': '3228556', 'Size': {'val': 0, 'unit': 'k'}}, {'Client': 'user', 'Process': 'python3', 'PID': '3228550', 'Size': {'val': 0, 'unit': 'k'}}, {'Client': 'user', 'Process': 'python3', 'PID': '3228549', 'Size': {'val': 0, 'unit': 'k'}}, {'Client': 'user', 'Process': 'python3', 'PID': '3228540', 'Size': {'val': 0, 'unit': 'k'}}, {'Client': 'user', 'Process': 'python3', 'PID': '3226980', 'Size': {'val': 0, 'unit': 'k'}}, {'Client': 'user', 'Process': 'python3', 'PID': '3226975', 'Size': {'val': 2515936, 'unit': 'k'}}, {'Client': 'user', 'Process': 'gnome-shell', 'PID': '2644', 'Size': {'val': 6284, 'unit': 'k'}}, {'Client': 'user', 'Process': 'Xorg', 'PID': '2408', 'Size': {'val': 28060, 'unit': 'k'}}, {'Client': 'user', 'Process': 'nvargus-daemon', 'PID': '988', 'Size': {'val': 76, 'unit': 'k'}}]]",21.635872840881348
