cores,cpu,gpu,mem,observed_power,predicted_power,observed_time,predicted_time
12,268800,1300500000,2133000000,22.976,34.126645282018046,176.20069885253906,161.1516885537148
12,268800,1236750000,2133000000,22.564,33.14735599988213,172.1278076171875,168.7216696330592
12,268800,1134750000,2133000000,19.056,31.580493148464672,182.3966064453125,182.52054374422875
12,268800,1032750000,2133000000,18.655,30.01363029704721,177.40835571289062,198.9163363212692
12,268800,930750000,2133000000,17.957,28.44676744562976,614.9465942382812,218.73447683664293
12,268800,828750000,2133000000,21.463,26.8799045942123,184.18995666503903,243.19601472591256
12,268800,726750000,2133000000,17.151,25.313041742794844,170.57093811035156,274.18895558503937
12,268800,624750000,2133000000,18.055,23.746178891377387,173.32115173339844,314.799953863806
12,268800,522750000,2133000000,17.56,22.17931603995993,852.3511962890625,370.4550931651352
12,268800,420750000,2133000000,19.065,20.612453188542474,184.4589080810547,451.6818947084428
12,268800,318750000,2133000000,19.374,19.045590337125013,206.03240966796875,582.0407107564454
12,268800,216750000,2133000000,18.073,17.47872748570756,279.2013854980469,827.7966769628738
12,268800,114750000,2133000000,16.055,15.9118646342901,505.4376220703125,1479.7357262354792
12,422400,1300500000,2133000000,23.271,34.767039237932465,125.3095703125,177.00831817728675
12,422400,1236750000,2133000000,24.068,33.78774995579655,159.9888916015625,185.32315267585307
12,422400,1134750000,2133000000,21.657,32.220887104379095,138.23117065429688,200.4797763580436
12,422400,1032750000,2133000000,23.874,30.65402425296164,117.6016616821289,218.48884405874108
12,422400,930750000,2133000000,21.462,29.08716140154418,128.3671417236328,240.2570039428256
12,422400,828750000,2133000000,23.875,27.52029855012672,121.65542602539062,267.125451432697
12,422400,726750000,2133000000,21.665,25.953435698709264,122.38253021240234,301.167963714618
12,422400,624750000,2133000000,19.96,24.38657284729181,123.9046401977539,345.7749086950866
12,422400,522750000,2133000000,17.557,22.819709995874348,135.7013397216797,406.90627315092496
12,422400,420750000,2133000000,18.66,21.252847144456894,147.67225646972656,496.1254408874687
12,422400,318750000,2133000000,20.482,19.68598429303944,187.4462738037109,639.3110009974893
12,422400,216750000,2133000000,18.174,18.119121441621974,264.1144104003906,909.248292071758
12,422400,114750000,2133000000,16.156,16.55225859020452,483.16943359375,1625.3353259806747
12,576000,1300500000,2133000000,29.088,35.407433193846884,198.71180725097656,188.782886203861
12,576000,1236750000,2133000000,28.887,34.428143911710976,201.12722778320312,197.65082230488997
12,576000,1134750000,2133000000,25.271,32.861281060293514,92.90707397460938,213.815662428188
12,576000,1032750000,2133000000,26.675,31.29441820887606,211.9605712890625,233.0226907384238
12,576000,930750000,2133000000,28.18,29.7275553574586,234.98956298828125,256.23886550682454
12,576000,828750000,2133000000,25.072,28.160692506041144,316.7591552734375,284.8945982836004
12,576000,726750000,2133000000,23.263,26.59382965462369,116.39756774902344,321.2016136170531
12,576000,624750000,2133000000,23.77,25.02696680320623,196.8123779296875,368.7758062022593
12,576000,522750000,2133000000,23.483,23.46010395178877,133.6492156982422,433.9736202846155
12,576000,420750000,2133000000,20.176,21.89324110037132,147.3934326171875,529.127634307513
12,576000,318750000,2133000000,20.482,20.32637824895386,188.5886688232422,681.8378774115267
12,576000,216750000,2133000000,17.468,18.7595153975364,269.6675720214844,969.7313585077792
12,576000,114750000,2133000000,16.156,17.192652546118943,480.5094604492188,1733.452399566934
12,729600,1300500000,2133000000,31.701,36.0478271497613,90.60610961914062,198.2802839853772
12,729600,1236750000,2133000000,31.093,35.068537867625395,90.93641662597656,207.59435330507932
12,729600,1134750000,2133000000,32.698,33.50167501620794,92.16063690185548,224.57242348229124
12,729600,1032750000,2133000000,28.178,31.93481216479048,227.0922241210937,244.7457299956593
12,729600,930750000,2133000000,28.179,30.367949313373025,95.76847839355467,269.129877408056
