epoch,Start_time,Stop_time,epochtime_ms,log_time
0,1717332246.0872877,1717332247.5118072,1424.5195388793945,34.60915660858154
0,1717332248.2250786,1717332248.3239717,98.8931655883789,35.42132115364075
0,1717332249.169025,1717332249.2613058,92.28086471557617,36.35865521430969
0,1717332250.1527472,1717332250.2313921,78.64499092102051,37.32874155044556
0,1717332250.3630357,1717332250.4361076,73.07195663452148,37.53345704078674
0,1717332250.5618868,1717332250.6343234,72.43657112121582,37.73167276382446
0,1717332250.7774162,1717332250.8594897,82.07345008850098,37.956839084625244
0,1717332250.9903338,1717332251.0717392,81.4054012298584,38.16908860206604
0,1717332251.2227945,1717332251.2973428,74.54824447631836,38.394692182540894
0,1717332251.4260163,1717332251.5022771,76.26080513000488,38.599626541137695
0,1717332251.6373124,1717332251.709087,71.77448272705078,38.80643630027771
0,1717332251.8407576,1717332251.9122376,71.48003578186035,39.00958704948425
0,1717332252.048019,1717332252.1233268,75.30784606933594,39.22067618370056
0,1717332252.2542224,1717332252.3276124,73.39000701904297,39.42496180534363
0,1717332252.4651666,1717332252.5372458,72.07918167114258,39.63459515571594
0,1717332252.675609,1717332252.7475502,71.94113731384277,39.84489965438843
0,1717332252.8857207,1717332252.9580092,72.28851318359375,40.05535864830017
0,1717332253.0972378,1717332253.1689808,71.74301147460938,40.26633024215698
0,1717332253.3041782,1717332253.3763535,72.17526435852051,40.473702907562256
0,1717332253.5078168,1717332253.5800362,72.2193717956543,40.677385568618774
0,1717332253.7156148,1717332253.7876744,72.05963134765625,40.88502383232117
0,1717332253.9195051,1717332253.991108,71.60282135009766,41.088457345962524
0,1717332254.1226485,1717332254.1954618,72.81327247619629,41.292811155319214
0,1717332254.3294055,1717332254.4039257,74.52011108398438,41.501275062561035
0,1717332254.539168,1717332254.6109848,71.81692123413086,41.70833420753479
0,1717332254.7413235,1717332254.8135319,72.20840454101562,41.91088128089905
0,1717332254.941959,1717332255.0130656,71.1066722869873,42.11041498184204
0,1717332255.1389623,1717332255.2102885,71.32625579833984,42.30763792991638
0,1717332255.3497872,1717332255.4207017,70.91450691223145,42.51805114746094
0,1717332255.5496006,1717332255.6205513,70.95074653625488,42.71790075302124
0,1717332255.750859,1717332255.8229415,72.08251953125,42.92029094696045
0,1717332255.954828,1717332256.0262706,71.4426040649414,43.12362003326416
0,1717332256.1531892,1717332256.2248871,71.69795036315918,43.32223653793335
0,1717332256.3650413,1717332256.447656,82.61466026306152,43.545005321502686
0,1717332256.5832653,1717332256.6638918,80.6264877319336,43.76124119758606
0,1717332256.8054798,1717332256.877881,72.40128517150879,43.97523045539856
0,1717332257.0097938,1717332257.0857651,75.97136497497559,44.183114528656006
0,1717332257.214226,1717332257.2861304,71.90442085266113,44.383479833602905
0,1717332257.4081147,1717332257.4832025,75.0877857208252,44.580551862716675
0,1717332257.6199267,1717332257.6920187,72.09205627441406,44.78936815261841
0,1717332257.8231118,1717332257.9060748,82.9629898071289,45.00342416763306
0,1717332258.0390885,1717332258.1236944,84.60593223571777,45.221043825149536
0,1717332258.2480028,1717332258.3272507,79.24795150756836,45.42460012435913
0,1717332258.4670696,1717332258.5493207,82.25107192993164,45.64667010307312
0,1717332258.6798003,1717332258.7523415,72.5412368774414,45.84969091415405
0,1717332258.877492,1717332258.9488454,71.35343551635742,46.04619479179382
0,1717332259.0766582,1717332259.1559944,79.33616638183594,46.2533438205719
0,1717332259.2742748,1717332259.3534653,79.19049263000488,46.450814723968506
0,1717332259.489329,1717332259.5652533,75.92415809631348,46.66260266304016
0,1717332259.69394,1717332259.7656436,71.70367240905762,46.862993001937866
0,1717332259.9005988,1717332259.9722652,71.66647911071777,47.06961464881897
0,1717332260.101597,1717332260.172881,71.28381729125977,47.270230293273926
0,1717332260.300391,1717332260.3722856,71.89464569091797,47.469635009765625
0,1717332260.5067098,1717332260.5798168,73.10700416564941,47.677166223526
0,1717332260.7020857,1717332260.7745428,72.45707511901855,47.87189221382141
0,1717332260.8989167,1717332260.9789462,80.02948760986328,48.076295614242554
0,1717332261.1174374,1717332261.1964908,79.05340194702148,48.293840169906616
0,1717332261.3307693,1717332261.4017603,70.99103927612305,48.499109745025635
0,1717332261.5275683,1717332261.5990694,71.50101661682129,48.69641876220703
0,1717332261.740722,1717332261.8121252,71.40326499938965,48.90947461128235
0,1717332261.9436195,1717332262.015673,72.05343246459961,49.113022327423096
0,1717332262.144453,1717332262.2170653,72.61228561401367,49.314414739608765
0,1717332262.343733,1717332262.4160767,72.34358787536621,49.513426065444946
0,1717332262.545608,1717332262.6177866,72.17860221862793,49.71513605117798
0,1717332262.7428613,1717332262.815156,72.29471206665039,49.91250538825989
0,1717332262.9495323,1717332263.0211294,71.59709930419922,50.118478775024414
0,1717332263.152259,1717332263.2240624,71.80333137512207,50.32141184806824
0,1717332263.3538976,1717332263.4253519,71.45428657531738,50.522701263427734
0,1717332263.5559754,1717332263.6274006,71.42519950866699,50.72475004196167
0,1717332263.7560396,1717332263.8280525,72.01290130615234,50.92540192604065
0,1717332263.9650726,1717332264.0374231,72.35050201416016,51.134772539138794
0,1717332264.1643116,1717332264.237092,72.78037071228027,51.33444142341614
0,1717332264.3760326,1717332264.447778,71.74539566040039,51.545127391815186
0,1717332264.582756,1717332264.6652348,82.47876167297363,51.76258420944214
0,1717332264.7907448,1717332264.865806,75.06132125854492,51.96315550804138
0,1717332264.9940846,1717332265.0670996,73.01497459411621,52.164448976516724
0,1717332265.2073674,1717332265.27982,72.45254516601562,52.377169370651245
