powermode_algo,infer_time_algo,bs_algo,interleaved_power_algo,power_budget,num_train_batches_algo,num_tries_algo,time_budget,arr_rate,powermode_optim,infer_time_optim,bs_optim,interleaved_power_optim,num_train_batches_optim,num_tries_optim,powermode_nn,infer_time_nn,bs_nn,interleaved_power_nn,num_train_batches_nn,powermode_random,infer_time_random,bs_random,interleaved_power_random,num_train_batches_random,flag,time_scaled,time_cond1,time_cond2,powermode_nn_50,infer_time_nn_50,bs_nn_50,interleaved_power_nn_50,num_train_batches_nn_50,powermode_random_50,infer_time_random_50,bs_random_50,interleaved_power_random_50,num_train_batches_random_50
8_1344000_522750000_2133000000,33.58464050292969,4.0,24.59,25,0.0,15.0,0.5,30.0,12_2201600_318750000_3199000000,17.82817554473877,1.0,23.893,0.0,1.0,8_1651200_726750000_2133000000,32.223472595214844,4.0,28.186,1.0,12_2201600_318750000_2133000000,19.34756755828857,1.0,23.0845,0.0,False,0.0322234725952148,0.1655568059285481,0.9667041778564454,12_1036800_726750000_2133000000,36.74880027770996,4.0,28.095,0.0,8_2201600_318750000_3199000000,19.27841567993164,1.0,23.893,0.0
8_1344000_522750000_2133000000,33.58464050292969,4.0,24.59,26,0.0,15.0,0.5,30.0,12_2201600_318750000_3199000000,17.82817554473877,1.0,23.893,0.0,1.0,8_1651200_726750000_2133000000,32.223472595214844,4.0,28.186,1.0,12_2201600_318750000_2133000000,19.34756755828857,1.0,23.0845,0.0,False,0.0322234725952148,0.1655568059285481,0.9667041778564454,12_1036800_726750000_2133000000,36.74880027770996,4.0,28.095,0.0,8_2201600_318750000_3199000000,19.27841567993164,1.0,23.893,0.0
8_1344000_522750000_3199000000,31.814096450805664,4.0,26.384,27,0.0,14.0,0.5,30.0,12_2201600_318750000_3199000000,17.82817554473877,1.0,23.893,0.0,1.0,8_1651200_726750000_2133000000,32.223472595214844,4.0,28.186,1.0,12_2201600_318750000_2133000000,19.34756755828857,1.0,23.0845,0.0,False,0.0322234725952148,0.1655568059285481,0.9667041778564454,12_1036800_726750000_2133000000,36.74880027770996,4.0,28.095,0.0,8_2201600_318750000_3199000000,19.27841567993164,1.0,23.893,0.0
12_1958400_522750000_3199000000,21.712224006652832,4.0,27.682,28,1.0,14.0,0.5,30.0,12_1958400_522750000_3199000000,21.712224006652832,4.0,27.682,1.0,1.0,8_1651200_726750000_2133000000,32.223472595214844,4.0,28.186,1.0,12_1958400_522750000_3199000000,21.712224006652832,4.0,27.682,1.0,True,0.0322234725952148,0.1655568059285481,0.9667041778564454,12_1036800_726750000_2133000000,36.74880027770996,4.0,28.095,0.0,8_2201600_318750000_3199000000,19.27841567993164,1.0,23.893,0.0
8_1958400_522750000_3199000000,23.0838565826416,4.0,27.688,29,1.0,12.0,0.5,30.0,8_2201600_522750000_3199000000,21.3819522857666,4.0,28.885,1.0,1.0,8_1651200_726750000_2133000000,32.223472595214844,4.0,28.186,1.0,12_1958400_522750000_3199000000,21.712224006652832,4.0,27.682,1.0,True,0.0322234725952148,0.1655568059285481,0.9667041778564454,12_1036800_726750000_2133000000,36.74880027770996,4.0,28.095,0.0,8_2201600_318750000_3199000000,19.27841567993164,1.0,23.893,0.0
8_1344000_726750000_3199000000,31.67280006408692,4.0,29.436,30,1.0,12.0,0.5,30.0,12_2201600_522750000_3199000000,20.90439987182617,4.0,29.29,1.0,1.0,4_1651200_726750000_3199000000,30.47430324554444,4.0,31.39,1.0,12_2201600_522750000_3199000000,20.90439987182617,4.0,29.29,1.0,False,0.0304743032455444,0.1638076365788777,0.9142290973663332,12_1036800_726750000_2133000000,36.74880027770996,4.0,28.095,0.0,8_2201600_318750000_3199000000,19.27841567993164,1.0,23.893,0.0
8_2201600_726750000_2133000000,23.342559814453125,4.0,30.191,31,1.0,12.0,0.5,30.0,12_2201600_522750000_3199000000,20.90439987182617,4.0,29.29,1.0,1.0,4_1651200_726750000_3199000000,30.47430324554444,4.0,31.39,1.0,12_2201600_522750000_3199000000,20.90439987182617,4.0,29.29,1.0,True,0.0304743032455444,0.1638076365788777,0.9142290973663332,12_1036800_726750000_2133000000,36.74880027770996,4.0,28.095,0.0,8_2201600_318750000_3199000000,19.27841567993164,1.0,23.893,0.0
8_2201600_726750000_2133000000,23.342559814453125,4.0,30.191,32,1.0,12.0,0.5,30.0,12_2201600_522750000_3199000000,20.90439987182617,4.0,29.29,1.0,1.0,4_1651200_726750000_3199000000,30.47430324554444,4.0,31.39,1.0,12_2201600_522750000_3199000000,20.90439987182617,4.0,29.29,1.0,True,0.0304743032455444,0.1638076365788777,0.9142290973663332,12_1036800_726750000_2133000000,36.74880027770996,4.0,28.095,0.0,8_2201600_318750000_3199000000,19.27841567993164,1.0,23.893,0.0
8_2201600_726750000_2133000000,23.342559814453125,4.0,30.191,33,1.0,12.0,0.5,30.0,12_2201600_522750000_3199000000,20.90439987182617,4.0,29.29,1.0,1.0,4_1651200_726750000_3199000000,30.47430324554444,4.0,31.39,1.0,12_2201600_522750000_3199000000,20.90439987182617,4.0,29.29,1.0,True,0.0304743032455444,0.1638076365788777,0.9142290973663332,12_1036800_726750000_2133000000,36.74880027770996,4.0,28.095,0.0,8_2201600_318750000_3199000000,19.27841567993164,1.0,23.893,0.0
8_2201600_726750000_2133000000,23.342559814453125,4.0,30.191,34,1.0,12.0,0.5,30.0,12_2201600_522750000_3199000000,20.90439987182617,4.0,29.29,1.0,1.0,4_1651200_726750000_3199000000,30.47430324554444,4.0,31.39,1.0,12_2201600_522750000_3199000000,20.90439987182617,4.0,29.29,1.0,True,0.0304743032455444,0.1638076365788777,0.9142290973663332,12_1036800_726750000_2133000000,36.74880027770996,4.0,28.095,0.0,8_2201600_318750000_3199000000,19.27841567993164,1.0,23.893,0.0
