total,used,free,shared,buff/cache,available,log_time
7.2Gi,2.1Gi,3.1Gi,20Mi,2.0Gi,4.9Gi,2.6812148094177246
7.2Gi,2.1Gi,3.1Gi,20Mi,2.0Gi,4.8Gi,4.114736795425415
7.2Gi,2.1Gi,3.1Gi,20Mi,2.0Gi,4.8Gi,5.834364175796509
7.2Gi,2.1Gi,3.0Gi,20Mi,2.0Gi,4.8Gi,7.353827476501465
7.2Gi,2.1Gi,3.0Gi,20Mi,2.0Gi,4.8Gi,8.857072591781616
7.2Gi,2.1Gi,3.0Gi,20Mi,2.0Gi,4.8Gi,10.365921020507812
7.2Gi,2.1Gi,3.0Gi,20Mi,2.0Gi,4.8Gi,11.811566591262817
7.2Gi,2.1Gi,3.0Gi,20Mi,2.0Gi,4.8Gi,13.484487533569336
7.2Gi,2.1Gi,3.0Gi,20Mi,2.0Gi,4.8Gi,14.993671655654907
7.2Gi,2.1Gi,3.0Gi,20Mi,2.0Gi,4.8Gi,16.46655249595642
7.2Gi,2.1Gi,3.0Gi,20Mi,2.0Gi,4.8Gi,17.810524463653564
7.2Gi,2.1Gi,3.0Gi,20Mi,2.0Gi,4.8Gi,19.185314893722534
7.2Gi,2.1Gi,3.0Gi,20Mi,2.0Gi,4.8Gi,20.538633823394775
7.2Gi,2.1Gi,3.0Gi,20Mi,2.0Gi,4.8Gi,22.00479245185852
7.2Gi,2.3Gi,2.9Gi,20Mi,2.0Gi,4.7Gi,23.378417491912842
7.2Gi,2.4Gi,2.7Gi,20Mi,2.0Gi,4.5Gi,24.761771202087402
7.2Gi,2.6Gi,2.6Gi,20Mi,2.0Gi,4.4Gi,26.232476711273193
7.2Gi,2.6Gi,2.7Gi,20Mi,1.9Gi,4.4Gi,27.497473001480103
7.2Gi,2.1Gi,4.5Gi,20Mi,579Mi,4.8Gi,29.21109962463379
7.2Gi,2.2Gi,4.4Gi,20Mi,590Mi,4.8Gi,30.849769353866577
7.2Gi,2.2Gi,4.4Gi,20Mi,605Mi,4.7Gi,32.14133906364441
7.2Gi,2.3Gi,4.2Gi,103Mi,717Mi,4.6Gi,33.4454448223114
7.2Gi,2.3Gi,4.1Gi,103Mi,752Mi,4.6Gi,34.71123504638672
7.2Gi,2.3Gi,4.1Gi,103Mi,767Mi,4.5Gi,35.97924208641052
7.2Gi,2.4Gi,4.0Gi,103Mi,789Mi,4.5Gi,37.24008274078369
7.2Gi,2.4Gi,4.0Gi,103Mi,806Mi,4.5Gi,38.489346742630005
7.2Gi,2.4Gi,3.9Gi,103Mi,834Mi,4.4Gi,39.75819659233093
7.2Gi,2.4Gi,3.9Gi,103Mi,852Mi,4.4Gi,41.02532124519348
7.2Gi,2.5Gi,3.9Gi,103Mi,873Mi,4.4Gi,42.286489725112915
