total,used,free,shared,buff/cache,available,log_time
7.2Gi,2.4Gi,2.5Gi,20Mi,2.3Gi,4.6Gi,1.9231810569763184
7.2Gi,2.6Gi,2.2Gi,56Mi,2.4Gi,4.3Gi,3.1572368144989014
7.2Gi,3.1Gi,1.7Gi,103Mi,2.4Gi,3.8Gi,4.415971040725708
7.2Gi,3.4Gi,1.3Gi,103Mi,2.4Gi,3.4Gi,5.6275506019592285
7.2Gi,3.8Gi,967Mi,103Mi,2.4Gi,3.0Gi,6.838263273239136
7.2Gi,4.5Gi,258Mi,103Mi,2.4Gi,2.3Gi,8.078438997268677
7.2Gi,4.6Gi,147Mi,103Mi,2.4Gi,2.2Gi,9.325658798217773
7.2Gi,4.6Gi,157Mi,94Mi,2.4Gi,2.2Gi,10.589451313018799
7.2Gi,4.6Gi,135Mi,94Mi,2.4Gi,2.2Gi,11.845114707946777
7.2Gi,4.6Gi,135Mi,94Mi,2.4Gi,2.2Gi,13.087402820587158
7.2Gi,4.6Gi,125Mi,103Mi,2.4Gi,2.2Gi,14.321389198303223
7.2Gi,4.6Gi,125Mi,103Mi,2.4Gi,2.2Gi,15.545255899429321
7.2Gi,4.6Gi,126Mi,103Mi,2.4Gi,2.2Gi,16.785076141357422
7.2Gi,4.6Gi,125Mi,103Mi,2.4Gi,2.2Gi,18.00856614112854
7.2Gi,4.6Gi,134Mi,94Mi,2.4Gi,2.2Gi,19.31113910675049
7.2Gi,4.6Gi,133Mi,94Mi,2.4Gi,2.2Gi,20.571691751480103
7.2Gi,4.6Gi,132Mi,97Mi,2.4Gi,2.2Gi,21.817279815673828
7.2Gi,4.6Gi,127Mi,103Mi,2.4Gi,2.2Gi,23.064110040664673
7.2Gi,4.6Gi,128Mi,103Mi,2.4Gi,2.2Gi,24.292453289031982
7.2Gi,4.6Gi,123Mi,103Mi,2.4Gi,2.2Gi,25.511260747909546
7.2Gi,4.6Gi,133Mi,94Mi,2.4Gi,2.2Gi,26.756839513778687
7.2Gi,4.6Gi,134Mi,94Mi,2.4Gi,2.2Gi,28.0207302570343
