total,used,free,log_time
3.6Gi,3.0Mi,3.6Gi,2.7910971641540527
3.6Gi,3.0Mi,3.6Gi,4.35153603553772
3.6Gi,3.0Mi,3.6Gi,5.809626340866089
3.6Gi,3.0Mi,3.6Gi,7.1123199462890625
3.6Gi,3.0Mi,3.6Gi,8.449069738388062
3.6Gi,3.0Mi,3.6Gi,10.539732456207275
3.6Gi,3.0Mi,3.6Gi,12.238776445388794
3.6Gi,3.0Mi,3.6Gi,13.815813064575195
3.6Gi,3.0Mi,3.6Gi,15.277831554412842
3.6Gi,3.0Mi,3.6Gi,16.674530267715454
3.6Gi,3.0Mi,3.6Gi,18.22902774810791
3.6Gi,3.0Mi,3.6Gi,19.757753133773804
3.6Gi,3.0Mi,3.6Gi,21.246859788894653
3.6Gi,3.0Mi,3.6Gi,22.634040355682373
3.6Gi,3.0Mi,3.6Gi,24.154561758041382
3.6Gi,3.0Mi,3.6Gi,25.587367296218872
3.6Gi,3.0Mi,3.6Gi,27.420917510986328
3.6Gi,3.0Mi,3.6Gi,29.038646459579468
3.6Gi,3.0Mi,3.6Gi,30.755727529525757
3.6Gi,3.0Mi,3.6Gi,32.72305727005005
3.6Gi,3.0Mi,3.6Gi,34.3305230140686
3.6Gi,3.0Mi,3.6Gi,35.81139135360718
3.6Gi,3.0Mi,3.6Gi,37.52437877655029
3.6Gi,3.0Mi,3.6Gi,39.038357734680176
3.6Gi,3.0Mi,3.6Gi,40.63099122047424
3.6Gi,3.0Mi,3.6Gi,42.08874988555908
3.6Gi,3.0Mi,3.6Gi,43.72373867034912
3.6Gi,3.0Mi,3.6Gi,45.018327951431274
