1,2,log_time
"{'val': 0, 'frq': 624000, 'min_freq': 624750000, 'max_freq': 624750000}","{'val': 0, 'frq': 0, 'min_freq': 624750000, 'max_freq': 624750000}",0.14154648780822754
"{'val': 0, 'frq': 624000, 'min_freq': 624750000, 'max_freq': 624750000}","{'val': 0, 'frq': 0, 'min_freq': 624750000, 'max_freq': 624750000}",0.14154648780822754
"{'val': 0, 'frq': 624000, 'min_freq': 624750000, 'max_freq': 624750000}","{'val': 0, 'frq': 0, 'min_freq': 624750000, 'max_freq': 624750000}",0.7297022342681885
"{'val': 0, 'frq': 624000, 'min_freq': 624750000, 'max_freq': 624750000}","{'val': 0, 'frq': 0, 'min_freq': 624750000, 'max_freq': 624750000}",1.9000427722930908
"{'val': 15, 'frq': 624000, 'min_freq': 624750000, 'max_freq': 624750000}","{'val': 15, 'frq': 0, 'min_freq': 624750000, 'max_freq': 624750000}",3.064548969268799
"{'val': 0, 'frq': 623000, 'min_freq': 624750000, 'max_freq': 624750000}","{'val': 0, 'frq': 0, 'min_freq': 624750000, 'max_freq': 624750000}",4.2484095096588135
"{'val': 0, 'frq': 624000, 'min_freq': 624750000, 'max_freq': 624750000}","{'val': 6, 'frq': 0, 'min_freq': 624750000, 'max_freq': 624750000}",5.513810396194458
"{'val': 0, 'frq': 624000, 'min_freq': 624750000, 'max_freq': 624750000}","{'val': 0, 'frq': 0, 'min_freq': 624750000, 'max_freq': 624750000}",6.679544925689697
"{'val': 45, 'frq': 622000, 'min_freq': 624750000, 'max_freq': 624750000}","{'val': 45, 'frq': 0, 'min_freq': 624750000, 'max_freq': 624750000}",7.844820976257324
"{'val': 28, 'frq': 624000, 'min_freq': 624750000, 'max_freq': 624750000}","{'val': 28, 'frq': 0, 'min_freq': 624750000, 'max_freq': 624750000}",9.030808448791504
"{'val': 99, 'frq': 618000, 'min_freq': 624750000, 'max_freq': 624750000}","{'val': 99, 'frq': 0, 'min_freq': 624750000, 'max_freq': 624750000}",10.231159210205078
"{'val': 99, 'frq': 616000, 'min_freq': 624750000, 'max_freq': 624750000}","{'val': 99, 'frq': 0, 'min_freq': 624750000, 'max_freq': 624750000}",11.411674499511719
"{'val': 99, 'frq': 618000, 'min_freq': 624750000, 'max_freq': 624750000}","{'val': 99, 'frq': 0, 'min_freq': 624750000, 'max_freq': 624750000}",12.59037733078003
"{'val': 99, 'frq': 619000, 'min_freq': 624750000, 'max_freq': 624750000}","{'val': 99, 'frq': 0, 'min_freq': 624750000, 'max_freq': 624750000}",13.7733793258667
"{'val': 99, 'frq': 618000, 'min_freq': 624750000, 'max_freq': 624750000}","{'val': 99, 'frq': 0, 'min_freq': 624750000, 'max_freq': 624750000}",14.946877479553223
"{'val': 0, 'frq': 624000, 'min_freq': 624750000, 'max_freq': 624750000}","{'val': 0, 'frq': 0, 'min_freq': 624750000, 'max_freq': 624750000}",16.134929418563843
"{'val': 99, 'frq': 620000, 'min_freq': 624750000, 'max_freq': 624750000}","{'val': 99, 'frq': 0, 'min_freq': 624750000, 'max_freq': 624750000}",17.323281049728394
"{'val': 99, 'frq': 618000, 'min_freq': 624750000, 'max_freq': 624750000}","{'val': 99, 'frq': 0, 'min_freq': 624750000, 'max_freq': 624750000}",18.50479292869568
"{'val': 99, 'frq': 618000, 'min_freq': 624750000, 'max_freq': 624750000}","{'val': 99, 'frq': 0, 'min_freq': 624750000, 'max_freq': 624750000}",19.68441104888916
