time,uptime,jetson_clocks,nvp model,CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,GPU1,GPU2,RAM,EMC,SWAP,APE,NVDEC,NVENC,NVJPG,NVJPG1,SE,VIC,fan,Temp CPU,Temp GPU,Temp SOC0,Temp SOC1,Temp SOC2,Temp tj,power cur,power avg,log_time
2024-06-10 01:56:39.964320,0 days 00:29:54.910000,ON,pm_new,30,29,100,26,24,32,0,0,4842064,8,4,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,41.093,40.5,39.875,40.625,41.718,41.656,6635,8710,0.2844207286834717
2024-06-10 01:56:39.964320,0 days 00:29:54.910000,ON,pm_new,30,29,100,26,24,32,0,0,4842064,8,4,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,41.093,40.5,39.875,40.625,41.718,41.656,6635,8710,0.2844207286834717
2024-06-10 01:56:40.975974,0 days 00:29:55.920000,ON,pm_new,100,100,OFF,OFF,OFF,OFF,0,0,2331940,0,4,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,40.593,39.812,39.468,40.343,41.218,41.218,6787,6787,1.2954559326171875
2024-06-10 01:56:43.531574,0 days 00:29:58.480000,ON,pm_new,100,100,OFF,OFF,OFF,OFF,0,0,2354832,0,4,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,40.656,40.218,39.531,40.343,41.343,41.218,6818,6796,3.8506104946136475
2024-06-10 01:56:45.925647,0 days 00:30:00.870000,ON,pm_new,100,100,OFF,OFF,OFF,OFF,0,0,2370592,0,4,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,40.75,40.187,39.5,40.375,41.187,41.187,6779,6787,6.244526386260986
2024-06-10 01:56:47.719191,0 days 00:30:02.670000,ON,pm_new,98,100,OFF,OFF,OFF,OFF,0,0,2358256,0,4,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,40.562,39.937,39.5,40.218,41.187,41.125,6710,6782,8.046736478805542
2024-06-10 01:56:49.384050,0 days 00:30:04.330000,ON,pm_new,90,98,OFF,OFF,OFF,OFF,18,18,2449888,0,4,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,40.75,40.187,39.437,40.281,41.156,41.25,6858,6789,9.703125953674316
2024-06-10 01:56:51.013915,0 days 00:30:05.960000,ON,pm_new,100,98,OFF,OFF,OFF,OFF,0,4,2591652,1,4,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,40.562,40.0,39.375,40.125,41.125,41.125,6858,6800,11.332892894744873
2024-06-10 01:56:52.898260,0 days 00:30:07.850000,ON,pm_new,100,100,OFF,OFF,OFF,OFF,4,4,2744444,1,4,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,40.75,40.187,39.312,40.25,41.062,41.062,6897,6813,13.217179298400879
2024-06-10 01:56:54.508037,0 days 00:30:09.460000,ON,pm_new,100,100,OFF,OFF,OFF,OFF,6,4,2829024,1,4,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,40.656,40.125,39.406,40.093,41.093,41.156,6858,6816,14.827087163925171
