cores,cpu,gpu,mem,skip_index,start_time,end_time,clean minibatches
2,268800,1300500000,204000000,-1,118.70080614089966,204.03066086769104,50
2,268800,1300500000,2133000000,-1,57.57547211647034,109.12906122207642,50
2,268800,1300500000,3199000000,-1,54.97587823867798,105.1019024848938,50
2,268800,1300500000,665600000,-1,62.15819430351257,118.20403146743774,50
4,268800,1300500000,204000000,-1,136.89069819450378,267.99052834510803,50
4,268800,1300500000,2133000000,-1,122.03780841827393,239.3711774349213,50
4,268800,1300500000,3199000000,-1,121.97599029541016,236.0895698070526,50
4,268800,1300500000,665600000,-1,126.19081115722656,244.57454323768616,50
6,268800,1300500000,204000000,-1,77.19760727882385,152.96520924568176,50
6,268800,1300500000,2133000000,-1,56.01406359672546,101.20632600784302,50
6,268800,1300500000,3199000000,1,37.54970693588257,81.47162508964539,50
6,268800,1300500000,665600000,3,46.98312497138977,103.6167471408844,48
8,268800,1300500000,204000000,1,98.53275990486144,224.9311466217041,50
8,268800,1300500000,2133000000,-1,116.8832573890686,228.1961705684662,50
8,268800,1300500000,3199000000,-1,115.15541768074036,224.69144868850708,50
8,268800,1300500000,665600000,-1,119.6331558227539,233.216831445694,50
10,268800,1300500000,204000000,-1,76.89910912513733,148.93115210533142,50
10,268800,1300500000,2133000000,-1,56.67536902427673,110.16081643104552,50
10,268800,1300500000,3199000000,-1,55.75028538703919,105.99609327316284,50
10,268800,1300500000,665600000,-1,63.76899480819702,126.62597608566284,50
12,268800,1300500000,204000000,-1,131.99680471420288,254.1259264945984,50
12,268800,1300500000,2133000000,-1,147.3331060409546,258.1402304172516,50
12,268800,1300500000,3199000000,-1,117.40642166137695,223.57569456100464,50
12,268800,1300500000,665600000,-1,119.50467014312744,230.37095665931705,50
2,268800,1236750000,204000000,-1,244.0202777385712,467.30404257774353,50
2,268800,1236750000,2133000000,-1,188.0843644142151,364.7612540721893,50
2,268800,1236750000,3199000000,-1,188.30524468421936,361.2950916290283,50
2,268800,1236750000,665600000,-1,209.9103007316589,398.80848002433777,50
4,268800,1236750000,204000000,-1,137.8122136592865,268.5335810184479,50
4,268800,1236750000,2133000000,-1,120.97156977653503,237.23821020126343,50
4,268800,1236750000,3199000000,-1,118.22865676879884,234.04409623146057,50
4,268800,1236750000,665600000,-1,125.6328582763672,245.32455563545227,50
6,268800,1236750000,204000000,1,96.9772448539734,222.96694827079773,50
6,268800,1236750000,2133000000,-1,116.00375247001648,222.7569823265076,50
6,268800,1236750000,3199000000,-1,114.84099197387695,222.7670104503632,50
6,268800,1236750000,665600000,-1,117.7587616443634,226.59827423095703,50
8,268800,1236750000,204000000,-1,132.42302775382996,258.1249666213989,50
8,268800,1236750000,2133000000,-1,118.68957567214966,226.44632387161252,50
8,268800,1236750000,3199000000,-1,118.32102584838869,227.7258656024933,50
8,268800,1236750000,665600000,-1,121.1572105884552,231.7391993999481,50
10,268800,1236750000,204000000,-1,129.9784436225891,251.06522870063785,50
10,268800,1236750000,2133000000,-1,117.53209018707275,224.2678999900818,50
10,268800,1236750000,3199000000,-1,116.2732756137848,223.15934801101685,50
10,268800,1236750000,665600000,-1,119.76093029975893,227.95542120933533,50
12,268800,1236750000,204000000,-1,132.20103096961975,253.561927318573,50
12,268800,1236750000,2133000000,-1,117.83894157409668,226.158299446106,50
12,268800,1236750000,3199000000,-1,117.19693541526794,224.81007862091064,50
12,268800,1236750000,665600000,-1,121.93412899971008,233.2567195892334,50
2,268800,1134750000,204000000,-1,244.2894036769867,470.5994281768799,50
2,268800,1134750000,2133000000,-1,188.44169187545776,366.9755985736847,50
2,268800,1134750000,3199000000,-1,187.68309831619263,363.9068908691406,50
2,268800,1134750000,665600000,-1,201.6724569797516,390.1919677257538,50
4,268800,1134750000,204000000,-1,140.58552742004397,271.3459310531616,50
4,268800,1134750000,2133000000,-1,121.14806270599364,239.78649759292605,50
4,268800,1134750000,3199000000,-1,121.41665577888487,233.50060844421387,50
4,268800,1134750000,665600000,-1,122.9953429698944,241.81542825698853,50
6,268800,1134750000,204000000,-1,129.6245493888855,251.3982081413269,50
6,268800,1134750000,2133000000,-1,115.60057282447816,223.70899987220764,50
6,268800,1134750000,3199000000,-1,116.07920241355896,222.6090033054352,50
6,268800,1134750000,665600000,-1,119.276593208313,228.2141900062561,50
8,268800,1134750000,204000000,-1,131.41957449913025,253.9820508956909,50
8,268800,1134750000,2133000000,-1,118.12477278709412,228.83064985275269,50
8,268800,1134750000,3199000000,-1,119.4862461090088,227.5606245994568,50
8,268800,1134750000,665600000,-1,120.50196123123168,233.6056113243103,50
10,268800,1134750000,204000000,-1,130.24898838996887,251.4787621498108,50
10,268800,1134750000,2133000000,-1,117.19379901885986,225.3933744430542,50
