powermode_algo,infer_time_algo,bs_algo,interleaved_power_algo,power_budget,num_train_batches_algo,num_tries_algo,time_budget,arr_rate,powermode_optim,infer_time_optim,bs_optim,interleaved_power_optim,num_train_batches_optim,num_tries_optim,powermode_nn,infer_time_nn,bs_nn,interleaved_power_nn,num_train_batches_nn,powermode_random,infer_time_random,bs_random,interleaved_power_random,num_train_batches_random,flag,time_scaled,powermode_nn_50,infer_time_nn_50,bs_nn_50,interleaved_power_nn_50,num_train_batches_nn_50,powermode_random_50,infer_time_random_50,bs_random_50,interleaved_power_random_50,num_train_batches_random_50
8_1344000_1134750000_3199000000,29.02680015563965,4.0,26.329,28,0.0,12.0,0.5,30.0,12_2201600_1300500000_3199000000,15.366144180297852,1.0,26.929,0.0,1.0,8_1958400_930750000_3199000000,20.238637924194336,1.0,21.319,0.0,12_2201600_726750000_3199000000,16.43723201751709,1.0,22.67,0.0,True,0.0202386379241943,12_1036800_726750000_2133000000,50.95350742340088,4.0,21.783,0.0,8_2201600_318750000_3199000000,18.98243236541748,1.0,20.0795,0.0
8_1344000_1134750000_3199000000,29.02680015563965,4.0,26.329,29,0.0,12.0,0.5,30.0,12_2201600_1300500000_3199000000,15.366144180297852,1.0,26.929,0.0,1.0,8_1958400_930750000_3199000000,20.238637924194336,1.0,21.319,0.0,12_2201600_726750000_3199000000,16.43723201751709,1.0,22.67,0.0,True,0.0202386379241943,12_1036800_726750000_2133000000,50.95350742340088,4.0,21.783,0.0,8_2201600_318750000_3199000000,18.98243236541748,1.0,20.0795,0.0
8_1344000_1134750000_3199000000,29.02680015563965,4.0,26.329,30,0.0,12.0,0.5,30.0,12_2201600_1300500000_3199000000,15.366144180297852,1.0,26.929,0.0,1.0,8_1958400_930750000_3199000000,20.238637924194336,1.0,21.319,0.0,12_2201600_726750000_3199000000,16.43723201751709,1.0,22.67,0.0,True,0.0202386379241943,12_1036800_726750000_2133000000,50.95350742340088,4.0,21.783,0.0,8_2201600_318750000_3199000000,18.98243236541748,1.0,20.0795,0.0
8_1344000_1134750000_3199000000,29.02680015563965,4.0,26.329,31,0.0,12.0,0.5,30.0,12_2201600_1300500000_3199000000,15.366144180297852,1.0,26.929,0.0,1.0,8_1958400_930750000_3199000000,20.238637924194336,1.0,21.319,0.0,12_2201600_726750000_3199000000,16.43723201751709,1.0,22.67,0.0,True,0.0202386379241943,12_1036800_726750000_2133000000,50.95350742340088,4.0,21.783,0.0,8_2201600_318750000_3199000000,18.98243236541748,1.0,20.0795,0.0
8_1651200_1134750000_3199000000,24.81118392944336,4.0,31.09,32,0.0,12.0,0.5,30.0,12_2201600_1300500000_3199000000,15.366144180297852,1.0,26.929,0.0,1.0,8_1958400_930750000_3199000000,20.238637924194336,1.0,21.319,0.0,12_2201600_726750000_3199000000,16.43723201751709,1.0,22.67,0.0,True,0.0202386379241943,12_1036800_726750000_2133000000,50.95350742340088,4.0,21.783,0.0,8_2201600_318750000_3199000000,18.98243236541748,1.0,20.0795,0.0
8_1651200_1134750000_3199000000,24.81118392944336,4.0,31.09,33,0.0,12.0,0.5,30.0,12_2201600_1300500000_3199000000,15.366144180297852,1.0,26.929,0.0,1.0,8_1958400_930750000_3199000000,20.238637924194336,1.0,21.319,0.0,12_2201600_726750000_3199000000,16.43723201751709,1.0,22.67,0.0,True,0.0202386379241943,12_1036800_726750000_2133000000,50.95350742340088,4.0,21.783,0.0,8_2201600_318750000_3199000000,18.98243236541748,1.0,20.0795,0.0
8_1958400_1134750000_3199000000,21.56953525543213,4.0,33.643,34,0.0,12.0,0.5,30.0,12_2201600_1300500000_3199000000,15.366144180297852,1.0,26.929,0.0,1.0,8_1958400_930750000_3199000000,20.238637924194336,1.0,21.319,0.0,12_2201600_726750000_3199000000,16.43723201751709,1.0,22.67,0.0,True,0.0202386379241943,12_1036800_726750000_2133000000,50.95350742340088,4.0,21.783,0.0,8_2201600_318750000_3199000000,18.98243236541748,1.0,20.0795,0.0
8_1958400_1134750000_3199000000,21.56953525543213,4.0,33.643,35,0.0,12.0,0.5,30.0,12_2201600_1300500000_3199000000,15.366144180297852,1.0,26.929,0.0,1.0,8_1958400_930750000_3199000000,20.238637924194336,1.0,21.319,0.0,12_2201600_726750000_3199000000,16.43723201751709,1.0,22.67,0.0,True,0.0202386379241943,12_1036800_726750000_2133000000,50.95350742340088,4.0,21.783,0.0,8_2201600_318750000_3199000000,18.98243236541748,1.0,20.0795,0.0
8_1958400_1134750000_3199000000,21.56953525543213,4.0,33.643,36,0.0,12.0,0.5,30.0,12_2201600_1300500000_3199000000,15.366144180297852,1.0,26.929,0.0,1.0,8_1958400_930750000_3199000000,20.238637924194336,1.0,21.319,0.0,12_2201600_726750000_3199000000,16.43723201751709,1.0,22.67,0.0,True,0.0202386379241943,12_1036800_726750000_2133000000,50.95350742340088,4.0,21.783,0.0,8_2201600_318750000_3199000000,18.98243236541748,1.0,20.0795,0.0
8_1958400_1134750000_3199000000,21.56953525543213,4.0,33.643,37,0.0,12.0,0.5,30.0,12_2201600_1300500000_3199000000,15.366144180297852,1.0,26.929,0.0,1.0,8_1958400_930750000_3199000000,20.238637924194336,1.0,21.319,0.0,12_2201600_726750000_3199000000,16.43723201751709,1.0,22.67,0.0,True,0.0202386379241943,12_1036800_726750000_2133000000,50.95350742340088,4.0,21.783,0.0,8_2201600_318750000_3199000000,18.98243236541748,1.0,20.0795,0.0
8_1958400_1134750000_3199000000,21.56953525543213,4.0,33.643,38,0.0,12.0,0.5,30.0,12_2201600_1300500000_3199000000,15.366144180297852,1.0,26.929,0.0,1.0,8_1958400_930750000_3199000000,20.238637924194336,1.0,21.319,0.0,12_2201600_726750000_3199000000,16.43723201751709,1.0,22.67,0.0,True,0.0202386379241943,12_1036800_726750000_2133000000,50.95350742340088,4.0,21.783,0.0,8_2201600_318750000_3199000000,18.98243236541748,1.0,20.0795,0.0
8_2201600_1134750000_3199000000,20.751344680786133,4.0,38.7095,39,0.0,12.0,0.5,30.0,12_2201600_1300500000_3199000000,15.366144180297852,1.0,26.929,0.0,1.0,8_1958400_930750000_3199000000,20.238637924194336,1.0,21.319,0.0,12_2201600_726750000_3199000000,16.43723201751709,1.0,22.67,0.0,True,0.0202386379241943,12_1036800_726750000_2133000000,50.95350742340088,4.0,21.783,0.0,8_2201600_318750000_3199000000,18.98243236541748,1.0,20.0795,0.0
