total,used,free,log_time
3.6Gi,3.0Mi,3.6Gi,2.583853006362915
3.6Gi,3.0Mi,3.6Gi,4.101698160171509
3.6Gi,3.0Mi,3.6Gi,5.558298587799072
3.6Gi,3.0Mi,3.6Gi,6.89920711517334
3.6Gi,3.0Mi,3.6Gi,8.344094038009644
3.6Gi,3.0Mi,3.6Gi,9.744587898254395
3.6Gi,3.0Mi,3.6Gi,11.0926673412323
3.6Gi,3.0Mi,3.6Gi,12.53856110572815
3.6Gi,3.0Mi,3.6Gi,13.659217357635498
3.6Gi,3.0Mi,3.6Gi,14.801754474639893
3.6Gi,3.0Mi,3.6Gi,15.954084157943726
3.6Gi,3.0Mi,3.6Gi,17.07227921485901
3.6Gi,3.0Mi,3.6Gi,18.190178632736206
3.6Gi,3.0Mi,3.6Gi,19.319414138793945
3.6Gi,3.0Mi,3.6Gi,20.467571020126343
3.6Gi,3.0Mi,3.6Gi,21.582959175109863
3.6Gi,3.0Mi,3.6Gi,22.78809094429016
3.6Gi,3.0Mi,3.6Gi,23.910637855529785
3.6Gi,3.0Mi,3.6Gi,25.053807735443115
3.6Gi,3.0Mi,3.6Gi,26.18016505241394
3.6Gi,3.0Mi,3.6Gi,27.29652428627014
3.6Gi,3.0Mi,3.6Gi,28.452867031097412
3.6Gi,3.0Mi,3.6Gi,29.603955030441284
3.6Gi,3.0Mi,3.6Gi,30.74383282661438
3.6Gi,3.0Mi,3.6Gi,31.858850955963135
3.6Gi,3.0Mi,3.6Gi,32.97945594787598
3.6Gi,3.0Mi,3.6Gi,34.111509799957275
3.6Gi,3.0Mi,3.6Gi,35.23050594329834
3.6Gi,3.0Mi,3.6Gi,36.34430503845215
3.6Gi,3.0Mi,3.6Gi,37.47104787826538
3.6Gi,3.0Mi,3.6Gi,38.59625172615051
3.6Gi,3.0Mi,3.6Gi,39.72808051109314
3.6Gi,3.0Mi,3.6Gi,40.844337701797485
3.6Gi,3.0Mi,3.6Gi,41.969605684280396
3.6Gi,3.0Mi,3.6Gi,43.11120390892029
3.6Gi,3.0Mi,3.6Gi,44.25661516189575
3.6Gi,3.0Mi,3.6Gi,45.379974126815796
3.6Gi,3.0Mi,3.6Gi,46.494384765625
3.6Gi,3.0Mi,3.6Gi,47.61199617385864
3.6Gi,3.0Mi,3.6Gi,48.747286796569824
3.6Gi,3.0Mi,3.6Gi,49.90176177024841
3.6Gi,3.0Mi,3.6Gi,51.01710844039917
3.6Gi,3.0Mi,3.6Gi,52.13192534446716
3.6Gi,3.0Mi,3.6Gi,53.24548697471619
3.6Gi,3.0Mi,3.6Gi,54.37115931510925
3.6Gi,3.0Mi,3.6Gi,55.500264167785645
3.6Gi,3.0Mi,3.6Gi,56.61527347564697
3.6Gi,3.0Mi,3.6Gi,57.73081064224243
3.6Gi,3.0Mi,3.6Gi,58.84427833557129
3.6Gi,3.0Mi,3.6Gi,59.9709038734436
3.6Gi,3.0Mi,3.6Gi,61.12201189994812
3.6Gi,3.0Mi,3.6Gi,62.24899697303772
3.6Gi,3.0Mi,3.6Gi,63.37316417694092
3.6Gi,3.0Mi,3.6Gi,64.49748420715332
3.6Gi,3.0Mi,3.6Gi,65.63158798217773
3.6Gi,3.0Mi,3.6Gi,66.77233409881592
3.6Gi,3.0Mi,3.6Gi,67.88871002197266
3.6Gi,3.0Mi,3.6Gi,69.00442004203796
3.6Gi,3.0Mi,3.6Gi,70.12428379058838
3.6Gi,3.0Mi,3.6Gi,71.25313949584961
3.6Gi,3.0Mi,3.6Gi,72.37597608566284
3.6Gi,3.0Mi,3.6Gi,73.50244450569153
3.6Gi,3.0Mi,3.6Gi,74.620272397995
3.6Gi,3.0Mi,3.6Gi,75.75727128982544
3.6Gi,3.0Mi,3.6Gi,76.88879585266113
3.6Gi,3.0Mi,3.6Gi,78.00171041488647
3.6Gi,3.0Mi,3.6Gi,79.1340126991272
3.6Gi,3.0Mi,3.6Gi,80.26322412490845
3.6Gi,3.0Mi,3.6Gi,81.38777613639832
3.6Gi,3.0Mi,3.6Gi,82.51318454742432
3.6Gi,3.0Mi,3.6Gi,83.65265107154846
3.6Gi,3.0Mi,3.6Gi,85.00200200080872
3.6Gi,3.0Mi,3.6Gi,86.11735606193542
3.6Gi,3.0Mi,3.6Gi,87.23846054077148
3.6Gi,3.0Mi,3.6Gi,88.38620471954346
3.6Gi,3.0Mi,3.6Gi,89.54127359390259
3.6Gi,3.0Mi,3.6Gi,90.6629729270935
3.6Gi,3.0Mi,3.6Gi,91.87682843208313
3.6Gi,5.0Mi,3.6Gi,93.36398243904114
3.6Gi,5.0Mi,3.6Gi,94.71606397628784
3.6Gi,6.0Mi,3.6Gi,96.0301365852356
3.6Gi,6.0Mi,3.6Gi,97.29704856872559
3.6Gi,6.0Mi,3.6Gi,98.57472395896912
3.6Gi,6.0Mi,3.6Gi,100.06624293327332
3.6Gi,6.0Mi,3.6Gi,101.29309439659119
3.6Gi,6.0Mi,3.6Gi,102.50108599662781
3.6Gi,6.0Mi,3.6Gi,103.67201733589172
3.6Gi,6.0Mi,3.6Gi,105.06380653381348
