powermode,bs,observed_time,predicted_time,observed_power,predicted_power
4_729600_318750000_665600000,1,51.825904846191406,56.596752,12.541,13.507846
4_729600_318750000_2133000000,1,49.11942481994629,51.512684,15.95,14.148584
4_729600_318750000_3199000000,1,50.79812812805176,59.057526,14.148,14.134206
8_729600_318750000_665600000,1,50.27079963684082,49.45442,12.5925,13.358436
8_729600_318750000_2133000000,1,46.71801567077637,45.57957,13.546,14.054585
8_729600_318750000_3199000000,1,47.08902549743652,52.185665,14.147,14.626793
12_729600_318750000_665600000,1,48.55324745178223,52.215855,12.542,13.334992
12_729600_318750000_2133000000,1,46.810176849365234,44.575108,13.7465,13.863179
12_729600_318750000_3199000000,1,45.15780830383301,49.760826,14.148,14.855931
4_729600_522750000_665600000,1,53.96539306640625,56.98537,12.542,13.646913
4_729600_522750000_2133000000,1,48.47934341430664,51.166843,15.952,15.337847
4_729600_522750000_3199000000,1,46.79891204833984,54.195065,14.148,14.568003
8_729600_522750000_665600000,1,49.14412689208984,52.053356,12.541,13.472413
8_729600_522750000_2133000000,1,46.09624099731445,44.876713,13.545,14.194824
8_729600_522750000_3199000000,1,46.43916893005371,51.735466,14.0475,14.897712
12_729600_522750000_665600000,1,48.570512771606445,52.44803,12.542,13.462645
12_729600_522750000_2133000000,1,46.90956878662109,44.737125,13.7465,13.931036
12_729600_522750000_3199000000,1,45.04600143432617,50.346333,14.3485,14.728907
4_729600_726750000_665600000,1,52.71355247497559,60.594765,12.943,13.803771
4_729600_726750000_2133000000,1,52.011247634887695,53.04687,15.952,15.814979
4_729600_726750000_3199000000,1,51.33856010437012,54.81354,14.549,15.143658
8_729600_726750000_665600000,1,49.52969551086426,53.415028,13.043,13.594484
8_729600_726750000_2133000000,1,46.87363243103027,46.833828,13.947,14.531148
8_729600_726750000_3199000000,1,45.56587219238281,52.513504,14.549,15.057835
12_729600_726750000_665600000,1,49.66668701171875,52.90761,12.943,13.6151
12_729600_726750000_2133000000,1,46.78323173522949,45.465004,14.1475,14.1025915
12_729600_726750000_3199000000,1,44.78734397888184,51.112278,14.549,14.688271
4_729600_930750000_665600000,1,56.24275207519531,61.161057,13.344,14.170226
