powermode,bs,observed_time,predicted_time,observed_power,predicted_power
4_729600_318750000_665600000,1,6.970495939254761,7.523689,14.909,14.035306
4_729600_318750000_2133000000,1,4.782480001449585,7.3406515,20.737,13.553331
4_729600_318750000_3199000000,1,5.550784111022949,7.258181,16.421,15.042244
8_729600_318750000_665600000,1,6.139024019241333,7.429651,14.103,14.000434
8_729600_318750000_2133000000,1,4.336496114730835,7.0770035,20.741,12.870804
8_729600_318750000_3199000000,1,5.503632068634033,7.018977,17.123,14.313562
12_729600_318750000_665600000,1,6.129999876022339,8.161705,14.909,15.689344
12_729600_318750000_2133000000,1,4.285168170928955,7.8042,20.741,14.489791
12_729600_318750000_3199000000,1,5.475359916687012,7.5245457,17.123,15.702084
4_729600_522750000_665600000,1,6.0938401222229,6.6128063,15.312,15.043063
4_729600_522750000_2133000000,1,4.527408123016357,6.6520276,20.342,13.223537
4_729600_522750000_3199000000,1,4.896687984466553,6.726241,17.424,14.288865
8_729600_522750000_665600000,1,6.038735866546631,5.723979,15.306,15.371544
8_729600_522750000_2133000000,1,4.274048089981079,5.788786,20.74,13.37018
8_729600_522750000_3199000000,1,4.761312007904053,5.711421,17.525,14.218957
12_729600_522750000_665600000,1,5.900048017501831,6.302353,15.309,17.20728
12_729600_522750000_2133000000,1,4.286384105682373,6.173667,20.744,16.02947
12_729600_522750000_3199000000,1,4.730096101760864,5.770218,17.424,16.64931
4_729600_726750000_665600000,1,5.813503980636597,6.2510314,15.711,16.800346
4_729600_726750000_2133000000,1,4.320511817932129,6.437918,20.338,14.880248
4_729600_726750000_3199000000,1,4.4340479373931885,6.4711943,18.228,15.479734
8_729600_726750000_665600000,1,5.906351804733276,5.2556734,15.711,17.3729
8_729600_726750000_2133000000,1,4.404927968978882,5.368846,20.74,16.032412
8_729600_726750000_3199000000,1,4.402384042739868,5.284683,18.228,16.309185
12_729600_726750000_665600000,1,5.936768054962158,5.004764,15.711,19.30973
12_729600_726750000_2133000000,1,4.3023841381073,4.5282693,20.74,18.864235
12_729600_726750000_3199000000,1,4.397135972976685,4.4389496,18.228,18.992222
4_729600_930750000_665600000,1,6.281919956207275,6.1363306,16.515,19.04434
4_729600_930750000_2133000000,1,4.41481614112854,6.3274693,20.741,17.792679
4_729600_930750000_3199000000,1,4.846704006195068,6.380736,19.036,18.1325
8_729600_930750000_665600000,1,5.835391998291016,5.182045,16.917,19.926384
8_729600_930750000_2133000000,1,4.2870399951934814,5.0436788,20.732,19.177225
8_729600_930750000_3199000000,1,4.229648113250732,5.045097,19.036,19.347614
12_729600_930750000_665600000,1,5.928319931030273,4.3976593,16.917,22.059896
12_729600_930750000_2133000000,1,4.269599914550781,3.9589927,20.44,21.873093
12_729600_930750000_3199000000,1,4.196767807006836,4.0194435,19.032,21.937393
4_729600_1134750000_665600000,1,6.203807830810547,6.1370096,17.721,21.791134
4_729600_1134750000_2133000000,1,4.415024042129517,6.2916255,20.74,20.97927
4_729600_1134750000_3199000000,1,4.21779203414917,6.313298,20.34,21.224205
8_729600_1134750000_665600000,1,5.873536109924316,5.0588226,17.721,22.934937
8_729600_1134750000_2133000000,1,4.2562878131866455,4.922904,20.737,22.465778
8_729600_1134750000_3199000000,1,4.125679969787598,5.0577173,20.239,22.540844
12_729600_1134750000_665600000,1,5.869120121002197,4.1627827,18.123,25.06065
12_729600_1134750000_2133000000,1,4.2872161865234375,3.8722825,20.744,24.920338
12_729600_1134750000_3199000000,1,4.121040105819702,4.03303,20.239,25.020512
4_729600_1300500000_665600000,1,5.767552137374878,6.168563,18.928,24.274582
4_729600_1300500000_2133000000,1,4.500319957733154,6.314081,19.527,23.600243
4_729600_1300500000_3199000000,1,4.18176007270813,6.2974443,21.847,23.822086
8_729600_1300500000_665600000,1,5.827632188796997,5.017453,19.334,25.52158
8_729600_1300500000_2133000000,1,4.328336000442505,4.973645,20.731,25.153015
8_729600_1300500000_3199000000,1,4.079360008239746,5.1238623,21.743,25.208603
12_729600_1300500000_665600000,1,5.766639947891235,4.081119,19.33,27.622248
12_729600_1300500000_2133000000,1,4.294255971908569,3.954287,20.727,27.470184
12_729600_1300500000_3199000000,1,4.063424110412598,4.140436,21.852,27.571173
4_1036800_114750000_665600000,1,9.29478406906128,8.828682,14.306,15.1511345
4_1036800_114750000_2133000000,1,8.74678373336792,8.480764,15.313,16.036972
4_1036800_114750000_3199000000,1,8.872591972351074,8.046738,16.019,17.52893
8_1036800_114750000_665600000,1,8.906192302703857,9.202333,14.303,14.004546
8_1036800_114750000_2133000000,1,9.01807975769043,8.793772,15.313,14.725512
8_1036800_114750000_3199000000,1,8.779600143432617,8.527751,15.814,16.246655
12_1036800_114750000_665600000,1,9.070816040039062,10.032104,13.499,14.753191
12_1036800_114750000_2133000000,1,8.932991981506348,9.481903,15.311,14.872189
12_1036800_114750000_3199000000,1,8.704544067382812,9.12178,16.016,16.427107
4_1036800_318750000_665600000,1,5.730480194091797,6.9267817,15.514,14.758879
4_1036800_318750000_2133000000,1,3.656160116195679,6.63665,21.951,14.649739
4_1036800_318750000_3199000000,1,5.098560094833374,6.3514433,17.932,16.191944
8_1036800_318750000_665600000,1,5.22544002532959,6.7579074,15.514,14.208055
8_1036800_318750000_2133000000,1,3.44052791595459,6.3576274,22.352,13.153273
8_1036800_318750000_3199000000,1,4.585312128067017,6.1111627,17.932,15.023193
12_1036800_318750000_665600000,1,5.23419189453125,7.644225,15.615,15.582048
12_1036800_318750000_2133000000,1,3.344480037689209,7.2138834,22.85,14.415327
12_1036800_318750000_3199000000,1,4.6141440868377686,6.712035,17.929,15.951349
4_1036800_522750000_665600000,1,4.955008029937744,6.040793,15.514,15.74329
4_1036800_522750000_2133000000,1,3.5400320291519165,5.9158955,22.358,14.32782
4_1036800_522750000_3199000000,1,4.098543882369995,5.8527217,18.335,15.744726
8_1036800_522750000_665600000,1,5.125759840011597,5.2114935,16.014,15.753645
8_1036800_522750000_2133000000,1,3.806143999099731,5.197115,22.347,13.790688
8_1036800_522750000_3199000000,1,3.864527940750122,4.878747,18.331,14.991028
12_1036800_522750000_665600000,1,5.057055950164795,5.777355,16.014,17.227852
12_1036800_522750000_2133000000,1,3.3510719537734985,5.42315,22.855,16.309826
12_1036800_522750000_3199000000,1,3.809664011001587,4.8870964,18.737,16.952534
4_1036800_726750000_665600000,1,4.884640216827393,5.6983314,16.319,17.559925
4_1036800_726750000_2133000000,1,3.627408027648926,5.7167425,22.353,15.987923
4_1036800_726750000_3199000000,1,3.771631956100464,5.6546483,19.538,16.744883
8_1036800_726750000_665600000,1,5.138911962509155,4.8444633,16.214,17.784868
8_1036800_726750000_2133000000,1,3.378592014312744,4.6827354,22.352,16.717842
8_1036800_726750000_3199000000,1,3.4887359142303467,4.4891424,19.538,17.048428
12_1036800_726750000_665600000,1,4.944816112518311,4.522808,16.818,19.561697
12_1036800_726750000_2133000000,1,3.4314080476760864,3.8258443,20.542,19.249744
12_1036800_726750000_3199000000,1,3.551103949546814,3.7222261,19.943,19.369492
4_1036800_930750000_665600000,1,5.065776109695435,5.606706,17.525,19.796303
4_1036800_930750000_2133000000,1,3.349552035331726,5.618334,21.951,18.878448
4_1036800_930750000_3199000000,1,3.435392022132873,5.6039295,20.245,19.264776
8_1036800_930750000_665600000,1,5.015712022781372,4.7194276,17.626,20.521385
8_1036800_930750000_2133000000,1,3.4892479181289677,4.3758373,22.352,19.927044
8_1036800_930750000_3199000000,1,3.34443199634552,4.365979,20.245,20.133495
12_1036800_930750000_665600000,1,4.859791994094849,3.9876175,18.024,22.451744
12_1036800_930750000_2133000000,1,3.378335952758789,3.4508505,22.85,22.285778
12_1036800_930750000_3199000000,1,3.313264012336731,3.523561,21.146,22.373318
4_1036800_1134750000_665600000,1,5.023328065872192,5.6162367,18.228,22.618746
4_1036800_1134750000_2133000000,1,3.390944004058838,5.605937,22.35,22.02083
4_1036800_1134750000_3199000000,1,3.392111897468567,5.563427,21.451,22.300976
8_1036800_1134750000_665600000,1,4.961440086364746,4.5755367,19.235,23.610907
8_1036800_1134750000_2133000000,1,3.341055989265442,4.3526187,22.352,23.235758
8_1036800_1134750000_3199000000,1,3.27022397518158,4.455457,21.955,23.333715
12_1036800_1134750000_665600000,1,4.863903999328613,3.7723293,18.829,25.576607
12_1036800_1134750000_2133000000,1,3.341279983520508,3.4584439,22.757,25.417189
12_1036800_1134750000_3199000000,1,3.226160049438477,3.5774164,22.251,25.49778
4_1036800_1300500000_665600000,1,5.043184041976929,5.6578946,20.035,25.077076
4_1036800_1300500000_2133000000,1,3.4239519834518437,5.6369524,22.251,24.625568
4_1036800_1300500000_3199000000,1,3.3443520069122314,5.6033382,23.457,24.86658
8_1036800_1300500000_665600000,1,4.929807901382446,4.541685,20.437,26.234182
8_1036800_1300500000_2133000000,1,3.410591959953308,4.4441204,22.453,25.927784
8_1036800_1300500000_3199000000,1,3.261344075202942,4.560977,23.558,26.000595
12_1036800_1300500000_665600000,1,4.832304000854492,3.731348,20.437,28.169844
12_1036800_1300500000_2133000000,1,3.381392002105713,3.5653412,22.355,28.054056
12_1036800_1300500000_3199000000,1,3.1836960315704346,3.6965222,23.457,28.103214
4_1344000_114750000_665600000,1,9.008959770202637,8.178886,14.311,16.092468
4_1344000_114750000_2133000000,1,8.850592136383057,7.66471,15.319,17.07353
4_1344000_114750000_3199000000,1,8.668399810791016,7.0917187,16.025,18.626453
8_1344000_114750000_665600000,1,8.829440116882324,8.686384,14.507,14.579323
8_1344000_114750000_2133000000,1,8.46068811416626,8.241276,15.313,15.523908
8_1344000_114750000_3199000000,1,8.54307222366333,7.858656,16.022,17.138132
12_1344000_114750000_665600000,1,8.826607704162598,9.606651,13.701,14.746359
12_1344000_114750000_2133000000,1,8.487008094787598,9.03943,15.313,15.043967
12_1344000_114750000_3199000000,1,8.434847831726074,8.489476,16.019,16.869877
4_1344000_318750000_665600000,1,5.57092809677124,6.4222927,15.719,15.702784
4_1344000_318750000_2133000000,1,2.885071992874145,5.885113,23.059,15.953736
4_1344000_318750000_3199000000,1,4.068544149398804,5.5253086,18.544,17.553463
8_1344000_318750000_665600000,1,4.892240047454834,6.270067,16.118,14.756109
8_1344000_318750000_2133000000,1,2.882607936859131,5.767627,23.862,13.969257
8_1344000_318750000_3199000000,1,4.060415983200073,5.190405,18.538,16.194757
12_1344000_318750000_665600000,1,4.606752157211304,7.278469,16.625,15.649692
12_1344000_318750000_2133000000,1,2.8803040981292725,6.7214785,23.864,14.670964
12_1344000_318750000_3199000000,1,4.044719934463501,5.9476547,18.534,16.459047
4_1344000_522750000_665600000,1,5.284751892089844,5.5420732,16.122,16.641037
4_1344000_522750000_2133000000,1,2.8735679388046265,5.172165,23.064,15.699282
4_1344000_522750000_3199000000,1,3.3120639324188232,5.080474,19.041,17.37335
8_1344000_522750000_665600000,1,4.858351945877075,4.8739014,16.223,16.389229
8_1344000_522750000_2133000000,1,2.9024640321731567,4.722905,24.376,14.749447
8_1344000_522750000_3199000000,1,3.3352320194244385,4.101925,19.141,16.218184
12_1344000_522750000_665600000,1,4.761551856994629,5.4236956,18.034,17.384815
12_1344000_522750000_2133000000,1,2.8732000589370728,4.808572,24.372,16.730112
12_1344000_522750000_3199000000,1,3.3240000009536743,4.1412163,19.847,17.436111
4_1344000_726750000_665600000,1,4.797791957855225,5.226223,17.028,18.48666
4_1344000_726750000_2133000000,1,2.8775999546051025,5.006001,23.456,17.279694
4_1344000_726750000_3199000000,1,3.063007950782776,4.92247,20.353,18.21735
8_1344000_726750000_665600000,1,4.723439931869507,4.5077357,17.023,18.445671
8_1344000_726750000_2133000000,1,2.885632038116455,4.087633,23.852,17.688614
8_1344000_726750000_3199000000,1,3.264959931373596,3.8078525,20.651,18.14431
12_1344000_726750000_665600000,1,4.461024045944214,4.2183924,17.426,19.951973
12_1344000_726750000_2133000000,1,2.8925119638442998,3.525033,22.653,19.668434
12_1344000_726750000_3199000000,1,3.0003679990768437,3.291735,20.751,19.866322
4_1344000_930750000_665600000,1,4.989167928695679,5.1244726,17.731,20.770052
4_1344000_930750000_2133000000,1,3.175664067268372,4.9344587,23.466,20.118828
4_1344000_930750000_3199000000,1,2.8727840185165405,4.8952,21.355,20.540714
8_1344000_930750000_665600000,1,4.653808116912842,4.286871,18.235,21.279816
