powermode,bs,predicted_time,predicted_power,observed_time,observed_power
4_422400_114750000_665600000,1,3113.7295,14.256627,590.7732238769531,14.751
8_422400_114750000_665600000,1,3240.7134,15.126716,565.5917358398438,14.849
4_422400_318750000_665600000,1,1881.0345,14.546284,280.20025634765625,17.768
8_422400_318750000_2133000000,1,389.67834,15.289242,231.3048324584961,19.98
12_422400_318750000_2133000000,1,709.5375,20.132547,222.46195220947263,20.4835
4_422400_522750000_665600000,1,968.3662,16.762766,260.2808074951172,18.775
8_422400_522750000_2133000000,1,164.48311,18.744085,159.09817504882812,22.487
12_422400_522750000_2133000000,1,445.62045,25.048338,157.3147201538086,22.688
4_729600_114750000_665600000,1,2779.4094,14.624031,557.1514282226562,14.851
4_729600_522750000_665600000,1,817.1736,16.963293,246.58025360107425,19.176
8_729600_522750000_2133000000,1,24.39715,18.03118,149.07259368896484,23.7415
8_729600_726750000_2133000000,1,158.93901,24.920547,109.61191940307616,28.201
12_729600_726750000_2133000000,1,444.08374,31.467138,114.05279922485352,27.197
12_729600_930750000_2133000000,1,671.98444,39.32889,95.72024154663086,30.104
12_1036800_114750000_665600000,1,3248.7695,17.506908,554.1062622070312,15.35
8_1036800_522750000_2133000000,1,-3.9528072,17.936739,130.67544555664062,25.197
12_1036800_522750000_2133000000,1,228.21019,24.073774,144.06761169433594,23.992
8_1036800_726750000_2133000000,1,193.01118,25.215988,103.02932739257812,29.706
12_1036800_726750000_2133000000,1,455.11853,31.352797,103.5906867980957,29.0035
4_1036800_930750000_3199000000,1,267.53653,34.738037,83.70140838623047,36.405
8_1036800_930750000_2133000000,1,420.67236,33.347225,90.93958282470705,33.52
12_1036800_930750000_2133000000,1,697.8105,39.096344,91.86831665039062,32.6165
12_1036800_930750000_3199000000,1,325.3407,41.728786,78.41203308105469,37.909
12_1036800_1134750000_3199000000,1,541.4219,49.561794,70.52689743041992,44.938
4_1344000_114750000_665600000,1,2541.5273,16.476467,554.6227416992188,14.952
12_1344000_114750000_3199000000,1,2071.9922,18.873465,547.8310546875,17.37
4_1344000_318750000_665600000,1,1353.8413,16.037827,264.0182342529297,18.374
4_1344000_318750000_3199000000,1,607.2612,20.138494,201.84893035888672,22.389
12_1344000_318750000_2133000000,1,79.99738,18.057611,205.6275863647461,21.084
4_1344000_522750000_665600000,1,909.7953,18.272604,238.12332916259768,19.477
8_1344000_522750000_2133000000,1,15.910926,18.639545,134.05374145507812,24.944
12_1344000_522750000_665600000,1,1062.3375,23.02024,239.2780532836914,19.376
4_1344000_930750000_3199000000,1,327.49854,35.868637,87.64368057250977,36.4045
12_1344000_1134750000_3199000000,1,594.4763,49.49151,70.60758209228516,44.826
4_1344000_1300500000_3199000000,1,607.219,50.372704,65.67404556274414,52.345
8_1651200_318750000_2133000000,1,20.49331,16.516066,204.2384490966797,21.285
12_1651200_318750000_2133000000,1,-10.8210535,18.34577,202.4569091796875,21.489
4_1651200_522750000_665600000,1,1043.7311,19.655273,235.8092498779297,19.878
8_1651200_930750000_2133000000,1,616.54834,34.670895,89.00423812866211,34.4655
12_1651200_930750000_2133000000,1,820.6326,38.763855,88.40779113769531,35.33
4_1958400_114750000_2133000000,1,2149.381,21.300825,548.9737854003906,16.166
12_1958400_114750000_665600000,1,1960.2823,18.34867,551.835693359375,15.954
12_1958400_318750000_2133000000,1,50.789764,19.128294,202.1840667724609,22.087
12_1958400_522750000_2133000000,1,293.75757,24.248835,127.94312286376952,25.994
4_1958400_930750000_3199000000,1,510.6308,38.454273,80.02644729614258,37.654
8_1958400_1134750000_3199000000,1,638.2032,47.065205,66.93260955810547,46.13
4_1958400_1300500000_3199000000,1,806.62915,52.24739,63.62516784667969,54.343
8_1958400_1300500000_3199000000,1,811.4882,53.41442,64.40662574768066,52.825
12_1958400_1300500000_3199000000,1,914.62524,56.339485,62.254831314086914,55.245
4_2201600_930750000_3199000000,1,589.9827,39.67028,76.92251205444336,40.3145
8_2201600_930750000_3199000000,1,533.3232,40.390766,76.03071975708008,41.016
8_2201600_1134750000_3199000000,1,728.8822,47.848637,69.61409759521484,45.828
4_2201600_1300500000_3199000000,1,902.6389,53.04921,66.8863525390625,49.623
