observed_time,observed_power,powermode,predicted_time,predicted_power
117.13849258422852,24.185,4_1344000_522750000_2133000000,122.23321,20.12095
113.05598068237305,26.681,4_1344000_522750000_3199000000,113.13119,23.149591
214.160270690918,18.975,4_1344000_522750000_665600000,213.45395,18.317106
178.1022720336914,20.679,4_1344000_318750000_2133000000,180.71037,18.473326
175.31671905517578,22.134,4_1344000_318750000_3199000000,198.2955,20.326113
240.88265991210932,17.7725,4_1344000_318750000_665600000,245.60596,17.04798
467.22698974609375,16.159,4_1344000_114750000_2133000000,443.00546,15.87168
465.8439331054688,16.972,4_1344000_114750000_3199000000,464.2659,17.301443
472.1979675292969,15.255,4_1344000_114750000_665600000,481.04752,15.460245
77.77385711669922,38.9635,4_1651200_1300500000_2133000000,84.0068,35.222546
67.39764785766602,42.6635,4_1651200_1300500000_3199000000,89.14412,39.3235
191.3803329467773,25.892,4_1651200_1300500000_665600000,173.78339,29.674215
82.0834732055664,34.389,4_1651200_1134750000_2133000000,86.2123,32.035202
66.00761795043945,39.211,4_1651200_1134750000_3199000000,83.388084,36.08699
194.57232666015625,23.881,4_1651200_1134750000_665600000,187.39227,26.498917
87.8717155456543,29.885,4_1651200_930750000_2133000000,94.06622,28.18824
73.19278717041016,33.703,4_1651200_930750000_3199000000,83.3481,32.30568
197.60281372070312,22.279,4_1651200_930750000_665600000,195.04817,22.696075
95.9182586669922,28.485,4_1651200_726750000_2133000000,110.37945,24.488712
85.58268737792969,31.39,4_1651200_726750000_3199000000,86.014244,28.69862
201.6192626953125,20.575,4_1651200_726750000_665600000,200.47525,20.400732
114.08283233642578,24.692,4_1651200_522750000_2133000000,117.449936,21.724615
110.98126220703124,26.785,4_1651200_522750000_3199000000,104.56526,24.717213
209.5219497680664,19.376,4_1651200_522750000_665600000,210.09926,18.810246
175.804931640625,21.078,4_1651200_318750000_2133000000,181.45187,19.060846
173.36112213134766,22.181,4_1651200_318750000_3199000000,197.56992,21.35505
237.4278030395508,18.263,4_1651200_318750000_665600000,242.61281,17.461521
466.3780822753906,16.156,4_1651200_114750000_2133000000,442.82755,16.187456
464.9493560791016,17.0195,4_1651200_114750000_3199000000,463.61838,18.233318
470.8514099121094,15.152,4_1651200_114750000_665600000,480.26297,15.572378
77.0155029296875,40.3185,4_1958400_1300500000_2133000000,79.37348,38.433983
60.46654319763184,45.6715,4_1958400_1300500000_3199000000,71.48922,42.56285
189.085693359375,27.088,4_1958400_1300500000_665600000,155.38828,32.885666
81.22697830200195,36.393,4_1958400_1134750000_2133000000,82.40421,35.246647
64.53076553344727,42.5595,4_1958400_1134750000_3199000000,73.79624,39.319984
193.31092834472656,24.336,4_1958400_1134750000_665600000,169.40582,29.698322
86.68283081054688,32.491,4_1958400_930750000_2133000000,85.14716,31.35176
71.23846435546875,35.602,4_1958400_930750000_3199000000,77.57777,35.273746
195.79886627197263,22.276,4_1958400_930750000_665600000,186.67151,25.821228
95.45937728881836,28.902,4_1958400_726750000_2133000000,100.117516,27.617174
83.81716537475586,32.544,4_1958400_726750000_3199000000,81.360245,31.317482
200.04708862304688,21.078,4_1958400_726750000_665600000,198.92915,22.09924
113.76375961303712,25.493,4_1958400_522750000_2133000000,115.412865,23.777868
109.8287353515625,27.287,4_1958400_522750000_3199000000,92.96314,26.961763
208.3059158325196,19.774,4_1958400_522750000_665600000,208.89331,19.69909
174.65241241455078,21.535,4_1958400_318750000_2133000000,185.11034,20.19673
172.13473510742188,22.986,4_1958400_318750000_3199000000,195.97292,22.622795
236.57364654541016,18.674,4_1958400_318750000_665600000,242.72888,18.056555
465.629150390625,16.557,4_1958400_114750000_2133000000,444.096,17.081678
464.0142974853516,17.3715,4_1958400_114750000_3199000000,463.89362,19.262253
470.464599609375,15.6535,4_1958400_114750000_665600000,481.26135,15.873096
77.40569305419922,41.722,4_2201600_1300500000_2133000000,77.468864,40.976383
60.644399642944336,49.335,4_2201600_1300500000_3199000000,63.712475,45.030228
189.3475341796875,27.991,4_2201600_1300500000_665600000,146.05116,35.428055
80.19903945922852,37.9025,4_2201600_1134750000_2133000000,82.199394,37.78904
64.52689743041992,43.8,4_2201600_1134750000_3199000000,68.04186,41.579914
193.7440490722656,25.179,4_2201600_1134750000_665600000,157.49225,32.240715
85.67741012573242,33.542,4_2201600_930750000_2133000000,86.465965,33.875885
70.46155166625977,37.999,4_2201600_930750000_3199000000,74.24107,37.381054
196.1929931640625,23.576,4_2201600_930750000_665600000,175.7472,28.34698
95.20187377929688,29.082,4_2201600_726750000_2133000000,92.45542,29.823881
83.3973617553711,33.594,4_2201600_726750000_3199000000,79.224724,33.120426
200.3481292724609,21.877,4_2201600_726750000_665600000,196.02649,24.584173
113.12988662719728,26.395,4_2201600_522750000_2133000000,112.29051,25.65893
109.41284942626952,28.183,4_2201600_522750000_3199000000,90.18108,28.745966
209.0000228881836,20.173,4_2201600_522750000_665600000,209.22868,21.300566
174.5813217163086,22.382,4_2201600_318750000_2133000000,188.34586,21.289955
172.8010711669922,23.2905,4_2201600_318750000_3199000000,184.94113,24.3944
236.5314712524414,19.074,4_2201600_318750000_665600000,243.89542,18.92586
465.8872680664063,16.958,4_2201600_114750000_2133000000,446.02924,18.033627
464.3985443115234,17.768,4_2201600_114750000_3199000000,464.24527,20.103956
471.3223114013672,15.954,4_2201600_114750000_665600000,482.35434,16.341835
131.9739532470703,26.029,8_422400_1300500000_2133000000,170.07364,26.091713
126.28761672973631,25.067,8_422400_1300500000_3199000000,218.77213,28.905922
205.00596618652344,25.284,8_422400_1300500000_665600000,215.67186,23.950474
139.1653289794922,24.67,8_422400_1134750000_2133000000,159.05223,24.634935
133.20667266845703,25.375,8_422400_1134750000_3199000000,196.50182,26.777767
208.7928924560547,22.78,8_422400_1134750000_665600000,215.50168,22.88737
135.28848266601562,22.064,8_422400_930750000_2133000000,152.44812,23.262463
128.4531364440918,24.3205,8_422400_930750000_3199000000,173.96951,24.724627
213.4003219604492,21.176,8_422400_930750000_665600000,215.32367,21.68164
135.84939575195312,22.567,8_422400_726750000_2133000000,152.14885,22.012724
117.75910186767578,22.376,8_422400_726750000_3199000000,148.86206,23.361013
218.0832595825196,19.573,8_422400_726750000_665600000,220.12624,20.509724
133.59689331054688,20.867,8_422400_522750000_2133000000,153.21564,20.790337
132.465087890625,21.9685,8_422400_522750000_3199000000,134.38086,22.071115
225.90522003173828,18.273,8_422400_522750000_665600000,229.06023,19.387392
195.3627243041992,19.68,8_422400_318750000_2133000000,187.43231,19.10049
191.8023681640625,21.483,8_422400_318750000_3199000000,198.12637,20.339746
253.5675811767578,17.67,8_422400_318750000_665600000,258.96902,18.022509
481.21913146972656,16.156,8_422400_114750000_2133000000,446.3196,16.59225
478.8746643066406,16.869,8_422400_114750000_3199000000,474.06406,17.856428
484.9984893798828,15.152,8_422400_114750000_665600000,491.37442,16.007952
87.95787048339844,33.696,8_729600_1300500000_2133000000,142.53625,26.824831
78.24113464355469,34.489,8_729600_1300500000_3199000000,179.60045,30.508255
196.50537109375,25.9855,8_729600_1300500000_665600000,202.11224,23.793545
92.59064102172852,32.29,8_729600_1134750000_2133000000,135.31412,24.818998
76.56193542480469,30.878,8_729600_1134750000_3199000000,161.09534,28.265173
200.25675201416016,23.385,8_729600_1134750000_665600000,203.44318,22.407923
96.94518661499023,28.782,8_729600_930750000_2133000000,132.27357,22.90028
83.33758163452148,29.491,8_729600_930750000_3199000000,135.97887,25.69168
201.7977294921875,21.777,8_729600_930750000_665600000,206.75702,21.024857
102.74543762207033,26.39,8_729600_726750000_2133000000,130.41377,21.431494
89.561279296875,27.932,8_729600_726750000_3199000000,117.88656,23.162197
208.63721466064453,19.8775,8_729600_726750000_665600000,211.11551,19.77582
121.32621002197266,23.988,8_729600_522750000_2133000000,122.73239,20.160986
117.73744201660156,25.681,8_729600_522750000_3199000000,118.3202,21.64745
216.0835494995117,18.975,8_729600_522750000_665600000,219.65483,18.579393
182.77212524414065,20.583,8_729600_318750000_2133000000,174.24184,18.68965
180.561637878418,22.088,8_729600_318750000_3199000000,192.07582,19.935404
244.19193267822263,17.768,8_729600_318750000_665600000,247.77121,17.416267
471.9215545654297,16.156,8_729600_114750000_2133000000,441.714,16.17256
469.8675384521485,17.07,8_729600_114750000_3199000000,468.2865,17.406565
476.5595703125,15.152,8_729600_114750000_665600000,484.36118,15.448382
78.75598526000977,39.1255,8_1036800_1300500000_2133000000,121.1607,28.559345
65.04878234863281,41.623,8_1036800_1300500000_3199000000,139.55576,32.981483
