observed_time,observed_power,powermode,predicted_time,predicted_power
7899.345703125,15.6125,4_422400_114750000_665600000,7961.784,18.038477
7876.123046875,16.565,4_422400_114750000_2133000000,7396.683,18.257969
7866.251953125,17.466,4_422400_114750000_3199000000,7951.8076,21.784117
7920.068603515625,15.664,8_422400_114750000_665600000,7844.362,17.14922
7898.580322265625,16.565,8_422400_114750000_2133000000,7301.9644,17.669939
7888.881591796875,17.469,8_422400_114750000_3199000000,7827.8745,22.516106
7893.501708984375,15.965,12_422400_114750000_665600000,7766.026,17.087027
7870.2587890625,16.869,12_422400_114750000_2133000000,7248.2085,19.442543
7859.085693359375,17.77,12_422400_114750000_3199000000,7751.182,23.861254
4164.21826171875,18.679,4_422400_318750000_665600000,4838.694,18.82109
2908.035888671875,21.992,4_422400_318750000_2133000000,3396.4734,20.793625
2880.5234375,23.595,4_422400_318750000_3199000000,3506.6765,25.781925
4148.45654296875,18.679,8_422400_318750000_665600000,4667.1904,18.104723
2913.395874023437,22.088,8_422400_318750000_2133000000,3196.7556,20.487394
2882.0924072265625,23.6,8_422400_318750000_3199000000,3290.0002,26.057602
4154.520263671875,19.076,12_422400_318750000_665600000,4557.613,18.501177
2894.8455810546875,22.393,12_422400_318750000_2133000000,3138.133,21.950098
2887.2808837890625,23.996,12_422400_318750000_3199000000,3238.4023,27.230383
3977.7486572265625,19.274,4_422400_522750000_665600000,4288.2793,19.9609
1892.1984252929688,26.098,4_422400_522750000_2133000000,2400.3752,23.850576
1867.2723388671875,28.506,4_422400_522750000_3199000000,2264.2788,29.806917
3973.3756103515625,19.278,8_422400_522750000_665600000,4159.433,19.209293
1876.166259765625,26.8,8_422400_522750000_2133000000,2283.1323,23.720547
1856.5880737304688,28.601,8_422400_522750000_3199000000,2087.9077,29.78633
3982.078002929688,19.678,12_422400_522750000_665600000,4080.1487,20.241762
1908.9161987304688,27.0,12_422400_522750000_2133000000,2282.9536,24.8797
1848.0685424804688,28.907,12_422400_522750000_3199000000,2022.0364,30.882778
3948.333129882813,20.176,4_422400_726750000_665600000,4085.77,21.873793
1619.3401489257812,29.906,4_422400_726750000_2133000000,2014.7078,27.499468
1431.6017456054688,33.8,4_422400_726750000_3199000000,1797.4819,33.836143
3945.026489257813,20.476,8_422400_726750000_665600000,3990.261,20.842285
1563.0271606445312,30.508,8_422400_726750000_2133000000,1973.4288,27.281239
1409.032470703125,34.293,8_422400_726750000_3199000000,1693.6443,33.57746
3941.3193359375,20.876,12_422400_726750000_665600000,3973.795,22.083364
1614.41943359375,30.509,12_422400_726750000_2133000000,2023.5812,28.257187
1419.546142578125,34.099,12_422400_726750000_3199000000,1676.8721,34.666447
3935.916748046875,21.779,4_422400_930750000_665600000,3997.826,24.491005
1592.9898071289062,33.516,4_422400_930750000_2133000000,1874.4507,31.375212
1207.51416015625,39.214,4_422400_930750000_3199000000,1628.2582,37.86537
3932.318603515625,22.074,8_422400_930750000_665600000,3956.479,23.43372
1545.2716674804688,33.826,8_422400_930750000_2133000000,1837.3364,30.988125
