powermode,bs,predicted_time,predicted_power,observed_time,observed_power
4_422400_114750000_665600000,1,81.249565,13.424842,96.06263732910156,11.742
8_422400_114750000_665600000,1,72.797966,13.136706,77.94134140014648,12.141
12_422400_114750000_665600000,1,74.60552,13.030076,77.83489608764648,12.143
12_422400_318750000_665600000,1,63.00637,13.093167,76.8740005493164,12.444
4_422400_522750000_665600000,1,73.19033,13.587537,81.39763259887695,12.043
8_729600_114750000_665600000,1,58.31783,13.255339,50.78430366516113,12.5405
12_729600_318750000_665600000,1,52.215855,13.334992,48.55324745178223,12.542
8_729600_522750000_665600000,1,52.053356,13.472413,49.14412689208984,12.541
8_1036800_318750000_665600000,1,40.544968,13.580747,38.65403366088867,12.644
4_1344000_114750000_665600000,1,48.2777,13.723111,33.711265563964844,12.844
8_1344000_114750000_665600000,1,45.341656,13.705289,32.14587116241455,13.142
12_1344000_114750000_665600000,1,46.025234,13.712277,31.67193603515625,13.243
12_1651200_114750000_665600000,1,43.494114,13.9596615,28.95889568328857,13.744
4_1651200_318750000_665600000,1,33.775646,13.98323,29.19398403167725,13.646
8_1651200_318750000_665600000,1,32.290436,13.978751,27.07155132293701,13.746
4_1651200_522750000_665600000,1,33.146435,14.096509,30.73207950592041,13.545
12_1651200_522750000_2133000000,1,28.785694,15.304111,23.94384002685547,14.948
4_1958400_318750000_665600000,1,33.26869,14.265944,25.683088302612305,14.046
4_1958400_318750000_3199000000,1,29.005077,15.852753,20.414671897888184,16.153
8_1958400_318750000_665600000,1,32.811996,14.300924,24.26191997528076,14.547
4_1958400_522750000_665600000,1,31.052736,14.409948,24.949935913085938,14.447
4_1958400_522750000_3199000000,1,26.73228,16.309818,21.00601577758789,16.053
8_1958400_522750000_2133000000,1,26.688374,16.034071,21.411327362060547,15.35
12_1958400_522750000_2133000000,1,27.169907,16.163834,21.255231857299805,15.751
4_2201600_318750000_3199000000,1,26.609854,16.579567,18.83348846435547,16.351
12_2201600_318750000_3199000000,1,25.602509,16.989828,17.82817554473877,17.857
8_2201600_522750000_3199000000,1,24.047674,18.093832,18.225695610046387,17.761
12_2201600_522750000_2133000000,1,26.02155,17.140642,18.69481658935547,17.155
12_2201600_1134750000_3199000000,1,20.224682,20.299284,17.827872276306152,19.76
