powermode,bs,predicted_time,predicted_power,observed_time,observed_power
4_422400_318750000_665600000,1,7.0144672,14.417585,8.70795202255249,13.592
12_422400_522750000_665600000,1,7.3179693,15.024172,8.15771198272705,13.994
8_729600_318750000_665600000,1,5.789999,14.56719,6.139024019241333,14.103
12_1036800_114750000_665600000,1,8.722994,14.360838,9.070816040039062,13.499
12_2201600_930750000_3199000000,1,2.3238153,25.38486,2.085503935813904,26.38
4_2201600_1134750000_3199000000,1,2.255319,26.189714,1.95687997341156,27.689
4_422400_522750000_665600000,4,6.1851997,14.875145,8.23967981338501,13.6
4_729600_522750000_665600000,4,5.0581403,15.292803,5.90067195892334,14.808
4_1344000_318750000_665600000,4,4.6518707,15.441122,4.611199855804443,15.618
4_1651200_318750000_665600000,4,4.5164123,15.80299,4.645807981491089,15.615
12_1651200_522750000_665600000,4,4.089666,17.17697,4.109647989273071,15.815
8_1651200_726750000_2133000000,4,2.5336118,21.448723,2.727999925613404,18.027
4_1958400_726750000_665600000,4,4.1300206,17.576712,3.754448056221008,16.116
4_1958400_726750000_2133000000,4,2.5066292,22.946198,2.462239980697632,21.15
8_1958400_1134750000_3199000000,4,2.3141909,25.713652,2.085487961769104,26.686
8_729600_930750000_665600000,16,5.598881,16.568766,5.794272184371948,15.105
4_1344000_522750000_2133000000,16,3.5255508,17.473234,3.3899519443511963,17.425
8_1958400_318750000_665600000,16,4.71765,16.883392,4.1960320472717285,15.712
12_2201600_930750000_3199000000,16,2.3607612,25.488955,2.0692800283432007,26.884
8_2201600_1134750000_2133000000,16,2.5728729,25.32332,2.105136036872864,23.555
12_2201600_1134750000_3199000000,16,2.3110702,27.194254,1.9464159607887268,28.989
12_2201600_1300500000_3199000000,16,2.3152876,28.425154,1.8838880062103271,29.488
4_422400_114750000_665600000,32,9.885684,14.2495,12.084176063537598,13.089
12_422400_114750000_665600000,32,10.623581,14.128683,11.509247779846191,13.489
12_729600_522750000_665600000,32,5.4463234,15.902691,5.983407974243164,14.503
8_1344000_522750000_665600000,32,4.661911,16.481173,4.836431980133057,15.413
12_1958400_1134750000_2133000000,32,2.6483157,24.422636,2.289135932922364,21.442
4_2201600_522750000_2133000000,32,2.439763,19.996649,2.643872022628784,20.445
4_2201600_1134750000_3199000000,32,2.2703984,26.270124,1.9539360404014587,27.79
4_422400_114750000_665600000,64,10.018617,14.402142,11.919472217559814,13.2
12_1036800_726750000_2133000000,64,3.5656533,17.601349,3.587727904319763,17.222
4_2201600_522750000_2133000000,64,2.3509917,26.19155,2.6412479877471924,20.746
8_2201600_522750000_3199000000,64,2.5429096,22.322971,2.6365439891815186,20.747
4_2201600_930750000_2133000000,64,2.3513591,22.07572,2.178976058959961,22.561
12_2201600_930750000_3199000000,64,2.3213367,25.42582,2.0564000606536865,26.98
12_2201600_1134750000_3199000000,64,2.2684445,26.7643,1.957744002342224,27.185
