powermode,bs,predicted_time,predicted_power,observed_time,observed_power
4_422400_114750000_665600000,1,124.58528,14.805676,77.86630249023438,13.046
4_422400_318750000_665600000,1,69.36018,15.163253,72.16232299804688,13.1445
8_422400_318750000_665600000,1,58.113007,15.112082,67.61603164672852,13.345
12_422400_318750000_665600000,1,54.427647,15.139657,67.49086380004883,13.347
4_422400_522750000_665600000,1,61.31684,15.129247,79.32681655883789,12.7935
8_729600_114750000_665600000,1,69.85736,14.943817,52.644527435302734,13.644
4_729600_318750000_665600000,1,59.49646,15.297118,46.49732780456543,14.045
8_729600_318750000_665600000,1,46.910027,15.250246,43.19607925415039,14.046
4_1036800_318750000_665600000,1,49.730392,15.417517,36.33598327636719,14.65
12_1036800_318750000_665600000,1,40.722355,15.464782,34.854400634765625,15.151
8_1344000_318750000_665600000,1,33.810688,15.544857,30.46473598480225,15.753
12_1344000_318750000_665600000,1,36.216408,15.6141815,30.96326446533203,15.653
4_1344000_522750000_665600000,1,39.036953,15.727592,32.558335304260254,15.152
8_1344000_522750000_2133000000,1,31.953913,17.265074,25.812560081481934,16.557
4_1651200_114750000_665600000,1,62.46982,15.395525,51.78033447265625,13.645
4_1651200_318750000_665600000,1,35.51088,15.682678,27.36411190032959,15.756
4_1651200_522750000_665600000,1,35.588135,15.879721,26.07761573791504,16.0065
4_1651200_522750000_2133000000,1,28.760714,17.613934,22.63643169403076,17.456
8_1651200_522750000_665600000,1,32.85745,16.178831,25.53644847869873,16.6585
12_1651200_522750000_665600000,1,34.585087,17.040752,25.029839515686035,16.958
12_1651200_522750000_2133000000,1,27.155289,18.660467,20.87257575988769,18.214
8_1958400_318750000_665600000,1,34.109047,16.023867,25.10321617126465,16.7575
8_1958400_318750000_2133000000,1,26.974625,18.597084,21.16374397277832,17.918
4_1958400_522750000_665600000,1,33.860752,16.24715,24.884575843811035,17.1585
4_1958400_522750000_3199000000,1,21.854599,19.472649,18.208927154541016,19.716
8_1958400_522750000_2133000000,1,25.925325,19.31966,19.04729557037353,18.2625
4_2201600_318750000_665600000,1,34.60519,16.168144,23.78742408752441,17.3605
4_2201600_522750000_3199000000,1,20.762165,20.43766,17.253727912902832,20.468
8_2201600_522750000_2133000000,1,23.539232,20.457493,17.829855918884277,19.916
12_2201600_522750000_3199000000,1,21.539558,21.480886,16.944543838500977,21.021
4_2201600_726750000_2133000000,1,21.518179,20.511745,17.571231842041016,20.065
4_2201600_930750000_3199000000,1,19.397146,22.319904,16.659951210021973,21.0595
8_2201600_930750000_3199000000,1,19.860695,22.51732,16.1494722366333,21.817
12_2201600_930750000_3199000000,1,20.633186,23.584839,15.914127826690674,23.32
12_2201600_1134750000_3199000000,1,19.898699,25.348383,15.638911724090576,25.3735
12_2201600_1300500000_3199000000,1,19.336166,26.675194,15.366144180297852,26.929
