observed_time,observed_power,powermode,predicted_time,predicted_power
331.16376399993896,15.511,4_1344000_522750000_2133000000,334.45435,15.134399
326.43043994903564,16.017,4_1344000_522750000_3199000000,324.9878,15.9837
455.1311731338501,14.604,4_1344000_522750000_665600000,440.96085,14.275197
416.6215658187866,15.111,4_1344000_318750000_2133000000,425.8246,14.63902
411.2225770950317,16.219,4_1344000_318750000_3199000000,436.64368,15.341624
505.7882070541382,14.2535,4_1344000_318750000_665600000,489.58597,13.81601
872.4236488342285,14.505,4_1344000_114750000_2133000000,853.91943,14.251855
868.0362701416016,15.311,4_1344000_114750000_3199000000,872.9355,14.875521
881.8646669387817,13.699,4_1344000_114750000_665600000,878.49976,13.464604
260.4496479034424,21.142,4_1651200_1300500000_2133000000,249.94745,19.810457
232.51605033874512,21.247,4_1651200_1300500000_3199000000,252.00226,20.640594
396.5322971343994,19.229,4_1651200_1300500000_665600000,371.31796,18.672497
255.35690784454343,18.672,4_1651200_1134750000_2133000000,233.69958,18.810562
256.64496421813965,19.327,4_1651200_1134750000_3199000000,235.64413,19.683096
403.15771102905273,17.519,4_1651200_1134750000_665600000,368.3709,17.664473
260.2853775024414,17.618,4_1651200_930750000_2133000000,231.0827,17.686804
248.4526634216309,18.323,4_1651200_930750000_3199000000,235.40195,18.64635
399.5182514190674,16.309,4_1651200_930750000_665600000,377.05695,16.465046
270.25139331817627,16.7705,4_1651200_726750000_2133000000,256.92358,16.780754
261.5830898284912,17.9795,4_1651200_726750000_3199000000,253.8894,17.722954
406.7925214767456,15.408,4_1651200_726750000_665600000,393.00787,15.542403
307.04712867736816,16.118,4_1651200_522750000_2133000000,305.37173,15.965787
293.00057888031006,17.1225,4_1651200_522750000_3199000000,300.69592,16.874153
433.0700635910034,15.109,4_1651200_522750000_665600000,416.35065,14.896785
391.0393714904785,15.716,4_1651200_318750000_2133000000,403.81555,15.228445
390.8015489578247,16.823,4_1651200_318750000_3199000000,417.94458,16.087734
477.8813123703003,14.606,4_1651200_318750000_665600000,473.8927,14.362684
841.6441679000854,14.808,4_1651200_114750000_2133000000,826.2958,14.726241
840.8465385437012,15.715,4_1651200_114750000_3199000000,845.39594,15.425768
861.365556716919,13.598,4_1651200_114750000_665600000,854.882,13.90261
227.35440731048584,21.092,4_1958400_1300500000_2133000000,219.75409,20.888456
207.11112022399905,22.559,4_1958400_1300500000_3199000000,204.4328,21.718596
377.9752254486084,19.732,4_1958400_1300500000_665600000,354.61847,19.745735
233.7230443954468,19.83,4_1958400_1134750000_2133000000,208.40308,19.88424
202.74019241333008,20.942,4_1958400_1134750000_3199000000,197.21602,20.75259
376.7693042755127,18.525,4_1958400_1134750000_665600000,353.93347,18.74093
229.7077178955078,18.5295,4_1958400_930750000_2133000000,206.50467,18.73922
205.2686214447021,19.736,4_1958400_930750000_3199000000,204.05872,19.687193
383.15117359161377,17.219,4_1958400_930750000_665600000,366.6654,17.518982
243.4689998626709,17.824,4_1958400_726750000_2133000000,230.427,17.758926
225.29780864715576,18.479,4_1958400_726750000_3199000000,237.01038,18.723175
392.6866054534912,16.313,4_1958400_726750000_665600000,381.27478,16.472658
275.95055103302,17.221,4_1958400_522750000_2133000000,280.79828,16.892511
261.54375076293945,18.232,4_1958400_522750000_3199000000,292.71182,17.822824
409.781813621521,15.711,4_1958400_522750000_665600000,407.69064,15.674995
366.9314384460449,16.521,4_1958400_318750000_2133000000,394.9959,16.09108
361.5376949310303,17.83,4_1958400_318750000_3199000000,417.27722,16.98591
457.8425884246826,15.509,4_1958400_318750000_665600000,475.9839,14.993938
839.5837545394897,15.109,4_1958400_114750000_2133000000,818.1885,15.352319
835.342288017273,16.723,4_1958400_114750000_3199000000,836.511,16.207912
848.9419221878052,14.506,4_1958400_114750000_665600000,857.9579,14.4501705
210.17086505889893,21.957,4_2201600_1300500000_2133000000,219.78944,21.741879
180.2200078964233,23.562,4_2201600_1300500000_3199000000,188.02899,22.572016
360.10682582855225,20.541,4_2201600_1300500000_665600000,342.9879,20.599152
202.9516696929932,20.74,4_2201600_1134750000_2133000000,213.02983,20.737072
187.15834617614743,22.547,4_2201600_1134750000_3199000000,185.11365,21.599669
371.87039852142334,19.427,4_2201600_1134750000_665600000,342.94128,19.594347
214.990496635437,19.634,4_2201600_930750000_2133000000,219.82672,19.582687
191.9349431991577,20.743,4_2201600_930750000_3199000000,194.34721,20.516779
373.93009662628174,18.123,4_2201600_930750000_665600000,352.27496,18.36743
237.7798557281494,18.729,4_2201600_726750000_2133000000,246.73657,18.563595
211.64727210998527,19.435,4_2201600_726750000_3199000000,223.79376,19.528465
383.6941719055176,17.319,4_2201600_726750000_665600000,372.05707,17.261934
262.89403438568115,17.624,4_2201600_522750000_2133000000,299.64282,17.63928
254.52113151550293,18.733,4_2201600_522750000_3199000000,280.46048,18.597399
401.7379283905029,16.5175,4_2201600_522750000_665600000,409.4208,16.411484
361.9961738586426,17.222,4_2201600_318750000_2133000000,405.25507,16.827566
354.1518449783325,18.232,4_2201600_318750000_3199000000,414.03857,17.728977
448.8942623138428,16.1135,4_2201600_318750000_665600000,485.01495,15.620696
839.9165868759155,15.711,4_2201600_114750000_2133000000,824.9944,16.03746
834.2201709747314,16.82,4_2201600_114750000_3199000000,837.6445,16.93241
849.327802658081,14.808,4_2201600_114750000_665600000,866.25867,14.957562
761.794924736023,15.912,8_422400_1300500000_2133000000,800.15015,15.902552
741.8504953384399,16.814,8_422400_1300500000_3199000000,786.2803,16.625824
814.7538900375366,15.396,8_422400_1300500000_665600000,831.97485,15.163563
745.707631111145,14.999,8_422400_1134750000_2133000000,771.1576,15.101224
751.9311904907227,16.01,8_422400_1134750000_3199000000,755.2505,15.902315
788.2575988769531,14.595,8_422400_1134750000_665600000,805.52155,14.457522
751.8223524093628,14.646,8_422400_930750000_2133000000,739.4549,14.405264
735.7090711593628,15.31,8_422400_930750000_3199000000,721.8977,15.196886
814.8024082183838,13.79,8_422400_930750000_665600000,774.3396,13.809577
763.4016275405884,13.893,8_422400_726750000_2133000000,714.0586,14.034619
771.0200548171997,14.908,8_422400_726750000_3199000000,695.5104,14.679106
808.7505102157593,12.987,8_422400_726750000_665600000,747.38794,13.440932
748.334527015686,14.0,8_422400_522750000_2133000000,690.2861,13.800933
765.130877494812,14.604,8_422400_522750000_3199000000,672.34595,14.337482
808.9171648025513,12.584,8_422400_522750000_665600000,735.4555,13.173406
750.3788471221924,13.598,8_422400_318750000_2133000000,698.07935,13.577426
779.3774604797363,14.202,8_422400_318750000_3199000000,702.8157,14.107355
825.3650665283203,12.683,8_422400_318750000_665600000,752.1638,12.920257
1109.2145442962646,13.5485,8_422400_114750000_2133000000,1080.4757,13.372429
1103.7073135375977,14.404,8_422400_114750000_3199000000,1095.5763,13.916596
