observed_time,observed_power,powermode,predicted_time,predicted_power
820.898175239563,15.758,4_422400_1300500000_2133000000,839.9765,14.223361
809.7866773605347,16.414,4_422400_1300500000_3199000000,792.41864,14.920252
877.9302835464478,14.997,4_422400_1300500000_665600000,891.85846,13.5688305
821.4521408081055,14.698,4_422400_1134750000_2133000000,830.9089,13.478874
839.8268222808838,15.31,4_422400_1134750000_3199000000,825.5217,14.200705
852.2605895996094,14.193,4_422400_1134750000_665600000,881.1379,12.741883
808.3475828170776,13.893,4_422400_930750000_2133000000,836.71075,12.986617
817.2483444213867,14.304,4_422400_930750000_3199000000,832.0852,13.708567
849.2013216018677,13.291,4_422400_930750000_665600000,881.59955,12.212105
845.9745645523071,13.494,4_422400_726750000_2133000000,835.8479,12.633665
815.0970935821533,14.506,4_422400_726750000_3199000000,832.33167,13.365383
861.3495826721191,13.087,4_422400_726750000_665600000,875.9589,11.832211
832.4973583221436,13.097,4_422400_522750000_2133000000,834.83405,12.311908
857.8817844390869,14.054,4_422400_522750000_3199000000,832.2369,13.044418
866.1048412322998,12.584,4_422400_522750000_665600000,871.84174,11.461475
863.9447689056396,13.3485,4_422400_318750000_2133000000,847.5,12.024815
810.3137016296387,13.8,4_422400_318750000_3199000000,842.7041,12.745636
893.4187889099121,12.3805,4_422400_318750000_665600000,886.785,11.129453
1126.8340349197388,13.3475,4_422400_114750000_2133000000,1125.0857,11.721054
1107.9572439193726,14.002,4_422400_114750000_3199000000,1124.9512,12.4679985
1136.831760406494,12.382,4_422400_114750000_665600000,1145.2366,10.846717
499.16231632232666,17.415,4_729600_1300500000_2133000000,507.875,15.326629
502.9175281524658,17.0685,4_729600_1300500000_3199000000,504.9048,15.97424
562.3559951782227,16.86,4_729600_1300500000_665600000,609.85944,14.687072
513.0500793457031,16.208,4_729600_1134750000_2133000000,507.78717,14.407137
495.5991506576538,17.017,4_729600_1134750000_3199000000,490.37524,15.108379
568.397045135498,15.3965,4_729600_1134750000_665600000,585.76886,13.772049
504.3827295303345,15.408,4_729600_930750000_2133000000,510.41577,13.822008
493.9620494842529,16.009,4_729600_930750000_3199000000,500.68848,14.507374
548.9625930786133,14.602,4_729600_930750000_665600000,571.1558,13.088959
505.150318145752,15.009,4_729600_726750000_2133000000,520.0834,13.414236
503.0884742736816,15.714,4_729600_726750000_3199000000,507.0424,14.093093
551.8378019332886,14.301,4_729600_726750000_665600000,577.0428,12.650223
493.3909177780152,14.2535,4_729600_522750000_2133000000,517.02014,13.078283
488.3232116699219,15.41,4_729600_522750000_3199000000,521.81586,13.758393
576.2484073638916,14.6555,4_729600_522750000_665600000,584.1288,12.26744
516.2376165390015,14.404,4_729600_318750000_2133000000,547.6863,12.756814
524.8205661773682,15.713,4_729600_318750000_3199000000,542.37695,13.439656
606.1451435089111,13.494,4_729600_318750000_665600000,624.8876,11.856413
970.4614877700806,13.9515,4_729600_114750000_2133000000,935.11725,12.387574
955.4266929626464,15.008,4_729600_114750000_3199000000,931.169,13.100543
977.542757987976,13.095,4_729600_114750000_665600000,956.8128,11.4219675
389.4567489624024,18.0215,4_1036800_1300500000_2133000000,378.6311,16.225948
368.8535690307617,18.629,4_1036800_1300500000_3199000000,372.1561,16.815048
471.1700677871704,17.213,4_1036800_1300500000_665600000,478.58197,15.518465
362.3466491699219,16.818,4_1036800_1134750000_2133000000,368.66162,15.19697
355.749249458313,17.92,4_1036800_1134750000_3199000000,372.2533,15.910793
458.79173278808594,17.113,4_1036800_1134750000_665600000,457.72266,14.5359745
360.7121706008911,16.012,4_1036800_930750000_2133000000,365.69128,14.482514
361.8540763854981,16.613,4_1036800_930750000_3199000000,374.696,15.256514
469.11025047302246,15.709,4_1036800_930750000_665600000,446.8917,13.712236
384.8406076431274,15.208,4_1036800_726750000_2133000000,367.99493,13.991856
359.29644107818604,16.364,4_1036800_726750000_3199000000,371.68597,14.716357
482.0363521575928,14.301,4_1036800_726750000_665600000,466.38458,13.164791
377.1828413009644,15.008,4_1036800_522750000_2133000000,394.8356,13.604811
386.92760467529297,15.909,4_1036800_522750000_3199000000,383.37195,14.308898
485.9447479248047,14.503,4_1036800_522750000_665600000,493.5501,12.716101
459.8557949066162,15.106,4_1036800_318750000_2133000000,469.64722,13.251647
443.9584016799927,15.612,4_1036800_318750000_3199000000,442.70663,13.971592
538.0263328552246,14.0,4_1036800_318750000_665600000,545.97626,12.352887
904.7147035598756,14.606,4_1036800_114750000_2133000000,880.0666,12.7693615
899.2823362350464,15.162,4_1036800_114750000_3199000000,859.68915,13.541318
920.9543466567992,13.598,4_1036800_114750000_665600000,899.35504,11.85389
315.03891944885254,18.631,4_1344000_1300500000_2133000000,319.29602,17.117237
306.6821098327637,19.738,4_1344000_1300500000_3199000000,301.02386,17.663036
426.7195463180542,18.2735,4_1344000_1300500000_665600000,447.88455,16.306475
309.42845344543457,17.323,4_1344000_1134750000_2133000000,306.89807,16.047335
307.88910388946533,18.527,4_1344000_1134750000_3199000000,307.88324,16.653957
429.0893077850342,17.117,4_1344000_1134750000_665600000,431.5443,15.221617
