cores,cpu,gpu,mem,predicted_time
4.0,422400.0,114750000.0,665600000.0,79.05052
4.0,422400.0,114750000.0,2133000000.0,78.01713
4.0,422400.0,114750000.0,3199000000.0,78.72832
4.0,422400.0,318750000.0,665600000.0,49.253067
4.0,422400.0,318750000.0,2133000000.0,40.26379
4.0,422400.0,318750000.0,3199000000.0,41.373848
4.0,422400.0,522750000.0,665600000.0,45.92975
4.0,422400.0,522750000.0,2133000000.0,32.078114
4.0,422400.0,522750000.0,3199000000.0,32.043068
4.0,422400.0,726750000.0,665600000.0,44.027897
4.0,422400.0,726750000.0,2133000000.0,32.539154
4.0,422400.0,726750000.0,3199000000.0,31.884226
4.0,422400.0,930750000.0,665600000.0,43.155556
4.0,422400.0,930750000.0,2133000000.0,34.079094
4.0,422400.0,930750000.0,3199000000.0,35.06148
4.0,422400.0,1134750000.0,665600000.0,43.12654
4.0,422400.0,1134750000.0,2133000000.0,34.962776
4.0,422400.0,1134750000.0,3199000000.0,35.85909
4.0,422400.0,1300500000.0,665600000.0,43.263733
4.0,422400.0,1300500000.0,2133000000.0,34.76117
4.0,422400.0,1300500000.0,3199000000.0,35.918762
4.0,729600.0,114750000.0,665600000.0,77.93999
4.0,729600.0,114750000.0,2133000000.0,76.429535
4.0,729600.0,114750000.0,3199000000.0,77.409355
4.0,729600.0,318750000.0,665600000.0,47.715008
4.0,729600.0,318750000.0,2133000000.0,33.250893
4.0,729600.0,318750000.0,3199000000.0,35.422676
4.0,729600.0,522750000.0,665600000.0,45.183395
4.0,729600.0,522750000.0,2133000000.0,23.112669
4.0,729600.0,522750000.0,3199000000.0,22.550692
4.0,729600.0,726750000.0,665600000.0,44.12986
4.0,729600.0,726750000.0,2133000000.0,21.691374
4.0,729600.0,726750000.0,3199000000.0,21.718904
4.0,729600.0,930750000.0,665600000.0,43.161034
4.0,729600.0,930750000.0,2133000000.0,22.86067
4.0,729600.0,930750000.0,3199000000.0,22.405607
4.0,729600.0,1134750000.0,665600000.0,43.067574
4.0,729600.0,1134750000.0,2133000000.0,27.586905
4.0,729600.0,1134750000.0,3199000000.0,24.98408
4.0,729600.0,1300500000.0,665600000.0,43.15615
4.0,729600.0,1300500000.0,2133000000.0,32.422436
4.0,729600.0,1300500000.0,3199000000.0,22.11085
4.0,1036800.0,114750000.0,665600000.0,77.694016
4.0,1036800.0,114750000.0,2133000000.0,75.98883
4.0,1036800.0,114750000.0,3199000000.0,76.3629
4.0,1036800.0,318750000.0,665600000.0,47.17406
4.0,1036800.0,318750000.0,2133000000.0,29.78158
4.0,1036800.0,318750000.0,3199000000.0,32.954147
4.0,1036800.0,522750000.0,665600000.0,45.102394
4.0,1036800.0,522750000.0,2133000000.0,22.490452
4.0,1036800.0,522750000.0,3199000000.0,20.942236
4.0,1036800.0,726750000.0,665600000.0,43.571423
4.0,1036800.0,726750000.0,2133000000.0,20.911768
4.0,1036800.0,726750000.0,3199000000.0,20.459791
4.0,1036800.0,930750000.0,665600000.0,43.082375
4.0,1036800.0,930750000.0,2133000000.0,21.495613
4.0,1036800.0,930750000.0,3199000000.0,21.067345
4.0,1036800.0,1134750000.0,665600000.0,43.211266
4.0,1036800.0,1134750000.0,2133000000.0,22.16963
4.0,1036800.0,1134750000.0,3199000000.0,16.002247
4.0,1036800.0,1300500000.0,665600000.0,43.227562
4.0,1036800.0,1300500000.0,2133000000.0,20.66525
