observed_time,observed_power,powermode,predicted_time,predicted_power
190.95623016357425,23.372,4_1344000_522750000_3199000000,201.24655,23.03286
323.46046447753906,18.162,4_1344000_522750000_665600000,325.5702,17.866129
297.82798767089844,18.873,4_1344000_318750000_2133000000,301.0784,18.724728
289.1450958251953,20.185,4_1344000_318750000_3199000000,290.79886,20.278015
379.5809020996094,17.059,4_1344000_318750000_665600000,379.17578,16.618101
779.0172119140625,15.353,4_1344000_114750000_2133000000,778.73334,15.98474
774.6678771972656,16.159,4_1344000_114750000_3199000000,781.97327,16.714642
788.5210266113281,14.45,4_1344000_114750000_665600000,793.4424,15.065439
132.12633514404297,33.695,4_1651200_1300500000_2133000000,147.91893,32.0083
112.4864616394043,36.603,4_1651200_1300500000_3199000000,126.14918,36.221622
271.701416015625,24.942,4_1651200_1300500000_665600000,277.36865,24.804754
138.2308807373047,30.439,4_1651200_1134750000_2133000000,154.76897,29.345535
117.03934478759766,33.802,4_1651200_1134750000_3199000000,131.97855,33.098602
277.48756408691406,22.884,4_1651200_1134750000_665600000,280.28937,22.964518
143.99473571777344,27.773,4_1651200_930750000_2133000000,156.3012,26.328949
127.48453140258788,30.382,4_1651200_930750000_3199000000,141.93721,29.761568
286.6005401611328,21.377,4_1651200_930750000_665600000,287.61295,21.15456
159.34868621826172,25.173,4_1651200_726750000_2133000000,174.69066,24.025349
141.59329986572266,27.381,4_1651200_726750000_3199000000,157.36525,26.813887
297.7305145263672,19.577,4_1651200_726750000_665600000,305.08032,19.715307
197.99268341064447,22.285,4_1651200_522750000_2133000000,206.9226,21.86298
186.2087020874024,24.172,4_1651200_522750000_3199000000,196.65318,24.038633
319.50559997558594,18.472,4_1651200_522750000_665600000,321.28796,18.379917
293.4605255126953,19.177,4_1651200_318750000_2133000000,299.35205,19.247541
287.12892150878906,20.583,4_1651200_318750000_3199000000,288.52023,20.819754
375.8155670166016,17.46,4_1651200_318750000_665600000,373.6368,16.927921
777.4792175292969,15.754,4_1651200_114750000_2133000000,777.0752,16.000973
773.4859619140625,16.4575,4_1651200_114750000_3199000000,777.2073,16.931562
785.2939147949219,14.851,4_1651200_114750000_665600000,788.5385,15.188357
125.72942352294922,35.1035,4_1958400_1300500000_2133000000,142.06737,33.97634
107.7258071899414,38.7095,4_1958400_1300500000_3199000000,119.04772,38.585426
271.2754364013672,25.788,4_1958400_1300500000_665600000,267.54123,26.168255
130.1077117919922,31.889,4_1958400_1134750000_2133000000,151.63225,31.22961
111.26984024047852,35.298,4_1958400_1134750000_3199000000,125.423325,35.401497
276.7571105957031,23.782,4_1958400_1134750000_665600000,278.1953,23.803265
140.62397003173828,28.587,4_1958400_930750000_2133000000,158.03671,27.950523
118.25451278686523,32.391,4_1958400_930750000_3199000000,136.0514,31.818066
284.4684295654297,21.627,4_1958400_930750000_665600000,283.0351,21.785217
154.20059204101562,25.974,4_1958400_726750000_2133000000,161.38243,25.201313
140.53092193603516,28.383,4_1958400_726750000_3199000000,152.4846,28.43807
294.9478759765625,20.363,4_1958400_726750000_665600000,300.62,20.131706
193.2028350830078,23.072,4_1958400_522750000_2133000000,205.14977,22.877672
182.98448181152344,24.672,4_1958400_522750000_3199000000,192.5016,25.100843
319.5679168701172,18.573,4_1958400_522750000_665600000,317.30243,18.917955
291.2958984375,19.679,4_1958400_318750000_2133000000,298.12872,19.885002
288.6073760986328,21.181,4_1958400_318750000_3199000000,289.18262,21.477648
374.36756896972656,17.861,4_1958400_318750000_665600000,369.04266,17.51772
775.977783203125,16.155,4_1958400_114750000_2133000000,775.4907,16.321198
773.5754699707031,16.857,4_1958400_114750000_3199000000,771.20984,17.293875
783.8623962402344,15.252,4_1958400_114750000_665600000,785.6183,15.445279
121.96646118164062,37.41,4_2201600_1300500000_2133000000,138.67146,35.524605
100.86041641235352,41.915,4_2201600_1300500000_3199000000,117.27899,40.442528
270.45936584472656,26.6405,4_2201600_1300500000_665600000,253.66725,27.297136
