total,used,free,shared,buff/cache,available,log_time
7.2Gi,2.1Gi,2.7Gi,20Mi,2.4Gi,4.8Gi,2.3881428241729736
7.2Gi,2.4Gi,2.4Gi,20Mi,2.4Gi,4.6Gi,3.740241050720215
7.2Gi,2.4Gi,2.4Gi,20Mi,2.4Gi,4.5Gi,5.2546913623809814
7.2Gi,2.6Gi,2.2Gi,20Mi,2.4Gi,4.3Gi,6.841596364974976
7.2Gi,2.8Gi,1.9Gi,84Mi,2.4Gi,4.1Gi,8.64204740524292
7.2Gi,3.0Gi,1.7Gi,103Mi,2.4Gi,3.9Gi,10.120164632797241
7.2Gi,3.2Gi,1.5Gi,103Mi,2.4Gi,3.7Gi,11.444452285766602
7.2Gi,3.2Gi,1.5Gi,103Mi,2.4Gi,3.6Gi,12.72008728981018
7.2Gi,3.4Gi,1.3Gi,103Mi,2.4Gi,3.5Gi,14.20786166191101
7.2Gi,3.6Gi,1.1Gi,103Mi,2.4Gi,3.3Gi,15.668740272521973
7.2Gi,3.8Gi,923Mi,103Mi,2.4Gi,3.0Gi,17.191969871520996
7.2Gi,4.3Gi,470Mi,103Mi,2.4Gi,2.6Gi,18.501710176467896
7.2Gi,4.4Gi,344Mi,103Mi,2.4Gi,2.5Gi,19.784217834472656
7.2Gi,4.6Gi,129Mi,103Mi,2.4Gi,2.3Gi,21.272398233413696
7.2Gi,4.6Gi,107Mi,93Mi,2.4Gi,2.2Gi,23.03013038635254
7.2Gi,4.6Gi,114Mi,84Mi,2.4Gi,2.2Gi,24.486363649368286
7.2Gi,4.6Gi,100Mi,94Mi,2.4Gi,2.2Gi,26.30045223236084
7.2Gi,4.6Gi,111Mi,84Mi,2.4Gi,2.2Gi,27.92508840560913
7.2Gi,4.6Gi,101Mi,93Mi,2.4Gi,2.2Gi,29.50215172767639
7.2Gi,4.6Gi,111Mi,84Mi,2.4Gi,2.2Gi,30.962591886520386
7.2Gi,4.6Gi,112Mi,85Mi,2.4Gi,2.2Gi,32.74314093589783
7.2Gi,4.6Gi,101Mi,93Mi,2.4Gi,2.2Gi,34.42893838882446
7.2Gi,4.6Gi,105Mi,92Mi,2.4Gi,2.2Gi,35.83413338661194
7.2Gi,4.6Gi,119Mi,75Mi,2.4Gi,2.2Gi,37.36380052566528
