epoch,batch_idx,computetime,computetime_ms,log_time
0,0,null,86587.6875,100.50184345245361
0,1,null,547.0829467773438,101.07100868225098
0,2,null,549.8041381835938,101.63566279411316
0,3,null,543.3456420898438,102.19341707229614
0,4,null,548.90625,102.76499247550964
0,5,null,543.5281982421875,103.32339549064636
0,6,null,547.2456665039062,103.8854444026947
0,7,null,543.3511962890625,104.44226551055908
0,8,null,549.2236938476562,105.00886845588684
0,9,null,540.8895263671875,105.56685733795166
0,10,null,542.8701171875,106.12801456451416
0,11,null,550.9679565429688,106.69868350028992
0,12,null,544.4973754882812,107.26035404205322
0,13,null,548.8832397460938,107.82612204551697
0,14,null,543.08251953125,108.38610243797302
0,15,null,546.529052734375,108.95130038261414
0,16,null,545.6524047851562,109.5161144733429
0,17,null,548.0013427734375,110.08132266998291
0,18,null,542.2645874023438,110.64052057266235
0,19,null,544.7879638671875,111.20307683944702
0,20,null,546.100830078125,111.77039003372192
0,21,null,544.8475952148438,112.33268332481384
0,22,null,551.794921875,112.90158295631409
0,23,null,543.5318603515625,113.46315360069275
0,24,null,548.6240234375,114.02878403663635
0,25,null,543.4349365234375,114.59236478805542
0,26,null,544.4630737304688,115.15463209152222
0,27,null,552.4058227539062,115.7248523235321
0,28,null,543.5651245117188,116.28660082817078
0,29,null,548.01953125,116.85196161270142
0,30,null,540.744873046875,117.41059303283691
0,31,null,547.6944580078125,117.97725677490234
0,32,null,543.3820190429688,118.53979873657227
0,33,null,546.4449462890625,119.10466432571411
0,34,null,540.839111328125,119.66395115852356
0,35,null,543.6173706054688,120.22548246383667
0,36,null,548.709228515625,120.79248428344727
0,37,null,546.3286743164062,121.35540866851807
0,38,null,550.330322265625,121.92295026779175
0,39,null,544.8888549804688,122.48541688919067
