cpu_freq,gpu_freq,mem_freq,observed_time
268.8,114.75,3199,2110.6997063159943
422.4,216.75,3199,1269.7660801410677
576.0,318.75,3199,926.012957572937
729.6,420.75,3199,760.5662803649901
883.2,522.75,3199,632.7605838775635
1036.8,624.75,3199,552.0347051620482
1190.4,726.75,3199,495.5880892276764
1344.0,828.75,3199,455.0958607196808
1497.6,930.75,3199,405.4471347332001
1497.6,828.75,3199,406.53201508522034
1651.2,930.75,3199,375.7471044063568
1804.8,1032.75,3199,349.9283092021942
1958.4,1134.75,3199,323.6906316280365
2112.0,1300.5,3199,301.3066051006317
2112.0,1236.75,3199,299.0742716789245
2201.6,1300.5,3199,291.1128952503205
