files,directories,resident_pages,resident_pages_size,resident_pages_%,elapsed,redundant,log_time
23080,1,20257/722637,79M/2G,2.8%,0.45932,seconds,53.70478272438049
23080,1,0/722637,0/2G,0%,0.79832,seconds,58.29968309402466
23080,1,20137/722637,78M/2G,2.79%,0.45045,seconds,185.07902193069458
