files,directories,resident_pages,resident_pages_size,resident_pages_%,elapsed,redundant,log_time
23080,1,20140/722637,78M/2G,2.79%,0.34676,seconds,9.771729946136475
23080,1,0/722637,0/2G,0%,0.60761,seconds,11.323431491851807
23080,1,20258/722637,79M/2G,2.8%,0.3535,seconds,118.89561891555786
