total,used,free,shared,buff/cache,available,log_time
7.2Gi,2.1Gi,3.1Gi,20Mi,2.0Gi,4.9Gi,2.1169283390045166
7.2Gi,2.1Gi,3.1Gi,20Mi,2.0Gi,4.9Gi,3.3122847080230713
7.2Gi,2.1Gi,3.1Gi,20Mi,2.0Gi,4.8Gi,4.529176712036133
7.2Gi,2.1Gi,3.0Gi,20Mi,2.0Gi,4.8Gi,5.9522411823272705
7.2Gi,2.1Gi,3.0Gi,20Mi,2.0Gi,4.8Gi,7.182442665100098
7.2Gi,2.1Gi,3.0Gi,20Mi,2.0Gi,4.8Gi,8.400936365127563
7.2Gi,2.5Gi,2.6Gi,20Mi,2.0Gi,4.4Gi,9.585082530975342
7.2Gi,2.1Gi,4.5Gi,20Mi,548Mi,4.9Gi,11.109414339065552
7.2Gi,2.1Gi,4.5Gi,20Mi,589Mi,4.8Gi,12.41692566871643
7.2Gi,2.2Gi,4.3Gi,56Mi,652Mi,4.7Gi,13.557698488235474
7.2Gi,2.2Gi,4.2Gi,103Mi,723Mi,4.6Gi,14.70125961303711
7.2Gi,2.3Gi,4.2Gi,103Mi,744Mi,4.6Gi,15.821208000183105
7.2Gi,2.3Gi,4.1Gi,103Mi,771Mi,4.5Gi,16.934959411621094
7.2Gi,2.4Gi,4.0Gi,103Mi,786Mi,4.5Gi,18.049480676651
7.2Gi,2.4Gi,4.0Gi,103Mi,811Mi,4.5Gi,19.177395582199097
7.2Gi,2.4Gi,4.0Gi,103Mi,831Mi,4.5Gi,20.301459074020386
7.2Gi,2.4Gi,3.9Gi,103Mi,854Mi,4.4Gi,21.4263334274292
7.2Gi,2.5Gi,3.8Gi,103Mi,885Mi,4.4Gi,22.545090913772583
7.2Gi,2.5Gi,3.7Gi,103Mi,909Mi,4.3Gi,23.661430835723877
7.2Gi,2.6Gi,3.7Gi,103Mi,927Mi,4.3Gi,24.780240058898926
7.2Gi,2.6Gi,3.6Gi,103Mi,944Mi,4.2Gi,25.90900230407715
7.2Gi,2.7Gi,3.6Gi,103Mi,962Mi,4.2Gi,27.032596111297607
7.2Gi,2.7Gi,3.5Gi,103Mi,977Mi,4.2Gi,28.149457216262817
7.2Gi,2.7Gi,3.5Gi,103Mi,987Mi,4.2Gi,29.266718864440918
7.2Gi,2.8Gi,3.4Gi,103Mi,1.0Gi,4.1Gi,30.38564443588257
7.2Gi,2.8Gi,3.3Gi,103Mi,1.0Gi,4.0Gi,31.523535013198853
7.2Gi,2.9Gi,3.2Gi,103Mi,1.0Gi,3.9Gi,32.65312314033508
7.2Gi,3.0Gi,3.1Gi,103Mi,1.0Gi,3.9Gi,33.77664613723755
7.2Gi,3.0Gi,3.1Gi,103Mi,1.0Gi,3.9Gi,34.89108681678772
7.2Gi,3.1Gi,3.0Gi,103Mi,1.1Gi,3.8Gi,36.01642084121704
7.2Gi,3.1Gi,3.0Gi,103Mi,1.1Gi,3.8Gi,37.14191699028015
7.2Gi,3.1Gi,3.0Gi,103Mi,1.1Gi,3.8Gi,38.266340255737305
7.2Gi,3.1Gi,3.0Gi,103Mi,1.1Gi,3.8Gi,39.38231945037842
7.2Gi,3.1Gi,2.9Gi,103Mi,1.1Gi,3.8Gi,40.49654746055603
7.2Gi,3.1Gi,2.9Gi,103Mi,1.1Gi,3.7Gi,41.61427307128906
7.2Gi,3.1Gi,2.9Gi,103Mi,1.2Gi,3.7Gi,42.7592933177948
7.2Gi,3.2Gi,2.8Gi,103Mi,1.2Gi,3.7Gi,43.88196420669556
7.2Gi,3.2Gi,2.8Gi,103Mi,1.2Gi,3.7Gi,44.9961998462677
7.2Gi,3.2Gi,2.8Gi,103Mi,1.2Gi,3.6Gi,46.11071968078613
7.2Gi,3.2Gi,2.7Gi,103Mi,1.2Gi,3.6Gi,47.23035478591919
