time,uptime,jetson_clocks,nvp model,CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,GPU1,GPU2,RAM,EMC,SWAP,APE,NVDEC,NVENC,NVJPG,NVJPG1,SE,VIC,fan,Temp CPU,Temp GPU,Temp SOC0,Temp SOC1,Temp SOC2,Temp tj,power cur,power avg,log_time
2024-06-10 00:52:47.861241,0 days 00:20:35.090000,ON,pm_new,44,17,13,96,15,16,0,0,2111868,5,3,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,43.5,42.906,42.187,43.25,44.312,44.312,7840,11781,0.1415863037109375
2024-06-10 00:52:47.861241,0 days 00:20:35.090000,ON,pm_new,44,17,13,96,15,16,0,0,2111868,5,3,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,43.5,42.906,42.187,43.25,44.312,44.312,7840,11781,0.1415863037109375
2024-06-10 00:52:48.487315,0 days 00:20:35.720000,ON,pm_new,71,48,59,70,100,51,0,0,2380776,4,3,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,43.468,42.718,42.031,43.031,44.031,44.031,7724,7724,0.7671592235565186
2024-06-10 00:52:49.761592,0 days 00:20:36.990000,ON,pm_new,48,48,18,31,98,19,0,0,2434192,5,3,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,43.281,42.562,42.0,42.875,44.093,44.031,7410,7619,2.0411458015441895
2024-06-10 00:52:51.022460,0 days 00:20:38.260000,ON,pm_new,21,94,15,25,14,16,6,6,2642012,6,3,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,43.156,42.781,42.093,42.812,43.843,43.906,7066,7420,3.301860809326172
2024-06-10 00:52:52.287463,0 days 00:20:39.520000,ON,pm_new,11,9,11,96,13,13,5,3,2943852,6,3,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,43.156,42.75,41.968,43.031,44.0,43.937,6957,7302,4.566960573196411
2024-06-10 00:52:53.553756,0 days 00:20:40.790000,ON,pm_new,98,54,98,98,100,64,0,0,3086544,9,3,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,43.218,42.5,41.906,42.781,43.937,43.937,8041,7380,5.83355712890625
2024-06-10 00:52:54.831455,0 days 00:20:42.060000,ON,pm_new,21,33,28,23,88,25,3,3,3532316,9,3,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,43.218,42.406,41.875,42.906,43.937,43.937,7184,7406,7.110893487930298
2024-06-10 00:52:56.093107,0 days 00:20:43.330000,ON,pm_new,16,11,19,11,82,8,34,34,3744072,8,3,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,43.062,42.343,41.906,42.75,43.75,43.781,7027,7369,8.372543334960938
2024-06-10 00:52:57.353517,0 days 00:20:44.590000,ON,pm_new,24,20,24,80,19,20,48,48,4085220,7,3,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,43.093,42.437,41.875,42.906,43.875,43.812,7145,7313,9.63463282585144
2024-06-10 00:52:58.626464,0 days 00:20:45.860000,ON,pm_new,13,71,9,16,13,14,42,42,4292988,6,3,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,42.968,42.75,41.968,42.656,43.718,43.687,6948,7284,10.905986309051514
2024-06-10 00:52:59.977447,0 days 00:20:47.210000,ON,pm_new,50,42,32,18,13,19,26,26,4883612,10,3,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,43.031,42.468,42.0,42.718,43.812,43.812,7304,7313,12.257179737091064
2024-06-10 00:53:01.272351,0 days 00:20:48.510000,ON,pm_new,50,100,22,31,22,24,99,99,5160144,39,3,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,43.093,42.968,41.843,42.593,43.906,43.906,11225,7534,13.552011013031006
2024-06-10 00:53:02.581630,0 days 00:20:49.820000,ON,pm_new,30,35,28,25,78,33,99,99,5158764,66,3,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,43.25,42.937,41.937,42.843,44.062,44.093,11978,8031,14.861344337463379
2024-06-10 00:53:03.881672,0 days 00:20:51.120000,ON,pm_new,13,17,28,17,92,16,99,99,5158368,73,3,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,43.375,43.125,42.125,42.781,44.062,44.093,12334,8317,16.16114091873169
2024-06-10 00:53:05.192466,0 days 00:20:52.430000,ON,pm_new,45,28,30,30,79,22,99,99,5187704,68,3,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,43.25,43.093,41.968,43.0,44.062,44.187,10894,8619,17.47191071510315
2024-06-10 00:53:06.496950,0 days 00:20:53.730000,ON,pm_new,16,21,19,39,76,16,99,99,5187220,74,3,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,43.5,43.093,42.281,42.906,44.187,44.312,12097,8813,18.77640414237976
2024-06-10 00:53:07.812599,0 days 00:20:55.050000,ON,pm_new,65,24,23,30,57,24,99,99,5186148,77,3,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,43.406,43.375,42.156,42.875,44.25,44.25,12334,9079,20.092250108718872
2024-06-10 00:53:09.121357,0 days 00:20:56.350000,ON,pm_new,30,70,26,23,47,26,99,99,5184564,76,3,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,43.468,43.437,42.125,43.093,44.343,44.375,12058,9225,21.401001930236816
2024-06-10 00:53:10.533016,0 days 00:20:57.770000,ON,pm_new,18,38,22,24,71,11,0,0,5195900,73,3,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,43.468,43.125,42.281,42.968,44.218,44.218,10889,9405,22.81272292137146
2024-06-10 00:53:11.838431,0 days 00:20:59.070000,ON,pm_new,52,20,19,26,24,73,99,99,5185140,73,3,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,43.5,43.25,42.25,43.093,44.343,44.343,12019,9509,24.11798858642578
2024-06-10 00:53:13.142699,0 days 00:21:00.380000,ON,pm_new,49,31,72,24,23,37,99,99,5184780,76,3,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,43.531,43.25,42.218,43.156,44.437,44.437,12018,9669,25.422344207763672
2024-06-10 00:53:14.439508,0 days 00:21:01.670000,ON,pm_new,33,17,78,15,11,24,99,99,5194600,77,3,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,43.562,43.281,42.25,43.031,44.343,44.343,12176,9771,26.71914291381836
