powermode,observed_time,observed_power
12_1497600_1236750000_3199000000,192.6061335220337,42.0115
2_1190400_114750000_204000000,2371.2542512207033,13.747
8_422400_1032750000_2133000000,516.8949987640381,24.473
4_883200_318750000_665600000,783.4691241607666,17.768
8_1497600_114750000_2133000000,1457.8892056579589,16.156
2_1497600_114750000_665600000,1500.5488137817385,15.152
12_883200_522750000_665600000,667.7216039581299,19.372
8_422400_828750000_3199000000,557.219947517395,22.569
4_1036800_216750000_665600000,905.0200805664062,17.059
6_1804800_318750000_665600000,741.6243812713623,18.674
4_1190400_624750000_2133000000,359.98682847595217,24.991
8_1958400_624750000_665600000,634.8736751403809,20.576
10_1804800_1134750000_2133000000,247.17343245697018,37.0555
6_1344000_930750000_2133000000,279.6395121536255,31.54
6_576000_216750000_204000000,2046.917346740723,14.349
8_1497600_114750000_204000000,2261.576066101074,14.147
4_2112000_114750000_665600000,1473.8839493103028,15.705
8_883200_522750000_204000000,1940.7728366088868,14.75
4_1651200_828750000_3199000000,259.6374421844482,32.542
10_883200_1134750000_3199000000,251.600756690979,36.903
