epoch,batch_idx,fetchtime,fetchtime_ms,log_time
_,1,null,93.02425384521484,31.41747260093689
0,1,null,93.02425384521484,31.418004751205444
_,2,null,1.4469120502471924,31.865142345428467
0,2,null,1.4469120502471924,31.865241050720215
_,3,null,0.834559977054596,32.31130003929138
0,3,null,0.834559977054596,32.31139016151428
_,4,null,0.814079999923706,32.75975561141968
0,4,null,0.814079999923706,32.75988531112671
_,5,null,5.77023983001709,33.21504306793213
0,5,null,5.77023983001709,33.21532464027405
_,6,null,1.1263999938964844,33.663941860198975
0,6,null,1.1263999938964844,33.66431665420532
_,7,null,1.4028799533843994,34.11216497421265
0,7,null,1.4028799533843994,34.1126434803009
_,8,null,1.7285120487213135,34.56254291534424
0,8,null,1.7285120487213135,34.56266403198242
_,9,null,3.357696056365967,35.0120108127594
0,9,null,3.357696056365967,35.01214551925659
_,10,null,4.607999801635742,35.465603828430176
0,10,null,4.607999801635742,35.46585965156555
_,11,null,4.244480133056641,35.919058322906494
0,11,null,4.244480133056641,35.919243812561035
_,12,null,2.4586238861083984,36.37001824378967
0,12,null,2.4586238861083984,36.370320320129395
_,13,null,3.245055913925171,36.82091784477234
0,13,null,3.245055913925171,36.82120203971863
_,14,null,3.6956160068511963,37.27280235290527
0,14,null,3.6956160068511963,37.273033618927
_,15,null,4.625408172607422,37.72781038284302
0,15,null,4.625408172607422,37.728012800216675
_,16,null,3.8051838874816895,38.1814820766449
0,16,null,3.8051838874816895,38.18242931365967
_,17,null,4.86297607421875,38.63831567764282
0,17,null,4.86297607421875,38.63852119445801
_,18,null,3.4539520740509033,39.09044528007507
0,18,null,3.4539520740509033,39.090622425079346
_,19,null,2.933759927749634,39.542306423187256
0,19,null,2.933759927749634,39.542556285858154
_,20,null,2.8620800971984863,39.99367809295654
0,20,null,2.8620800971984863,39.99386501312256
_,21,null,2.855936050415039,40.444732427597046
0,21,null,2.855936050415039,40.444849729537964
_,22,null,3.866624116897583,40.89834141731262
0,22,null,3.866624116897583,40.89846658706665
_,23,null,2.865151882171631,41.35057806968689
0,23,null,2.865151882171631,41.350706577301025
_,24,null,2.2609920501708984,41.801807165145874
0,24,null,2.2609920501708984,41.80191612243652
_,25,null,2.411520004272461,42.25322246551514
0,25,null,2.411520004272461,42.253324031829834
_,26,null,2.6808319091796875,42.70647215843201
0,26,null,2.6808319091796875,42.70663356781006
_,27,null,2.598912000656128,43.158496379852295
0,27,null,2.598912000656128,43.158602237701416
_,28,null,2.144256114959717,43.61108136177063
0,28,null,2.144256114959717,43.61132311820984
_,29,null,2.880511999130249,44.06442189216614
0,29,null,2.880511999130249,44.06452775001526
_,30,null,2.4995839595794678,44.517672538757324
0,30,null,2.4995839595794678,44.517884731292725
_,31,null,2.988032102584839,44.97189021110535
0,31,null,2.988032102584839,44.97197484970093
_,32,null,2.1790719032287598,45.425206661224365
0,32,null,2.1790719032287598,45.42530083656311
_,33,null,2.721791982650757,45.87865948677063
0,33,null,2.721791982650757,45.878756523132324
_,34,null,2.480128049850464,46.33156228065491
0,34,null,2.480128049850464,46.33177828788757
_,35,null,2.786303997039795,46.785524129867554
0,35,null,2.786303997039795,46.78560972213745
_,36,null,2.0992000102996826,47.238386392593384
0,36,null,2.0992000102996826,47.23847198486328
_,37,null,2.2026240825653076,47.69185209274292
0,37,null,2.2026240825653076,47.69198298454285
_,38,null,2.5589759349823,48.14616942405701
0,38,null,2.5589759349823,48.146259784698486
_,39,null,2.240511894226074,48.6006977558136
0,39,null,2.240511894226074,48.600783348083496
_,40,null,1.938431978225708,49.05470299720764
0,40,null,1.938431978225708,49.054792165756226
_,41,null,2.1831679344177246,49.50973343849182
0,41,null,2.1831679344177246,49.50984072685242
_,42,null,2.358272075653076,49.96407461166382
0,42,null,2.358272075653076,49.964157581329346
_,43,null,2.229248046875,50.41789698600769
0,43,null,2.229248046875,50.418001651763916
_,44,null,2.0449280738830566,50.87197661399841
0,44,null,2.0449280738830566,50.87216830253601
_,45,null,2.574336051940918,51.32754564285278
0,45,null,2.574336051940918,51.327632904052734
_,46,null,2.2231040000915527,51.78168225288391
0,46,null,2.2231040000915527,51.781768560409546
_,47,null,2.225152015686035,52.237160444259644
0,47,null,2.225152015686035,52.23724412918091
_,48,null,2.0654079914093018,52.69103288650513
0,48,null,2.0654079914093018,52.69111514091492
_,49,null,2.076672077178955,53.146159648895264
0,49,null,2.076672077178955,53.14630079269409
_,50,null,2.7750399112701416,53.603503704071045
0,50,null,2.7750399112701416,53.603591203689575
_,51,null,2.220031976699829,54.05887699127197
0,51,null,2.220031976699829,54.05896186828613
_,52,null,2.0490241050720215,54.51490139961243
0,52,null,2.0490241050720215,54.51498603820801
_,53,null,2.1616640090942383,54.97200036048889
0,53,null,2.1616640090942383,54.97208762168884
_,54,null,2.25382399559021,55.43087840080261
0,54,null,2.25382399559021,55.431007385253906
_,55,null,2.4872961044311523,55.88836193084717
0,55,null,2.4872961044311523,55.888445138931274
_,56,null,2.0449280738830566,56.3443820476532
0,56,null,2.0449280738830566,56.34446620941162
_,57,null,2.1340160369873047,56.801854848861694
0,57,null,2.1340160369873047,56.801939725875854
_,58,null,2.3296000957489014,57.25768041610718
0,58,null,2.3296000957489014,57.25776720046997
_,59,null,2.331648111343384,57.71435260772705
0,59,null,2.331648111343384,57.714444637298584
_,60,null,1.9793920516967773,58.17092967033386
0,60,null,1.9793920516967773,58.171123027801514
_,61,null,2.5538558959960938,58.63004231452942
0,61,null,2.5538558959960938,58.63013744354248
_,62,null,2.4268798828125,59.08759164810181
