total,used,free,shared,buff/cache,available,log_time
7.2Gi,1.2Gi,4.8Gi,20Mi,1.1Gi,5.7Gi,2.2899975776672363
7.2Gi,1.2Gi,4.8Gi,20Mi,1.1Gi,5.7Gi,3.802520513534546
7.2Gi,1.3Gi,4.8Gi,20Mi,1.1Gi,5.7Gi,5.22782564163208
7.2Gi,1.3Gi,4.8Gi,20Mi,1.1Gi,5.7Gi,6.7372965812683105
7.2Gi,1.3Gi,4.7Gi,20Mi,1.2Gi,5.6Gi,8.061811447143555
7.2Gi,1.4Gi,4.6Gi,20Mi,1.2Gi,5.6Gi,9.319315910339355
7.2Gi,1.4Gi,4.5Gi,20Mi,1.2Gi,5.5Gi,10.763851642608643
7.2Gi,1.5Gi,4.5Gi,20Mi,1.2Gi,5.5Gi,12.136842250823975
7.2Gi,1.6Gi,4.4Gi,20Mi,1.2Gi,5.4Gi,13.676863431930542
7.2Gi,1.6Gi,4.3Gi,20Mi,1.3Gi,5.3Gi,15.215962409973145
7.2Gi,1.8Gi,4.1Gi,20Mi,1.3Gi,5.1Gi,16.56009817123413
7.2Gi,2.0Gi,3.9Gi,20Mi,1.3Gi,4.9Gi,17.733198642730713
7.2Gi,2.1Gi,3.7Gi,20Mi,1.3Gi,4.8Gi,18.916436195373535
7.2Gi,2.1Gi,3.7Gi,20Mi,1.3Gi,4.8Gi,20.093461513519287
7.2Gi,2.1Gi,4.5Gi,20Mi,586Mi,4.8Gi,21.61509418487549
7.2Gi,2.1Gi,4.4Gi,20Mi,600Mi,4.8Gi,23.48384714126587
7.2Gi,2.2Gi,4.4Gi,20Mi,616Mi,4.8Gi,24.735071420669556
7.2Gi,2.3Gi,4.3Gi,57Mi,661Mi,4.7Gi,26.186301231384277
7.2Gi,2.3Gi,4.1Gi,103Mi,750Mi,4.6Gi,27.754889011383057
7.2Gi,2.3Gi,4.1Gi,103Mi,784Mi,4.5Gi,28.94396209716797
7.2Gi,2.4Gi,4.0Gi,103Mi,802Mi,4.5Gi,30.084793090820312
7.2Gi,2.4Gi,3.9Gi,103Mi,821Mi,4.4Gi,31.22804570198059
7.2Gi,2.4Gi,3.9Gi,103Mi,844Mi,4.4Gi,32.43779420852661
7.2Gi,2.5Gi,3.8Gi,103Mi,873Mi,4.4Gi,33.61694836616516
7.2Gi,2.5Gi,3.8Gi,103Mi,890Mi,4.4Gi,34.862077951431274
7.2Gi,2.5Gi,3.8Gi,103Mi,903Mi,4.4Gi,35.98872947692871
7.2Gi,2.5Gi,3.7Gi,103Mi,919Mi,4.3Gi,37.13332271575928
7.2Gi,2.6Gi,3.7Gi,103Mi,937Mi,4.3Gi,38.285932540893555
7.2Gi,2.6Gi,3.7Gi,103Mi,950Mi,4.3Gi,39.4165415763855
7.2Gi,2.6Gi,3.6Gi,103Mi,966Mi,4.3Gi,40.560619831085205
7.2Gi,2.6Gi,3.6Gi,103Mi,987Mi,4.2Gi,41.68963813781738
7.2Gi,2.7Gi,3.5Gi,103Mi,1.0Gi,4.2Gi,42.82072854042053
7.2Gi,2.8Gi,3.4Gi,103Mi,1.0Gi,4.1Gi,43.98217844963074
7.2Gi,2.8Gi,3.3Gi,103Mi,1.0Gi,4.0Gi,45.10957336425781
7.2Gi,2.9Gi,3.3Gi,103Mi,1.0Gi,4.0Gi,46.23844528198242
7.2Gi,3.0Gi,3.2Gi,103Mi,1.0Gi,3.9Gi,47.4161171913147
7.2Gi,3.0Gi,3.1Gi,103Mi,1.1Gi,3.8Gi,48.603349447250366
7.2Gi,3.1Gi,3.0Gi,103Mi,1.1Gi,3.8Gi,49.75879168510437
7.2Gi,3.1Gi,3.0Gi,103Mi,1.1Gi,3.8Gi,50.89970278739929
7.2Gi,3.1Gi,3.0Gi,103Mi,1.1Gi,3.8Gi,52.02557682991028
7.2Gi,3.1Gi,2.9Gi,103Mi,1.1Gi,3.8Gi,53.17483949661255
7.2Gi,3.1Gi,2.9Gi,103Mi,1.1Gi,3.7Gi,54.32474613189697
7.2Gi,3.1Gi,2.9Gi,103Mi,1.2Gi,3.7Gi,55.45856690406799
7.2Gi,3.2Gi,2.8Gi,103Mi,1.2Gi,3.7Gi,56.59588575363159
7.2Gi,3.2Gi,2.8Gi,103Mi,1.2Gi,3.7Gi,57.75823426246643
7.2Gi,3.2Gi,2.8Gi,103Mi,1.2Gi,3.7Gi,58.91196870803833
7.2Gi,3.2Gi,2.7Gi,103Mi,1.2Gi,3.6Gi,60.090627908706665
7.2Gi,3.2Gi,2.7Gi,103Mi,1.3Gi,3.6Gi,61.21340560913086
7.2Gi,3.2Gi,2.6Gi,103Mi,1.3Gi,3.6Gi,62.33208203315735
7.2Gi,3.2Gi,2.6Gi,103Mi,1.3Gi,3.6Gi,63.57296895980835
7.2Gi,3.2Gi,2.6Gi,103Mi,1.3Gi,3.6Gi,64.7145140171051
7.2Gi,3.3Gi,2.6Gi,103Mi,1.3Gi,3.6Gi,65.85334587097168
7.2Gi,3.3Gi,2.6Gi,103Mi,1.4Gi,3.6Gi,66.98384022712708
7.2Gi,3.3Gi,2.5Gi,103Mi,1.4Gi,3.6Gi,68.10843873023987
7.2Gi,3.3Gi,2.5Gi,103Mi,1.4Gi,3.6Gi,69.24539136886597
7.2Gi,3.3Gi,2.5Gi,103Mi,1.4Gi,3.6Gi,70.3788115978241
7.2Gi,3.3Gi,2.5Gi,103Mi,1.4Gi,3.6Gi,71.51400923728943
7.2Gi,3.3Gi,2.5Gi,103Mi,1.4Gi,3.6Gi,72.64871144294739
7.2Gi,3.3Gi,2.4Gi,103Mi,1.4Gi,3.6Gi,73.78538775444031
7.2Gi,3.3Gi,2.4Gi,103Mi,1.5Gi,3.6Gi,74.92595624923706
7.2Gi,3.3Gi,2.4Gi,103Mi,1.5Gi,3.6Gi,76.14989995956421
7.2Gi,3.3Gi,2.4Gi,103Mi,1.5Gi,3.5Gi,77.29730796813965
7.2Gi,3.3Gi,2.3Gi,103Mi,1.5Gi,3.5Gi,78.43229079246521
7.2Gi,3.3Gi,2.3Gi,103Mi,1.5Gi,3.5Gi,79.58976531028748
7.2Gi,3.4Gi,2.2Gi,103Mi,1.5Gi,3.5Gi,80.72840857505798
7.2Gi,3.5Gi,2.1Gi,103Mi,1.5Gi,3.4Gi,81.89973497390747
7.2Gi,3.5Gi,2.1Gi,103Mi,1.6Gi,3.4Gi,83.02296996116638
7.2Gi,3.5Gi,2.1Gi,103Mi,1.6Gi,3.4Gi,84.14881348609924
7.2Gi,3.5Gi,2.1Gi,103Mi,1.6Gi,3.4Gi,85.28253149986267
7.2Gi,3.5Gi,2.0Gi,103Mi,1.6Gi,3.3Gi,86.40506410598755
7.2Gi,3.6Gi,2.0Gi,103Mi,1.6Gi,3.3Gi,87.63436031341553
7.2Gi,3.6Gi,1.9Gi,103Mi,1.6Gi,3.2Gi,88.7752103805542
7.2Gi,3.6Gi,1.9Gi,103Mi,1.6Gi,3.2Gi,89.97923874855042
7.2Gi,3.7Gi,1.8Gi,103Mi,1.6Gi,3.2Gi,91.12012386322021
7.2Gi,3.7Gi,1.8Gi,103Mi,1.7Gi,3.1Gi,92.29134726524353
7.2Gi,3.8Gi,1.7Gi,103Mi,1.7Gi,3.1Gi,93.4736680984497
7.2Gi,3.8Gi,1.7Gi,103Mi,1.7Gi,3.1Gi,94.612380027771
7.2Gi,3.8Gi,1.7Gi,103Mi,1.7Gi,3.1Gi,95.74167561531067
7.2Gi,3.8Gi,1.7Gi,103Mi,1.7Gi,3.1Gi,96.87650346755981
7.2Gi,3.8Gi,1.6Gi,103Mi,1.7Gi,3.1Gi,98.03046584129333
7.2Gi,3.8Gi,1.6Gi,103Mi,1.7Gi,3.0Gi,99.15990090370178
7.2Gi,3.9Gi,1.5Gi,103Mi,1.8Gi,2.9Gi,100.29742121696472
7.2Gi,4.4Gi,1.0Gi,103Mi,1.8Gi,2.5Gi,101.49040389060974
7.2Gi,4.9Gi,516Mi,103Mi,1.8Gi,2.0Gi,102.67930603027344
7.2Gi,4.9Gi,489Mi,103Mi,1.8Gi,2.0Gi,103.82944464683533
7.2Gi,4.9Gi,455Mi,103Mi,1.8Gi,2.0Gi,105.00686550140381
7.2Gi,4.9Gi,409Mi,103Mi,1.8Gi,1.9Gi,106.16101884841919
7.2Gi,4.9Gi,360Mi,103Mi,1.9Gi,1.9Gi,107.31504774093628
7.2Gi,5.0Gi,303Mi,103Mi,1.9Gi,1.9Gi,108.51892685890198
7.2Gi,5.0Gi,271Mi,103Mi,1.9Gi,1.9Gi,109.66742610931396
7.2Gi,5.0Gi,245Mi,103Mi,1.9Gi,1.8Gi,110.8224081993103
7.2Gi,5.2Gi,110Mi,84Mi,1.9Gi,1.7Gi,112.16482663154602
7.2Gi,5.2Gi,89Mi,93Mi,1.9Gi,1.7Gi,113.66600561141968
7.2Gi,5.2Gi,98Mi,75Mi,1.9Gi,1.7Gi,115.07820868492126
7.2Gi,5.2Gi,152Mi,84Mi,1.8Gi,1.7Gi,116.67920446395874
7.2Gi,5.2Gi,137Mi,94Mi,1.8Gi,1.7Gi,118.37516164779663
7.2Gi,5.2Gi,129Mi,94Mi,1.9Gi,1.7Gi,119.75603365898132
7.2Gi,5.2Gi,133Mi,84Mi,1.9Gi,1.7Gi,121.21461796760559
7.2Gi,5.2Gi,125Mi,84Mi,1.9Gi,1.7Gi,122.58305430412292
7.2Gi,5.2Gi,111Mi,91Mi,1.9Gi,1.7Gi,123.87326884269714
7.2Gi,5.2Gi,106Mi,90Mi,1.9Gi,1.7Gi,125.27289414405823
7.2Gi,5.2Gi,101Mi,84Mi,1.9Gi,1.7Gi,126.78066849708557
7.2Gi,5.2Gi,87Mi,91Mi,1.9Gi,1.7Gi,128.36896920204163
7.2Gi,5.0Gi,288Mi,29Mi,1.8Gi,1.9Gi,129.65648794174194
