time,uptime,jetson_clocks,nvp model,CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,GPU1,GPU2,RAM,EMC,SWAP,APE,NVDEC,NVENC,NVJPG,NVJPG1,SE,VIC,fan,Temp CPU,Temp GPU,Temp SOC0,Temp SOC1,Temp SOC2,Temp tj,power cur,power avg,log_time
2024-06-10 05:22:52.813358,0 days 00:22:19.800000,OFF,pm_new,24,38,20,15,OFF,OFF,0,0,5445444,8,4,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,40.406,40.062,39.281,39.968,40.968,40.968,7302,8529,0.20115160942077637
2024-06-10 05:22:52.813358,0 days 00:22:19.800000,OFF,pm_new,24,38,20,15,OFF,OFF,0,0,5445444,8,4,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,40.406,40.062,39.281,39.968,40.968,40.968,7302,8529,0.20115160942077637
2024-06-10 05:22:53.526145,0 days 00:22:20.510000,ON,pm_new,98,86,84,86,84,98,0,0,2435540,1,4,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,41.281,40.062,39.281,40.156,41.187,41.437,11464,11464,0.9137067794799805
2024-06-10 05:22:54.722868,0 days 00:22:21.710000,ON,pm_new,82,100,100,100,98,96,0,0,2426976,1,4,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,41.5,40.125,39.343,40.281,41.375,41.5,11899,11700,2.1102986335754395
2024-06-10 05:22:55.902512,0 days 00:22:22.890000,ON,pm_new,92,100,100,90,94,94,0,0,2440752,1,4,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,41.281,40.25,39.281,40.281,41.375,41.5,11859,11819,3.289954900741577
2024-06-10 05:22:57.065685,0 days 00:22:24.050000,ON,pm_new,96,100,88,90,100,100,0,0,2450104,0,4,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,41.437,40.25,39.281,40.468,41.437,41.437,12294,11909,4.453173637390137
2024-06-10 05:22:58.320649,0 days 00:22:25.310000,ON,pm_new,98,100,100,98,100,96,0,0,2483820,0,4,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,41.625,40.156,39.468,40.343,41.437,41.625,12334,12044,5.708087682723999
2024-06-10 05:22:59.538351,0 days 00:22:26.530000,ON,pm_new,100,100,96,98,100,100,9,9,2578928,1,4,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,42.0,40.156,39.531,40.406,41.562,41.843,12807,12121,6.925822734832764
2024-06-10 05:23:00.666627,0 days 00:22:27.650000,ON,pm_new,100,100,98,100,100,100,10,10,2936044,2,4,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,42.156,40.187,39.437,40.375,41.531,42.156,13084,12245,8.054099082946777
2024-06-10 05:23:02.292903,0 days 00:22:29.280000,ON,pm_new,22,54,9,20,52,11,0,0,2453336,1,4,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,41.0,40.218,39.406,40.218,41.25,41.343,9118,11778,9.680375814437866
