total,used,free,shared,buff/cache,available,log_time
7.2Gi,2.1Gi,3.1Gi,20Mi,2.0Gi,4.9Gi,2.738793134689331
7.2Gi,2.1Gi,3.1Gi,20Mi,2.0Gi,4.9Gi,4.454639196395874
7.2Gi,2.2Gi,2.9Gi,20Mi,2.0Gi,4.7Gi,5.882887363433838
7.2Gi,2.5Gi,2.6Gi,20Mi,2.0Gi,4.4Gi,7.315321445465088
7.2Gi,2.1Gi,4.5Gi,20Mi,571Mi,4.9Gi,9.159955024719238
7.2Gi,2.1Gi,4.5Gi,20Mi,593Mi,4.8Gi,10.747887372970581
7.2Gi,2.2Gi,4.4Gi,20Mi,608Mi,4.8Gi,12.123765468597412
7.2Gi,2.2Gi,4.2Gi,101Mi,719Mi,4.6Gi,13.792084693908691
7.2Gi,2.3Gi,4.2Gi,103Mi,742Mi,4.6Gi,14.996779441833496
7.2Gi,2.3Gi,4.1Gi,103Mi,764Mi,4.6Gi,16.187864780426025
7.2Gi,2.3Gi,4.1Gi,103Mi,779Mi,4.5Gi,17.409146785736084
7.2Gi,2.4Gi,4.0Gi,103Mi,808Mi,4.5Gi,18.631378650665283
7.2Gi,2.4Gi,4.0Gi,103Mi,836Mi,4.5Gi,19.809725999832153
7.2Gi,2.4Gi,3.9Gi,103Mi,857Mi,4.4Gi,20.98800039291382
7.2Gi,2.4Gi,3.9Gi,103Mi,872Mi,4.4Gi,22.209424018859863
7.2Gi,2.5Gi,3.8Gi,103Mi,898Mi,4.4Gi,23.399474382400513
7.2Gi,2.5Gi,3.7Gi,103Mi,916Mi,4.3Gi,24.60454249382019
7.2Gi,2.6Gi,3.7Gi,103Mi,946Mi,4.3Gi,25.806005716323853
7.2Gi,2.6Gi,3.6Gi,103Mi,966Mi,4.2Gi,27.114579677581787
7.2Gi,2.7Gi,3.5Gi,103Mi,982Mi,4.2Gi,28.323500871658325
7.2Gi,2.7Gi,3.5Gi,103Mi,993Mi,4.2Gi,29.547103881835938
7.2Gi,2.8Gi,3.4Gi,103Mi,1.0Gi,4.1Gi,30.733933210372925
7.2Gi,2.8Gi,3.4Gi,103Mi,1.0Gi,4.1Gi,31.94278359413147
7.2Gi,2.9Gi,3.3Gi,103Mi,1.0Gi,4.0Gi,33.157609701156616
7.2Gi,3.0Gi,3.2Gi,103Mi,1.0Gi,3.9Gi,34.44969844818115
7.2Gi,3.0Gi,3.1Gi,103Mi,1.0Gi,3.8Gi,35.66486406326294
7.2Gi,3.1Gi,3.0Gi,103Mi,1.1Gi,3.8Gi,36.877413272857666
7.2Gi,3.1Gi,3.0Gi,103Mi,1.1Gi,3.8Gi,38.055389404296875
7.2Gi,3.1Gi,3.0Gi,103Mi,1.1Gi,3.8Gi,39.24535918235779
7.2Gi,3.1Gi,3.0Gi,103Mi,1.1Gi,3.8Gi,40.474292278289795
7.2Gi,3.1Gi,2.9Gi,103Mi,1.1Gi,3.8Gi,41.66469645500183
7.2Gi,3.1Gi,2.9Gi,103Mi,1.1Gi,3.8Gi,42.84802865982056
7.2Gi,3.1Gi,2.9Gi,103Mi,1.2Gi,3.7Gi,44.04507303237915
7.2Gi,3.1Gi,2.8Gi,103Mi,1.2Gi,3.7Gi,45.288992404937744
7.2Gi,3.2Gi,2.8Gi,103Mi,1.2Gi,3.7Gi,46.52746820449829
7.2Gi,3.2Gi,2.7Gi,103Mi,1.2Gi,3.6Gi,47.723403215408325
7.2Gi,3.2Gi,2.7Gi,103Mi,1.3Gi,3.6Gi,48.919806718826294
