total,used,free,log_time
3.6Gi,3.0Mi,3.6Gi,2.0423505306243896
3.6Gi,3.0Mi,3.6Gi,3.45847487449646
3.6Gi,3.0Mi,3.6Gi,4.7557690143585205
3.6Gi,3.0Mi,3.6Gi,5.942365407943726
3.6Gi,3.0Mi,3.6Gi,7.122777938842773
3.6Gi,3.0Mi,3.6Gi,8.278192281723022
3.6Gi,3.0Mi,3.6Gi,9.443671464920044
3.6Gi,3.0Mi,3.6Gi,10.629301071166992
3.6Gi,3.0Mi,3.6Gi,11.834227800369263
3.6Gi,3.0Mi,3.6Gi,12.995489120483398
3.6Gi,3.0Mi,3.6Gi,14.118328094482422
3.6Gi,3.0Mi,3.6Gi,15.298037052154541
3.6Gi,3.0Mi,3.6Gi,16.51785683631897
3.6Gi,3.0Mi,3.6Gi,17.684448957443237
3.6Gi,3.0Mi,3.6Gi,18.908699989318848
3.6Gi,3.0Mi,3.6Gi,20.066758632659912
3.6Gi,3.0Mi,3.6Gi,21.207149028778076
