total,used,free,log_time
3.6Gi,4.0Mi,3.6Gi,2.7508983612060547
3.6Gi,4.0Mi,3.6Gi,4.365452289581299
3.6Gi,4.0Mi,3.6Gi,6.206976652145386
3.6Gi,4.0Mi,3.6Gi,7.771321535110474
3.6Gi,4.0Mi,3.6Gi,9.35547399520874
3.6Gi,4.0Mi,3.6Gi,10.982356548309326
3.6Gi,4.0Mi,3.6Gi,12.586724758148193
3.6Gi,4.0Mi,3.6Gi,13.994629383087158
3.6Gi,4.0Mi,3.6Gi,15.394733905792236
3.6Gi,4.0Mi,3.6Gi,16.870593309402466
3.6Gi,4.0Mi,3.6Gi,18.457082509994507
3.6Gi,4.0Mi,3.6Gi,20.115938425064087
3.6Gi,4.0Mi,3.6Gi,21.57203507423401
3.6Gi,4.0Mi,3.6Gi,23.134830951690674
3.6Gi,4.0Mi,3.6Gi,24.80414080619812
3.6Gi,4.0Mi,3.6Gi,26.223695993423462
3.6Gi,4.0Mi,3.6Gi,27.63250184059143
3.6Gi,4.0Mi,3.6Gi,29.075519800186157
3.6Gi,4.0Mi,3.6Gi,30.537171125411987
3.6Gi,4.0Mi,3.6Gi,32.112905740737915
3.6Gi,4.0Mi,3.6Gi,33.691532135009766
3.6Gi,4.0Mi,3.6Gi,35.254204750061035
3.6Gi,4.0Mi,3.6Gi,36.83239030838013
3.6Gi,4.0Mi,3.6Gi,38.23594808578491
3.6Gi,4.0Mi,3.6Gi,40.17181944847107
3.6Gi,4.0Mi,3.6Gi,41.507944107055664
3.6Gi,4.0Mi,3.6Gi,42.80139660835266
3.6Gi,4.0Mi,3.6Gi,44.13964295387268
3.6Gi,4.0Mi,3.6Gi,45.48078966140747
3.6Gi,4.0Mi,3.6Gi,46.797343730926514
3.6Gi,4.0Mi,3.6Gi,48.109463930130005
3.6Gi,4.0Mi,3.6Gi,49.41898226737976
3.6Gi,4.0Mi,3.6Gi,50.72883415222168
3.6Gi,4.0Mi,3.6Gi,52.008805990219116
3.6Gi,4.0Mi,3.6Gi,53.31653642654419
3.6Gi,4.0Mi,3.6Gi,54.61309552192688
3.6Gi,4.0Mi,3.6Gi,55.925952196121216
3.6Gi,4.0Mi,3.6Gi,57.22428250312805
