total,used,free,shared,buff/cache,available,log_time
7.2Gi,2.1Gi,2.8Gi,20Mi,2.3Gi,4.9Gi,2.438228130340576
7.2Gi,2.4Gi,2.5Gi,20Mi,2.3Gi,4.5Gi,3.8657336235046387
7.2Gi,2.6Gi,2.3Gi,20Mi,2.3Gi,4.4Gi,5.253398895263672
7.2Gi,2.7Gi,2.1Gi,57Mi,2.3Gi,4.2Gi,6.973244667053223
7.2Gi,3.0Gi,1.7Gi,103Mi,2.4Gi,3.8Gi,8.809175968170166
7.2Gi,3.3Gi,1.5Gi,103Mi,2.4Gi,3.6Gi,10.158222436904907
7.2Gi,3.6Gi,1.2Gi,103Mi,2.4Gi,3.3Gi,11.6039137840271
7.2Gi,4.1Gi,739Mi,103Mi,2.4Gi,2.8Gi,12.980634212493896
7.2Gi,4.6Gi,198Mi,94Mi,2.4Gi,2.3Gi,14.40900182723999
7.2Gi,4.6Gi,173Mi,87Mi,2.4Gi,2.3Gi,16.015103101730347
7.2Gi,4.6Gi,168Mi,94Mi,2.4Gi,2.2Gi,17.423370838165283
7.2Gi,4.6Gi,166Mi,94Mi,2.4Gi,2.2Gi,18.79469060897827
7.2Gi,4.6Gi,142Mi,94Mi,2.4Gi,2.2Gi,20.244966745376587
7.2Gi,4.6Gi,144Mi,94Mi,2.4Gi,2.2Gi,21.672103881835938
7.2Gi,4.6Gi,142Mi,94Mi,2.4Gi,2.2Gi,22.97274374961853
7.2Gi,4.6Gi,133Mi,103Mi,2.4Gi,2.2Gi,24.39507818222046
7.2Gi,4.6Gi,134Mi,103Mi,2.4Gi,2.2Gi,25.798115015029907
7.2Gi,4.6Gi,142Mi,94Mi,2.4Gi,2.2Gi,27.09217071533203
7.2Gi,4.6Gi,143Mi,94Mi,2.4Gi,2.2Gi,28.60566735267639
7.2Gi,4.6Gi,145Mi,94Mi,2.4Gi,2.2Gi,30.015841007232666
7.2Gi,4.6Gi,143Mi,94Mi,2.4Gi,2.2Gi,31.312131643295288
7.2Gi,4.6Gi,148Mi,94Mi,2.4Gi,2.2Gi,32.74107241630554
7.2Gi,4.6Gi,140Mi,103Mi,2.4Gi,2.2Gi,34.08160996437073
