epoch,batch_idx,fetchtime,fetchtime_ms,log_time
0,0,null,2620.024658203125,163.565847158432
0,1,null,18.81929588317871,164.01370692253113
0,2,null,10.966079711914062,164.33288192749023
0,3,null,26.130016326904297,164.66950058937073
0,4,null,111.97328186035156,165.23784399032593
0,5,null,51.29507064819336,165.59046244621277
0,6,null,13.44166374206543,165.90450143814087
0,7,null,18.916288375854492,166.22304582595825
0,8,null,113.78540802001953,166.82041907310486
0,9,null,44.77151870727539,167.2214789390564
0,10,null,112.41433715820312,168.05480408668518
0,11,null,14.518848419189453,168.3725209236145
0,12,null,18.001760482788086,168.69107055664062
0,13,null,27.59609603881836,169.03566360473633
0,14,null,41.88838577270508,169.4765841960907
0,15,null,23.86908721923828,169.79827451705933
0,16,null,103.4974365234375,170.46986293792725
0,17,null,80.6556167602539,170.93102169036865
0,18,null,25.51033592224121,171.25440907478333
0,19,null,18.303775787353516,171.5818383693695
0,20,null,15.399711608886719,171.89501285552979
0,21,null,23.43600082397461,172.21739721298218
0,22,null,30.314847946166992,172.591406583786
0,23,null,45.96380615234375,172.93550610542297
0,24,null,10.088640213012695,173.395254611969
0,25,null,15.274271965026855,173.70828437805176
0,26,null,30.40006446838379,174.07671976089478
0,27,null,46.41427230834961,174.4209725856781
0,28,null,21.189472198486328,174.74048328399658
0,29,null,30.192319869995117,175.07158017158508
0,30,null,24.838272094726562,175.50066137313843
0,31,null,98.82032012939453,176.1562569141388
0,32,null,10.088512420654297,176.47015070915222
0,33,null,10.92579174041748,176.7795693874359
0,34,null,46.316993713378906,177.15125155448914
0,35,null,38.65657424926758,177.4909212589264
0,36,null,10.96121597290039,177.80029439926147
0,37,null,27.974079132080078,178.1354923248291
0,38,null,26.084192276000977,178.46230554580688
0,39,null,26.651647567749023,178.7905240058899
