total,used,free,shared,buff/cache,available,log_time
7.2Gi,2.0Gi,3.1Gi,20Mi,2.0Gi,4.9Gi,3.198394298553467
7.2Gi,2.0Gi,3.1Gi,20Mi,2.0Gi,4.9Gi,4.931864023208618
7.2Gi,2.1Gi,3.0Gi,20Mi,2.0Gi,4.9Gi,7.22345757484436
7.2Gi,2.1Gi,3.0Gi,20Mi,2.1Gi,4.9Gi,9.10943865776062
7.2Gi,2.2Gi,2.9Gi,20Mi,2.1Gi,4.8Gi,10.72742223739624
7.2Gi,2.4Gi,2.7Gi,20Mi,2.1Gi,4.6Gi,12.159297227859497
7.2Gi,2.5Gi,2.6Gi,20Mi,2.1Gi,4.4Gi,13.606359958648682
7.2Gi,2.1Gi,4.5Gi,20Mi,566Mi,4.9Gi,15.310095071792603
7.2Gi,2.1Gi,4.5Gi,20Mi,579Mi,4.9Gi,17.02538275718689
7.2Gi,2.1Gi,4.4Gi,20Mi,594Mi,4.8Gi,18.66896629333496
7.2Gi,2.2Gi,4.3Gi,57Mi,658Mi,4.7Gi,20.806849002838135
7.2Gi,2.3Gi,4.2Gi,103Mi,742Mi,4.6Gi,22.26512837409973
7.2Gi,2.3Gi,4.2Gi,103Mi,758Mi,4.6Gi,23.518651485443115
7.2Gi,2.3Gi,4.1Gi,103Mi,778Mi,4.5Gi,24.838521003723145
7.2Gi,2.4Gi,4.0Gi,103Mi,809Mi,4.5Gi,26.289177656173706
7.2Gi,2.4Gi,4.0Gi,103Mi,827Mi,4.5Gi,27.57357144355774
7.2Gi,2.4Gi,3.9Gi,103Mi,847Mi,4.4Gi,28.840535402297974
7.2Gi,2.4Gi,3.9Gi,103Mi,879Mi,4.4Gi,30.141214847564697
7.2Gi,2.5Gi,3.8Gi,103Mi,899Mi,4.4Gi,31.365910291671753
7.2Gi,2.5Gi,3.7Gi,103Mi,918Mi,4.3Gi,32.63736701011658
7.2Gi,2.6Gi,3.7Gi,103Mi,941Mi,4.3Gi,33.9137806892395
7.2Gi,2.6Gi,3.6Gi,103Mi,962Mi,4.2Gi,35.22380185127258
7.2Gi,2.7Gi,3.5Gi,103Mi,980Mi,4.2Gi,36.5745415687561
7.2Gi,2.8Gi,3.4Gi,103Mi,996Mi,4.1Gi,37.8470823764801
7.2Gi,2.9Gi,3.3Gi,103Mi,1.0Gi,4.0Gi,39.07356929779053
7.2Gi,2.9Gi,3.2Gi,103Mi,1.0Gi,3.9Gi,40.392388105392456
7.2Gi,2.9Gi,3.2Gi,103Mi,1.0Gi,3.9Gi,41.66745162010193
7.2Gi,3.0Gi,3.2Gi,103Mi,1.0Gi,3.9Gi,42.91581439971924
7.2Gi,3.0Gi,3.1Gi,103Mi,1.0Gi,3.8Gi,44.26997780799866
7.2Gi,3.0Gi,3.1Gi,103Mi,1.1Gi,3.8Gi,45.508463621139526
7.2Gi,3.1Gi,3.0Gi,103Mi,1.1Gi,3.8Gi,46.75808143615723
7.2Gi,3.1Gi,3.0Gi,103Mi,1.1Gi,3.8Gi,47.99303650856018
7.2Gi,3.1Gi,3.0Gi,103Mi,1.1Gi,3.8Gi,49.32193565368652
7.2Gi,3.1Gi,2.9Gi,103Mi,1.1Gi,3.8Gi,50.90116262435913
7.2Gi,3.1Gi,2.9Gi,103Mi,1.1Gi,3.8Gi,52.12912344932556
7.2Gi,3.1Gi,2.9Gi,103Mi,1.2Gi,3.7Gi,53.43057036399841
7.2Gi,3.2Gi,2.8Gi,103Mi,1.2Gi,3.7Gi,54.678667068481445
7.2Gi,3.2Gi,2.8Gi,103Mi,1.2Gi,3.7Gi,55.95080590248108
7.2Gi,3.2Gi,2.7Gi,103Mi,1.2Gi,3.7Gi,57.20057535171509
7.2Gi,3.2Gi,2.7Gi,103Mi,1.2Gi,3.7Gi,58.43094825744629
7.2Gi,3.2Gi,2.7Gi,103Mi,1.3Gi,3.7Gi,59.69779014587402
7.2Gi,3.2Gi,2.7Gi,103Mi,1.3Gi,3.7Gi,60.95091652870178
7.2Gi,3.2Gi,2.6Gi,103Mi,1.3Gi,3.6Gi,62.19326639175415
7.2Gi,3.2Gi,2.6Gi,103Mi,1.3Gi,3.6Gi,63.44040656089783
7.2Gi,3.2Gi,2.6Gi,103Mi,1.3Gi,3.6Gi,64.67908358573914
7.2Gi,3.3Gi,2.5Gi,103Mi,1.4Gi,3.6Gi,66.03403210639954
7.2Gi,3.3Gi,2.5Gi,103Mi,1.4Gi,3.6Gi,67.27999973297119
7.2Gi,3.3Gi,2.5Gi,103Mi,1.4Gi,3.6Gi,68.5218710899353
7.2Gi,3.3Gi,2.5Gi,103Mi,1.4Gi,3.6Gi,69.75240182876587
7.2Gi,3.3Gi,2.5Gi,103Mi,1.4Gi,3.6Gi,70.99420213699341
7.2Gi,3.3Gi,2.4Gi,103Mi,1.5Gi,3.5Gi,72.25782632827759
