total,used,free,log_time
3.6Gi,4.0Mi,3.6Gi,2.9441897869110107
3.6Gi,4.0Mi,3.6Gi,4.860414743423462
3.6Gi,4.0Mi,3.6Gi,6.321631193161011
3.6Gi,4.0Mi,3.6Gi,7.813113689422607
3.6Gi,4.0Mi,3.6Gi,9.406061172485352
3.6Gi,4.0Mi,3.6Gi,11.156169414520264
3.6Gi,4.0Mi,3.6Gi,13.352296113967896
3.6Gi,4.0Mi,3.6Gi,15.434291362762451
3.6Gi,4.0Mi,3.6Gi,16.927655458450317
3.6Gi,4.0Mi,3.6Gi,18.316903114318848
3.6Gi,4.0Mi,3.6Gi,19.812225818634033
3.6Gi,4.0Mi,3.6Gi,21.19791269302368
3.6Gi,4.0Mi,3.6Gi,22.56466555595398
3.6Gi,4.0Mi,3.6Gi,23.984477758407593
3.6Gi,4.0Mi,3.6Gi,25.492128133773804
3.6Gi,4.0Mi,3.6Gi,27.543015241622925
3.6Gi,4.0Mi,3.6Gi,30.064393043518066
3.6Gi,4.0Mi,3.6Gi,32.5770263671875
3.6Gi,4.0Mi,3.6Gi,34.895734548568726
3.6Gi,4.0Mi,3.6Gi,37.15237522125244
3.6Gi,4.0Mi,3.6Gi,39.34925842285156
3.6Gi,4.0Mi,3.6Gi,41.53661322593689
3.6Gi,4.0Mi,3.6Gi,43.89341616630554
3.6Gi,4.0Mi,3.6Gi,46.2084846496582
3.6Gi,4.0Mi,3.6Gi,48.531179666519165
3.6Gi,4.0Mi,3.6Gi,50.045491218566895
