epoch,batch_idx,computetime,computetime_ms,log_time
_,1,null,7958.978515625,14.268730401992798
0,1,null,7958.978515625,14.268859624862671
_,2,null,978.09521484375,15.255693197250366
0,2,null,978.09521484375,15.255802631378174
_,3,null,985.799560546875,16.243481874465942
0,3,null,985.799560546875,16.243605852127075
_,4,null,985.78955078125,17.231571197509766
0,4,null,985.78955078125,17.231679916381836
_,5,null,985.6751708984375,18.227526426315308
0,5,null,985.6751708984375,18.22763752937317
_,6,null,987.2139892578125,19.216880798339844
0,6,null,987.2139892578125,19.216983795166016
_,7,null,986.165283203125,20.205262422561646
0,7,null,986.165283203125,20.205385446548462
_,8,null,988.0330810546875,21.195106029510498
0,8,null,988.0330810546875,21.195231437683105
_,9,null,987.4984130859375,22.18716025352478
0,9,null,987.4984130859375,22.1872775554657
_,10,null,987.3388671875,23.179275512695312
0,10,null,987.3388671875,23.179399013519287
_,11,null,987.1841430664062,24.170708656311035
0,11,null,987.1841430664062,24.17081379890442
_,12,null,988.375,25.16322088241577
0,12,null,988.375,25.163337469100952
_,13,null,987.8516235351562,26.15538239479065
0,13,null,987.8516235351562,26.155513525009155
_,14,null,987.2501220703125,27.147708654403687
0,14,null,987.2501220703125,27.14783215522766
_,15,null,986.5235595703125,28.13905930519104
0,15,null,986.5235595703125,28.1391818523407
_,16,null,988.3233642578125,29.132313013076782
0,16,null,988.3233642578125,29.132426023483276
_,17,null,988.1400146484375,30.124884843826294
0,17,null,988.1400146484375,30.125009298324585
_,18,null,987.6043090820312,31.11750888824463
0,18,null,987.6043090820312,31.117616653442383
_,19,null,987.94091796875,32.11117362976074
0,19,null,987.94091796875,32.11130428314209
_,20,null,987.5430908203125,33.10373377799988
0,20,null,987.5430908203125,33.103856563568115
_,21,null,986.6159057617188,34.094650983810425
0,21,null,986.6159057617188,34.09476113319397
_,22,null,986.541748046875,35.08600902557373
0,22,null,986.541748046875,35.086137533187866
_,23,null,987.520751953125,36.079416036605835
0,23,null,987.520751953125,36.079540729522705
_,24,null,986.51806640625,37.07189345359802
0,24,null,986.51806640625,37.07202982902527
_,25,null,986.8139038085938,38.06306838989258
0,25,null,986.8139038085938,38.0631902217865
_,26,null,988.2238159179688,39.05803656578064
0,26,null,988.2238159179688,39.05816721916199
_,27,null,987.3353881835938,40.05048155784607
0,27,null,987.3353881835938,40.05062651634216
_,28,null,987.3212890625,41.04277777671814
0,28,null,987.3212890625,41.042903423309326
_,29,null,987.2132568359375,42.03437066078186
0,29,null,987.2132568359375,42.034489154815674
_,30,null,987.3903198242188,43.02663588523865
0,30,null,987.3903198242188,43.026758909225464
_,31,null,987.7943725585938,44.01924204826355
0,31,null,987.7943725585938,44.01936912536621
_,32,null,988.0167236328125,45.01153802871704
0,32,null,988.0167236328125,45.01165699958801
_,33,null,986.1217041015625,46.00239872932434
0,33,null,986.1217041015625,46.002514123916626
_,34,null,987.9835205078125,46.994895458221436
0,34,null,987.9835205078125,46.99503993988037
_,35,null,987.663818359375,47.98797154426575
0,35,null,987.663818359375,47.988096714019775
_,36,null,987.6614379882812,48.98057246208191
0,36,null,987.6614379882812,48.98069500923157
_,37,null,986.47412109375,49.971763134002686
0,37,null,986.47412109375,49.9718873500824
_,38,null,984.8038330078125,50.96178865432739
0,38,null,984.8038330078125,50.961909770965576
_,39,null,983.2625122070312,51.950366258621216
0,39,null,983.2625122070312,51.950477600097656
_,40,null,983.5602416992188,52.938998222351074
0,40,null,983.5602416992188,52.93911290168762
_,41,null,983.72705078125,53.926963090896606
0,41,null,983.72705078125,53.92709422111511
_,42,null,987.701171875,54.919708013534546
0,42,null,987.701171875,54.91982865333557
_,43,null,985.603271484375,55.91067910194397
0,43,null,985.603271484375,55.910789251327515
_,44,null,986.0584106445312,56.90113949775696
0,44,null,986.0584106445312,56.901293992996216
_,45,null,983.141357421875,57.889496088027954
0,45,null,983.141357421875,57.88961863517761
_,46,null,983.24169921875,58.878079891204834
0,46,null,983.24169921875,58.87820625305176
_,47,null,983.5591430664062,59.866626262664795
0,47,null,983.5591430664062,59.86676788330078
_,48,null,980.4668579101562,60.852434158325195
0,48,null,980.4668579101562,60.85254693031311
_,49,null,987.4489135742188,61.845130443573
0,49,null,987.4489135742188,61.84523892402649
_,50,null,987.399169921875,62.839563608169556
0,50,null,987.399169921875,62.83968162536621
_,51,null,986.5369262695312,63.831244468688965
