power_budget,powermode_random,bs_random,optim_time_random,optim_power_random,time_budget,arr_rate,soln_random,powermode_nn,bs_nn,optim_time_nn,optim_power_nn,soln_nn
21,8_2201600_318750000_3199000000,1.0,3.3999040126800537,20.748,0.06,30,1,8_2201600_318750000_3199000000,1,3.3999040126800537,20.748,1
22,8_2201600_318750000_3199000000,1.0,3.3999040126800537,20.748,0.06,30,1,8_2201600_318750000_3199000000,1,3.3999040126800537,20.748,1
23,8_2201600_318750000_3199000000,1.0,3.3999040126800537,20.748,0.06,30,1,8_2201600_318750000_3199000000,1,3.3999040126800537,20.748,1
24,8_2201600_318750000_3199000000,1.0,3.3999040126800537,20.748,0.06,30,1,8_2201600_318750000_3199000000,1,3.3999040126800537,20.748,1
25,8_2201600_318750000_3199000000,1.0,3.3999040126800537,20.748,0.06,30,1,8_2201600_318750000_3199000000,1,3.3999040126800537,20.748,1
26,8_2201600_318750000_3199000000,1.0,3.3999040126800537,20.748,0.06,30,1,8_2201600_318750000_3199000000,1,3.3999040126800537,20.748,1
27,8_2201600_318750000_3199000000,1.0,3.3999040126800537,20.748,0.06,30,1,8_2201600_318750000_3199000000,1,3.3999040126800537,20.748,1
28,8_2201600_318750000_3199000000,1.0,3.3999040126800537,20.748,0.06,30,1,8_2201600_318750000_3199000000,1,3.3999040126800537,20.748,1
29,8_2201600_318750000_3199000000,1.0,3.3999040126800537,20.748,0.06,30,1,8_2201600_318750000_3199000000,1,3.3999040126800537,20.748,1
30,8_2201600_318750000_3199000000,1.0,3.3999040126800537,20.748,0.06,30,1,8_2201600_318750000_3199000000,1,3.3999040126800537,20.748,1
31,8_2201600_318750000_3199000000,1.0,3.3999040126800537,20.748,0.06,30,1,8_2201600_318750000_3199000000,1,3.3999040126800537,20.748,1
32,8_2201600_318750000_3199000000,1.0,3.3999040126800537,20.748,0.06,30,1,8_2201600_318750000_3199000000,1,3.3999040126800537,20.748,1
33,8_2201600_318750000_3199000000,1.0,3.3999040126800537,20.748,0.06,30,1,8_2201600_318750000_3199000000,1,3.3999040126800537,20.748,1
34,8_2201600_318750000_3199000000,1.0,3.3999040126800537,20.748,0.06,30,1,8_2201600_318750000_3199000000,1,3.3999040126800537,20.748,1
35,8_2201600_318750000_3199000000,1.0,3.3999040126800537,20.748,0.06,30,1,8_2201600_318750000_3199000000,1,3.3999040126800537,20.748,1
36,8_2201600_318750000_3199000000,1.0,3.3999040126800537,20.748,0.06,30,1,8_2201600_318750000_3199000000,1,3.3999040126800537,20.748,1
37,8_2201600_318750000_3199000000,1.0,3.3999040126800537,20.748,0.06,30,1,8_2201600_318750000_3199000000,1,3.3999040126800537,20.748,1
