powermode_algo,infer_time_algo,bs_algo,interleaved_power_algo,power_budget,num_train_batches_algo,num_tries_algo,time_budget,arr_rate,powermode_optim,infer_time_optim,bs_optim,interleaved_power_optim,num_train_batches_optim,num_tries_optim
8_2201600_726750000_3199000000,146.19052410125732,16.0,30.61,33.0,28.0,12.0,0.8,30.0,8_1651200_930750000_3199000000,130.7504177093506,16.0,32.429,33.0,1.0
8_2201600_726750000_3199000000,146.19052410125732,16.0,30.61,34.0,28.0,12.0,0.8,30.0,8_1651200_1134750000_3199000000,120.08345127105711,16.0,33.54,36.0,1.0
8_2201600_930750000_3199000000,123.6196756362915,16.0,34.532,35.0,35.0,12.0,0.8,30.0,8_1651200_1134750000_3199000000,120.08345127105711,16.0,33.54,36.0,1.0
8_2201600_930750000_3199000000,123.6196756362915,16.0,34.532,36.0,35.0,12.0,0.8,30.0,8_1651200_1134750000_3199000000,120.08345127105711,16.0,33.54,36.0,1.0
8_2201600_930750000_3199000000,123.6196756362915,16.0,34.532,37.0,35.0,12.0,0.8,30.0,8_1958400_1134750000_3199000000,116.22238159179688,16.0,36.755,37.0,1.0
8_2201600_1134750000_3199000000,113.34848403930664,16.0,37.55,38.0,38.0,12.0,0.8,30.0,8_2201600_1134750000_3199000000,113.34848403930664,16.0,37.55,38.0,1.0
8_2201600_1134750000_3199000000,113.34848403930664,16.0,37.55,39.0,38.0,12.0,0.8,30.0,8_2201600_1134750000_3199000000,113.34848403930664,16.0,37.55,38.0,1.0
8_2201600_1134750000_3199000000,113.34848403930664,16.0,37.55,40.0,38.0,12.0,0.8,30.0,8_2201600_1134750000_3199000000,113.34848403930664,16.0,37.55,38.0,1.0
8_2201600_1300500000_3199000000,107.962965965271,16.0,40.609,41.0,40.0,12.0,0.8,30.0,8_2201600_1300500000_3199000000,107.962965965271,16.0,40.609,40.0,1.0
8_2201600_1300500000_3199000000,107.962965965271,16.0,40.609,42.0,40.0,12.0,0.8,30.0,8_2201600_1300500000_3199000000,107.962965965271,16.0,40.609,40.0,1.0
8_2201600_1300500000_3199000000,107.962965965271,16.0,40.609,43.0,40.0,12.0,0.8,30.0,12_2201600_1300500000_3199000000,107.45811462402344,16.0,42.523,40.0,1.0
8_2201600_1300500000_3199000000,107.962965965271,16.0,40.609,44.0,40.0,12.0,0.8,30.0,12_2201600_1300500000_3199000000,107.45811462402344,16.0,42.523,40.0,1.0
8_2201600_1300500000_3199000000,107.962965965271,16.0,40.609,45.0,40.0,12.0,0.8,30.0,12_2201600_1300500000_3199000000,107.45811462402344,16.0,42.523,40.0,1.0
8_2201600_1300500000_3199000000,107.962965965271,16.0,40.609,46.0,40.0,12.0,0.8,30.0,12_2201600_1300500000_3199000000,107.45811462402344,16.0,42.523,40.0,1.0
8_2201600_1300500000_3199000000,107.962965965271,16.0,40.609,47.0,40.0,12.0,0.8,30.0,12_2201600_1300500000_3199000000,107.45811462402344,16.0,42.523,40.0,1.0
8_2201600_1300500000_3199000000,107.962965965271,16.0,40.609,48.0,40.0,12.0,0.8,30.0,12_2201600_1300500000_3199000000,107.45811462402344,16.0,42.523,40.0,1.0
8_2201600_1300500000_3199000000,107.962965965271,16.0,40.609,49.0,40.0,12.0,0.8,30.0,12_2201600_1300500000_3199000000,107.45811462402344,16.0,42.523,40.0,1.0
8_2201600_1300500000_3199000000,107.962965965271,16.0,40.609,50.0,40.0,12.0,0.8,30.0,12_2201600_1300500000_3199000000,107.45811462402344,16.0,42.523,40.0,1.0
8_1344000_726750000_665600000,347.06127643585205,16.0,18.9215,19.0,4.0,13.0,0.9,30.0,12_422400_522750000_2133000000,275.1758098602295,16.0,18.878,8.0,1.0
8_422400_726750000_2133000000,251.5263557434082,16.0,19.746,20.0,8.0,13.0,0.9,30.0,8_422400_726750000_2133000000,251.5263557434082,16.0,19.746,8.0,1.0
8_422400_726750000_2133000000,251.5263557434082,16.0,19.746,21.0,8.0,14.0,0.9,30.0,12_422400_726750000_3199000000,232.68377780914307,16.0,20.973,9.0,1.0
8_422400_726750000_2133000000,251.5263557434082,16.0,19.746,22.0,8.0,14.0,0.9,30.0,12_422400_930750000_3199000000,214.68889713287356,16.0,21.974,10.0,1.0
8_422400_726750000_2133000000,251.5263557434082,16.0,19.746,23.0,8.0,14.0,0.9,30.0,12_1036800_522750000_2133000000,214.4253253936768,16.0,22.458,15.0,1.0
8_1344000_522750000_2133000000,205.80267906188965,16.0,23.066,24.0,16.0,13.0,0.9,30.0,12_1651200_522750000_2133000000,197.2212791442871,16.0,23.57,17.0,1.0
8_1344000_726750000_2133000000,177.2681474685669,16.0,24.978,25.0,20.0,12.0,0.9,30.0,8_1344000_726750000_2133000000,177.2681474685669,16.0,24.978,20.0,1.0
12_1344000_726750000_2133000000,176.316499710083,16.0,25.38,26.0,21.0,12.0,0.9,30.0,8_1958400_726750000_2133000000,161.7947816848755,16.0,25.902,23.0,1.0
12_1344000_726750000_2133000000,176.316499710083,16.0,25.38,27.0,21.0,12.0,0.9,30.0,8_1958400_726750000_2133000000,161.7947816848755,16.0,25.902,23.0,1.0
8_1036800_726750000_3199000000,172.42205142974854,16.0,27.088,28.0,22.0,12.0,0.9,30.0,8_1344000_1134750000_2133000000,153.62608432769775,16.0,27.601,24.0,1.0
8_1651200_726750000_3199000000,154.43050861358645,16.0,28.408,29.0,26.0,12.0,0.9,30.0,8_1651200_726750000_3199000000,154.43050861358645,16.0,28.408,26.0,1.0
8_1958400_726750000_3199000000,144.3558931350708,16.0,29.612,30.0,27.0,12.0,0.9,30.0,12_1958400_726750000_3199000000,142.7102088928223,16.0,29.813,28.0,1.0
8_2201600_726750000_3199000000,146.19052410125732,16.0,30.61,31.0,28.0,12.0,0.9,30.0,4_1344000_930750000_3199000000,148.0107307434082,16.0,30.716,30.0,1.0
8_2201600_726750000_3199000000,146.19052410125732,16.0,30.61,32.0,28.0,12.0,0.9,30.0,8_1344000_930750000_3199000000,136.957049369812,16.0,31.823,32.0,1.0
8_2201600_726750000_3199000000,146.19052410125732,16.0,30.61,33.0,28.0,12.0,0.9,30.0,8_1651200_930750000_3199000000,130.7504177093506,16.0,32.429,33.0,1.0
8_2201600_726750000_3199000000,146.19052410125732,16.0,30.61,34.0,28.0,12.0,0.9,30.0,8_1651200_1134750000_3199000000,120.08345127105711,16.0,33.54,36.0,1.0
8_2201600_930750000_3199000000,123.6196756362915,16.0,34.532,35.0,35.0,12.0,0.9,30.0,8_1651200_1134750000_3199000000,120.08345127105711,16.0,33.54,36.0,1.0
8_2201600_930750000_3199000000,123.6196756362915,16.0,34.532,36.0,35.0,12.0,0.9,30.0,8_1651200_1134750000_3199000000,120.08345127105711,16.0,33.54,36.0,1.0
8_2201600_930750000_3199000000,123.6196756362915,16.0,34.532,37.0,35.0,12.0,0.9,30.0,8_1958400_1134750000_3199000000,116.22238159179688,16.0,36.755,37.0,1.0
8_2201600_1134750000_3199000000,113.34848403930664,16.0,37.55,38.0,38.0,12.0,0.9,30.0,8_2201600_1134750000_3199000000,113.34848403930664,16.0,37.55,38.0,1.0
8_2201600_1134750000_3199000000,113.34848403930664,16.0,37.55,39.0,38.0,12.0,0.9,30.0,8_2201600_1134750000_3199000000,113.34848403930664,16.0,37.55,38.0,1.0
