observed_time_algo,observed_time_optim,power_budget
225.81708431243896,205.2686214447021,20.0
191.9349431991577,191.9349431991577,21.0
210.17086505889893,189.3515586853028,22.0
190.08243083953852,183.76147747039795,23.0
196.7557668685913,180.2200078964233,24.0
185.77289581298828,180.2200078964233,25.0
185.77289581298828,180.2200078964233,26.0
185.77289581298828,180.2200078964233,27.0
185.77289581298828,180.2200078964233,28.0
185.77289581298828,180.2200078964233,29.0
185.77289581298828,180.2200078964233,30.0
185.77289581298828,180.2200078964233,31.0
185.77289581298828,180.2200078964233,32.0
185.77289581298828,180.2200078964233,33.0
185.77289581298828,180.2200078964233,34.0
185.77289581298828,180.2200078964233,35.0
185.77289581298828,180.2200078964233,36.0
185.77289581298828,180.2200078964233,37.0
185.77289581298828,180.2200078964233,38.0
185.77289581298828,180.2200078964233,39.0
185.77289581298828,180.2200078964233,40.0
185.77289581298828,180.2200078964233,41.0
185.77289581298828,180.2200078964233,42.0
185.77289581298828,180.2200078964233,43.0
185.77289581298828,180.2200078964233,44.0
185.77289581298828,180.2200078964233,45.0
185.77289581298828,180.2200078964233,46.0
185.77289581298828,180.2200078964233,47.0
185.77289581298828,180.2200078964233,48.0
185.77289581298828,180.2200078964233,49.0
185.77289581298828,180.2200078964233,50.0
