cores_algo,cpu_algo,gpu_algo,mem_algo,algo_time,algo_power,power_budget,cores_optimal,cpu_optimal,gpu_optimal,mem_optimal,optim_time,optim_power
8.0,2201600.0,726750000.0,2133000000.0,225.81708431243896,18.729,20.0,4.0,1958400.0,930750000.0,3199000000.0,205.2686214447021,19.736
8.0,2201600.0,726750000.0,2133000000.0,225.81708431243896,18.729,21.0,4.0,2201600.0,930750000.0,3199000000.0,191.9349431991577,20.743
8.0,2201600.0,726750000.0,2133000000.0,225.81708431243896,18.729,22.0,8.0,2201600.0,930750000.0,3199000000.0,189.3515586853028,21.25
8.0,2201600.0,726750000.0,2133000000.0,225.81708431243896,18.729,23.0,12.0,2201600.0,1134750000.0,3199000000.0,183.76147747039795,22.948
8.0,2201600.0,726750000.0,2133000000.0,225.81708431243896,18.729,24.0,4.0,2201600.0,1300500000.0,3199000000.0,180.2200078964233,23.562
8.0,2201600.0,726750000.0,2133000000.0,225.81708431243896,18.729,25.0,4.0,2201600.0,1300500000.0,3199000000.0,180.2200078964233,23.562
8.0,2201600.0,726750000.0,2133000000.0,225.81708431243896,18.729,26.0,4.0,2201600.0,1300500000.0,3199000000.0,180.2200078964233,23.562
8.0,2201600.0,726750000.0,2133000000.0,225.81708431243896,18.729,27.0,4.0,2201600.0,1300500000.0,3199000000.0,180.2200078964233,23.562
8.0,2201600.0,726750000.0,2133000000.0,225.81708431243896,18.729,28.0,4.0,2201600.0,1300500000.0,3199000000.0,180.2200078964233,23.562
8.0,2201600.0,726750000.0,2133000000.0,225.81708431243896,18.729,29.0,4.0,2201600.0,1300500000.0,3199000000.0,180.2200078964233,23.562
8.0,2201600.0,726750000.0,2133000000.0,225.81708431243896,18.729,30.0,4.0,2201600.0,1300500000.0,3199000000.0,180.2200078964233,23.562
8.0,2201600.0,726750000.0,2133000000.0,225.81708431243896,18.729,31.0,4.0,2201600.0,1300500000.0,3199000000.0,180.2200078964233,23.562
8.0,2201600.0,726750000.0,2133000000.0,225.81708431243896,18.729,32.0,4.0,2201600.0,1300500000.0,3199000000.0,180.2200078964233,23.562
8.0,2201600.0,726750000.0,2133000000.0,225.81708431243896,18.729,33.0,4.0,2201600.0,1300500000.0,3199000000.0,180.2200078964233,23.562
8.0,2201600.0,726750000.0,2133000000.0,225.81708431243896,18.729,34.0,4.0,2201600.0,1300500000.0,3199000000.0,180.2200078964233,23.562
8.0,2201600.0,726750000.0,2133000000.0,225.81708431243896,18.729,35.0,4.0,2201600.0,1300500000.0,3199000000.0,180.2200078964233,23.562
8.0,2201600.0,726750000.0,2133000000.0,225.81708431243896,18.729,36.0,4.0,2201600.0,1300500000.0,3199000000.0,180.2200078964233,23.562
8.0,2201600.0,726750000.0,2133000000.0,225.81708431243896,18.729,37.0,4.0,2201600.0,1300500000.0,3199000000.0,180.2200078964233,23.562
8.0,2201600.0,726750000.0,2133000000.0,225.81708431243896,18.729,38.0,4.0,2201600.0,1300500000.0,3199000000.0,180.2200078964233,23.562
8.0,2201600.0,726750000.0,2133000000.0,225.81708431243896,18.729,39.0,4.0,2201600.0,1300500000.0,3199000000.0,180.2200078964233,23.562
8.0,2201600.0,726750000.0,2133000000.0,225.81708431243896,18.729,40.0,4.0,2201600.0,1300500000.0,3199000000.0,180.2200078964233,23.562
8.0,2201600.0,726750000.0,2133000000.0,225.81708431243896,18.729,41.0,4.0,2201600.0,1300500000.0,3199000000.0,180.2200078964233,23.562
8.0,2201600.0,726750000.0,2133000000.0,225.81708431243896,18.729,42.0,4.0,2201600.0,1300500000.0,3199000000.0,180.2200078964233,23.562
8.0,2201600.0,726750000.0,2133000000.0,225.81708431243896,18.729,43.0,4.0,2201600.0,1300500000.0,3199000000.0,180.2200078964233,23.562
8.0,2201600.0,726750000.0,2133000000.0,225.81708431243896,18.729,44.0,4.0,2201600.0,1300500000.0,3199000000.0,180.2200078964233,23.562
8.0,2201600.0,726750000.0,2133000000.0,225.81708431243896,18.729,45.0,4.0,2201600.0,1300500000.0,3199000000.0,180.2200078964233,23.562
8.0,2201600.0,726750000.0,2133000000.0,225.81708431243896,18.729,46.0,4.0,2201600.0,1300500000.0,3199000000.0,180.2200078964233,23.562
8.0,2201600.0,726750000.0,2133000000.0,225.81708431243896,18.729,47.0,4.0,2201600.0,1300500000.0,3199000000.0,180.2200078964233,23.562
8.0,2201600.0,726750000.0,2133000000.0,225.81708431243896,18.729,48.0,4.0,2201600.0,1300500000.0,3199000000.0,180.2200078964233,23.562
8.0,2201600.0,726750000.0,2133000000.0,225.81708431243896,18.729,49.0,4.0,2201600.0,1300500000.0,3199000000.0,180.2200078964233,23.562
8.0,2201600.0,726750000.0,2133000000.0,225.81708431243896,18.729,50.0,4.0,2201600.0,1300500000.0,3199000000.0,180.2200078964233,23.562
