cpu_bs,gpu_bs,mem_bs,cores_bs,observed_time_bs,observed_power_bs,power_budget,num_pwds,cpu_optim,gpu_optim,mem_optim,cores_optim,observed_time_optim,observed_power_optim
0.0,0.0,0.0,0.0,0.0,0.0,10.0,7.0,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,11.0,7.0,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,12.0,7.0,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,13.0,7.0,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,14.0,7.0,0,0,0,0,0,0
422400.0,114750000.0,665600000.0,4.0,82.12113571166992,14.509,15.0,7.0,0,0,0,0,0,0
422400.0,318750000.0,665600000.0,4.0,50.69670295715332,15.92,16.0,7.0,0,0,0,0,0,0
1036800.0,318750000.0,665600000.0,4.0,46.13492774963379,16.923,17.0,7.0,0,0,0,0,0,0
1036800.0,522750000.0,665600000.0,4.0,44.33033752441406,17.426,18.0,7.0,0,0,0,0,0,0
1036800.0,522750000.0,665600000.0,4.0,44.33033752441406,17.426,19.0,7.0,0,0,0,0,0,0
729600.0,318750000.0,2133000000.0,12.0,30.561887741088867,19.442,20.0,7.0,0,0,0,0,0,0
729600.0,318750000.0,2133000000.0,12.0,30.561887741088867,19.442,21.0,7.0,0,0,0,0,0,0
1036800.0,318750000.0,3199000000.0,12.0,29.47118377685547,21.351,22.0,7.0,0,0,0,0,0,0
1036800.0,318750000.0,3199000000.0,12.0,29.47118377685547,21.351,23.0,7.0,0,0,0,0,0,0
1036800.0,318750000.0,3199000000.0,12.0,29.47118377685547,21.351,24.0,7.0,0,0,0,0,0,0
1344000.0,726750000.0,2133000000.0,8.0,17.03391933441162,24.978,25.0,7.0,0,0,0,0,0,0
1958400.0,726750000.0,2133000000.0,8.0,15.932944297790527,25.884,26.0,7.0,0,0,0,0,0,0
1958400.0,726750000.0,2133000000.0,8.0,15.932944297790527,25.884,27.0,7.0,0,0,0,0,0,0
1958400.0,726750000.0,2133000000.0,8.0,15.932944297790527,25.884,28.0,7.0,0,0,0,0,0,0
1958400.0,726750000.0,2133000000.0,8.0,15.932944297790527,25.884,29.0,7.0,0,0,0,0,0,0
1958400.0,726750000.0,2133000000.0,8.0,15.932944297790527,25.884,30.0,7.0,0,0,0,0,0,0
1958400.0,1134750000.0,2133000000.0,8.0,14.656767845153809,30.913,31.0,7.0,0,0,0,0,0,0
1958400.0,1134750000.0,2133000000.0,8.0,14.656767845153809,30.913,32.0,7.0,0,0,0,0,0,0
1958400.0,1134750000.0,2133000000.0,8.0,14.656767845153809,30.913,33.0,7.0,0,0,0,0,0,0
1651200.0,930750000.0,3199000000.0,12.0,11.836656093597412,33.033,34.0,7.0,0,0,0,0,0,0
1651200.0,930750000.0,3199000000.0,12.0,11.836656093597412,33.033,35.0,7.0,0,0,0,0,0,0
1651200.0,930750000.0,3199000000.0,12.0,11.836656093597412,33.033,36.0,7.0,0,0,0,0,0,0
1651200.0,1134750000.0,3199000000.0,12.0,11.306911945343018,36.058,37.0,7.0,0,0,0,0,0,0
1958400.0,1134750000.0,3199000000.0,12.0,11.166032314300535,37.156,38.0,7.0,0,0,0,0,0,0
2201600.0,1134750000.0,3199000000.0,12.0,11.098351955413818,38.564,39.0,7.0,0,0,0,0,0,0
2201600.0,1134750000.0,3199000000.0,12.0,11.098351955413818,38.564,40.0,7.0,0,0,0,0,0,0
2201600.0,1134750000.0,3199000000.0,12.0,11.098351955413818,38.564,41.0,7.0,0,0,0,0,0,0
2201600.0,1300500000.0,3199000000.0,12.0,10.531967639923096,41.883,42.0,7.0,0,0,0,0,0,0
2201600.0,1300500000.0,3199000000.0,12.0,10.531967639923096,41.883,43.0,7.0,0,0,0,0,0,0
2201600.0,1300500000.0,3199000000.0,12.0,10.531967639923096,41.883,44.0,7.0,0,0,0,0,0,0
2201600.0,1300500000.0,3199000000.0,12.0,10.531967639923096,41.883,45.0,7.0,0,0,0,0,0,0
2201600.0,1300500000.0,3199000000.0,12.0,10.531967639923096,41.883,46.0,7.0,0,0,0,0,0,0
2201600.0,1300500000.0,3199000000.0,12.0,10.531967639923096,41.883,47.0,7.0,0,0,0,0,0,0
2201600.0,1300500000.0,3199000000.0,12.0,10.531967639923096,41.883,48.0,7.0,0,0,0,0,0,0
2201600.0,1300500000.0,3199000000.0,12.0,10.531967639923096,41.883,49.0,7.0,0,0,0,0,0,0
2201600.0,1300500000.0,3199000000.0,12.0,10.531967639923096,41.883,50.0,7.0,0,0,0,0,0,0
