cores_algo,cpu_algo,gpu_algo,mem_algo,bs_algo,algo_time,algo_power,power_budget,num_pwds,visited_dim,tries,cores_optimal,cpu_optimal,gpu_optimal,mem_optimal,bs_optimal,optim_time,optim_power
0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,9.0,8.0,1651200.0,318750000.0,2133000000.0,4.0,28.94377613067627,17.963
8.0,1344000.0,726750000.0,3199000000.0,4.0,31.672800064086918,18.562,19.0,9.0,4.0,16.0,12.0,1651200.0,522750000.0,2133000000.0,4.0,26.50921630859375,18.5105
8.0,1344000.0,726750000.0,3199000000.0,4.0,31.672800064086918,18.562,20.0,9.0,4.0,16.0,8.0,1958400.0,522750000.0,2133000000.0,4.0,24.997648239135746,19.462
8.0,2201600.0,726750000.0,2133000000.0,4.0,23.342559814453125,20.7635,21.0,9.0,4.0,13.0,8.0,2201600.0,726750000.0,2133000000.0,4.0,23.342559814453125,20.7635
8.0,2201600.0,726750000.0,2133000000.0,4.0,23.342559814453125,20.7635,22.0,9.0,4.0,13.0,8.0,2201600.0,522750000.0,3199000000.0,4.0,21.3819522857666,21.922
8.0,2201600.0,726750000.0,2133000000.0,4.0,23.342559814453125,20.7635,23.0,9.0,4.0,13.0,8.0,2201600.0,522750000.0,3199000000.0,4.0,21.3819522857666,21.922
8.0,2201600.0,726750000.0,3199000000.0,4.0,21.399072647094727,23.774,24.0,9.0,4.0,10.0,12.0,2201600.0,726750000.0,3199000000.0,4.0,20.004847526550293,23.374
8.0,2201600.0,726750000.0,3199000000.0,4.0,21.399072647094727,23.774,25.0,9.0,4.0,10.0,12.0,2201600.0,930750000.0,3199000000.0,4.0,19.892831802368164,24.021
8.0,2201600.0,726750000.0,3199000000.0,4.0,21.399072647094727,23.774,26.0,9.0,4.0,10.0,12.0,2201600.0,930750000.0,3199000000.0,4.0,19.892831802368164,24.021
8.0,2201600.0,726750000.0,3199000000.0,4.0,21.399072647094727,23.774,27.0,9.0,4.0,10.0,12.0,2201600.0,1300500000.0,3199000000.0,4.0,19.83076858520508,26.3805
