total,used,free,log_time
3.6Gi,4.0Mi,3.6Gi,2.4834206104278564
3.6Gi,4.0Mi,3.6Gi,3.956538200378418
3.6Gi,4.0Mi,3.6Gi,5.21699595451355
3.6Gi,4.0Mi,3.6Gi,6.584082841873169
3.6Gi,4.0Mi,3.6Gi,8.014125108718872
3.6Gi,4.0Mi,3.6Gi,9.27067756652832
3.6Gi,4.0Mi,3.6Gi,10.612863540649414
3.6Gi,4.0Mi,3.6Gi,12.131057977676392
3.6Gi,4.0Mi,3.6Gi,13.358091592788696
3.6Gi,4.0Mi,3.6Gi,14.55093264579773
3.6Gi,4.0Mi,3.6Gi,15.858620643615723
3.6Gi,4.0Mi,3.6Gi,17.048218727111816
3.6Gi,4.0Mi,3.6Gi,18.2414767742157
3.6Gi,4.0Mi,3.6Gi,19.41461157798767
3.6Gi,4.0Mi,3.6Gi,20.590515851974487
3.6Gi,4.0Mi,3.6Gi,21.77120614051819
3.6Gi,4.0Mi,3.6Gi,22.951013565063477
3.6Gi,4.0Mi,3.6Gi,24.128469228744507
3.6Gi,4.0Mi,3.6Gi,25.356685161590576
3.6Gi,4.0Mi,3.6Gi,26.552274703979492
3.6Gi,4.0Mi,3.6Gi,27.738590717315674
3.6Gi,4.0Mi,3.6Gi,28.903029918670654
3.6Gi,4.0Mi,3.6Gi,30.087703943252563
3.6Gi,4.0Mi,3.6Gi,31.27972412109375
3.6Gi,4.0Mi,3.6Gi,32.445525884628296
3.6Gi,4.0Mi,3.6Gi,33.62468099594116
3.6Gi,4.0Mi,3.6Gi,34.8143515586853
3.6Gi,4.0Mi,3.6Gi,35.99185109138489
3.6Gi,4.0Mi,3.6Gi,37.16172003746033
3.6Gi,4.0Mi,3.6Gi,38.35444951057434
3.6Gi,4.0Mi,3.6Gi,39.526419162750244
3.6Gi,4.0Mi,3.6Gi,40.697720527648926
3.6Gi,4.0Mi,3.6Gi,41.85757827758789
3.6Gi,4.0Mi,3.6Gi,43.055569887161255
3.6Gi,4.0Mi,3.6Gi,44.22935652732849
3.6Gi,4.0Mi,3.6Gi,45.39756393432617
3.6Gi,4.0Mi,3.6Gi,46.59181475639343
3.6Gi,4.0Mi,3.6Gi,47.7644522190094
3.6Gi,4.0Mi,3.6Gi,48.93472647666931
3.6Gi,4.0Mi,3.6Gi,50.122053384780884
3.6Gi,4.0Mi,3.6Gi,51.303725719451904
3.6Gi,4.0Mi,3.6Gi,52.46688270568848
3.6Gi,4.0Mi,3.6Gi,53.6506450176239
3.6Gi,4.0Mi,3.6Gi,54.840885639190674
3.6Gi,4.0Mi,3.6Gi,56.00639057159424
3.6Gi,4.0Mi,3.6Gi,57.19233727455139
3.6Gi,4.0Mi,3.6Gi,58.359750509262085
3.6Gi,4.0Mi,3.6Gi,59.53819251060486
3.6Gi,4.0Mi,3.6Gi,60.725791454315186
3.6Gi,4.0Mi,3.6Gi,61.903242111206055
3.6Gi,4.0Mi,3.6Gi,63.100645780563354
3.6Gi,4.0Mi,3.6Gi,64.27635502815247
3.6Gi,4.0Mi,3.6Gi,65.4743754863739
3.6Gi,4.0Mi,3.6Gi,66.67126631736755
3.6Gi,4.0Mi,3.6Gi,67.84049916267395
3.6Gi,4.0Mi,3.6Gi,69.0248920917511
3.6Gi,4.0Mi,3.6Gi,70.19866609573364
3.6Gi,4.0Mi,3.6Gi,71.37237071990967
3.6Gi,4.0Mi,3.6Gi,72.56251764297485
3.6Gi,4.0Mi,3.6Gi,73.73654198646545
3.6Gi,4.0Mi,3.6Gi,74.93797755241394
3.6Gi,4.0Mi,3.6Gi,76.13602209091187
3.6Gi,4.0Mi,3.6Gi,77.3135838508606
3.6Gi,4.0Mi,3.6Gi,78.50132775306702
3.6Gi,4.0Mi,3.6Gi,79.67311763763428
3.6Gi,4.0Mi,3.6Gi,80.85917520523071
3.6Gi,4.0Mi,3.6Gi,82.02790784835815
3.6Gi,4.0Mi,3.6Gi,83.19828629493713
3.6Gi,4.0Mi,3.6Gi,84.40642094612122
3.6Gi,4.0Mi,3.6Gi,85.59942126274109
3.6Gi,4.0Mi,3.6Gi,86.77509832382202
3.6Gi,4.0Mi,3.6Gi,87.96533942222595
3.6Gi,4.0Mi,3.6Gi,89.13668441772461
3.6Gi,4.0Mi,3.6Gi,90.32941055297852
3.6Gi,4.0Mi,3.6Gi,91.60620927810669
3.6Gi,4.0Mi,3.6Gi,92.79988884925842
3.6Gi,4.0Mi,3.6Gi,94.03495788574219
3.6Gi,4.0Mi,3.6Gi,95.31842517852783
3.6Gi,4.0Mi,3.6Gi,96.62952041625977
3.6Gi,4.0Mi,3.6Gi,97.84605026245117
3.6Gi,4.0Mi,3.6Gi,99.07072758674622
3.6Gi,4.0Mi,3.6Gi,100.48658633232117
3.6Gi,4.0Mi,3.6Gi,101.69714331626892
3.6Gi,4.0Mi,3.6Gi,102.89644241333008
3.6Gi,4.0Mi,3.6Gi,104.11861801147461
3.6Gi,4.0Mi,3.6Gi,105.49897623062134
3.6Gi,4.0Mi,3.6Gi,106.70026993751526
3.6Gi,6.0Mi,3.6Gi,108.09092926979065
3.6Gi,6.0Mi,3.6Gi,109.47456789016724
3.6Gi,6.0Mi,3.6Gi,110.70087766647339
3.6Gi,6.0Mi,3.6Gi,111.916921377182
3.6Gi,6.0Mi,3.6Gi,113.1258978843689
3.6Gi,7.0Mi,3.6Gi,114.3379979133606
3.6Gi,7.0Mi,3.6Gi,115.5694682598114
