total,used,free,shared,buff/cache,available,log_time
7.2Gi,2.4Gi,2.5Gi,20Mi,2.3Gi,4.5Gi,2.123931407928467
7.2Gi,2.6Gi,2.2Gi,57Mi,2.3Gi,4.3Gi,3.3721048831939697
7.2Gi,3.2Gi,1.6Gi,103Mi,2.4Gi,3.7Gi,4.772252082824707
7.2Gi,3.6Gi,1.2Gi,103Mi,2.4Gi,3.2Gi,5.9401867389678955
7.2Gi,4.3Gi,494Mi,103Mi,2.4Gi,2.5Gi,7.128772020339966
7.2Gi,4.6Gi,190Mi,103Mi,2.4Gi,2.2Gi,8.328870296478271
7.2Gi,4.6Gi,185Mi,103Mi,2.4Gi,2.2Gi,9.45949935913086
7.2Gi,4.6Gi,177Mi,94Mi,2.3Gi,2.2Gi,10.641756296157837
7.2Gi,4.7Gi,175Mi,94Mi,2.3Gi,2.2Gi,12.036913871765137
7.2Gi,4.7Gi,166Mi,103Mi,2.4Gi,2.2Gi,13.236266374588013
7.2Gi,4.7Gi,175Mi,94Mi,2.3Gi,2.2Gi,14.455128192901611
7.2Gi,4.7Gi,164Mi,103Mi,2.4Gi,2.2Gi,15.621186971664429
7.2Gi,4.7Gi,175Mi,94Mi,2.3Gi,2.2Gi,16.998130559921265
7.2Gi,4.7Gi,175Mi,94Mi,2.3Gi,2.2Gi,18.22659134864807
7.2Gi,4.7Gi,174Mi,94Mi,2.3Gi,2.2Gi,19.38066792488098
7.2Gi,4.7Gi,172Mi,94Mi,2.3Gi,2.2Gi,20.563862800598145
