epoch,batch_idx,computetime,computetime_ms,log_time
0,0,null,14815.6064453125,26.052216291427612
0,1,null,435.0191345214844,26.529916524887085
0,2,null,440.68743896484375,26.998409748077393
0,3,null,437.74639892578125,27.499529123306274
0,4,null,431.0264892578125,27.971737384796143
0,5,null,426.5349426269531,28.417662858963013
0,6,null,438.2193298339844,28.87074899673462
0,7,null,430.9032287597656,29.316471099853516
0,8,null,477.6375732421875,29.813334941864014
0,9,null,433.7124938964844,30.3722243309021
0,10,null,433.6662902832031,30.829598426818848
0,11,null,431.23211669921875,31.275920867919922
0,12,null,435.9727783203125,31.73284077644348
0,13,null,427.126708984375,32.238731145858765
0,14,null,428.68023681640625,32.68621850013733
0,15,null,431.8706970214844,33.15344262123108
0,16,null,432.6054382324219,33.61172080039978
0,17,null,433.27099609375,34.15245175361633
0,18,null,436.2900695800781,34.60710096359253
0,19,null,431.1918640136719,35.21518039703369
0,20,null,431.4772033691406,35.71156907081604
0,21,null,436.1163635253906,36.22157144546509
0,22,null,427.49761962890625,36.67229247093201
0,23,null,431.52947998046875,37.12675380706787
0,24,null,435.52154541015625,37.57737898826599
0,25,null,431.72845458984375,38.03011655807495
0,26,null,427.9934387207031,38.486748695373535
0,27,null,439.9119873046875,38.95338439941406
0,28,null,426.5117492675781,39.39907622337341
0,29,null,431.161865234375,39.851027965545654
0,30,null,435.92608642578125,40.31222438812256
0,31,null,432.7838134765625,40.763431787490845
0,32,null,431.0482177734375,41.256911754608154
0,33,null,437.7427978515625,41.71175217628479
0,34,null,428.67034912109375,42.175639152526855
0,35,null,431.0297546386719,42.62265920639038
0,36,null,434.8665771484375,43.08234691619873
0,37,null,433.3861389160156,43.53544521331787
0,38,null,431.6051025390625,44.03313970565796
0,39,null,432.55584716796875,44.54389786720276
