val,frq,min_freq,max_freq,FreqOverride,log_time
6,665000,204000000,665600000,1,0.2150571346282959
6,665000,204000000,665600000,1,0.2150571346282959
1,2133000,204000000,2133000000,1,0.8651382923126221
1,2133000,204000000,2133000000,1,2.095545768737793
1,2133000,204000000,2133000000,1,3.3269052505493164
1,2133000,204000000,2133000000,1,4.568882942199707
2,2133000,204000000,2133000000,1,5.809349775314331
2,2133000,204000000,2133000000,1,7.064236402511597
2,2133000,204000000,2133000000,1,8.301647186279297
2,2133000,204000000,2133000000,1,9.536411762237549
1,2133000,204000000,2133000000,1,10.771926403045654
1,2133000,204000000,2133000000,1,12.004816055297852
2,2133000,204000000,2133000000,1,13.247918844223022
3,2133000,204000000,2133000000,1,14.487531185150146
18,2133000,204000000,2133000000,1,15.870754957199097
36,2133000,204000000,2133000000,1,17.19145154953003
43,2133000,204000000,2133000000,1,18.468164920806885
46,2133000,204000000,2133000000,1,19.735897541046143
48,2133000,204000000,2133000000,1,21.066648721694946
44,2133000,204000000,2133000000,1,22.36655068397522
