powermode_algo,infer_time_algo,bs_algo,interleaved_power_algo,power_budget,num_train_batches_algo,num_tries_algo,time_budget,arr_rate,powermode_optim,infer_time_optim,bs_optim,interleaved_power_optim,num_train_batches_optim,num_tries_optim
8_1036800_1300500000_3199000000,80.4239387512207,1.0,46.831,47.0,14.0,14.0,2.0,1.0,8_1958400_1134750000_3199000000,66.93260955810547,1.0,46.13,14.0,1.0
8_1036800_1300500000_3199000000,80.4239387512207,1.0,46.831,48.0,14.0,14.0,2.0,1.0,8_1958400_1134750000_3199000000,66.93260955810547,1.0,46.13,14.0,1.0
8_1036800_1300500000_3199000000,80.4239387512207,1.0,46.831,49.0,14.0,14.0,2.0,1.0,8_1651200_1300500000_3199000000,72.36491012573242,1.0,48.133,15.0,1.0
8_1036800_1300500000_3199000000,80.4239387512207,1.0,46.831,50.0,14.0,14.0,2.0,1.0,4_2201600_1300500000_3199000000,66.8863525390625,1.0,49.623,15.0,1.0
8_1036800_1300500000_3199000000,80.4239387512207,1.0,46.831,51.0,14.0,14.0,2.0,1.0,4_2201600_1300500000_3199000000,66.8863525390625,1.0,49.623,15.0,1.0
8_1036800_1300500000_3199000000,80.4239387512207,1.0,46.831,52.0,14.0,14.0,2.0,1.0,4_2201600_1300500000_3199000000,66.8863525390625,1.0,49.623,15.0,1.0
8_1958400_1300500000_3199000000,64.40662574768066,1.0,52.825,53.0,15.0,14.0,2.0,1.0,8_1958400_1300500000_3199000000,64.40662574768066,1.0,52.825,15.0,1.0
8_1958400_1300500000_3199000000,64.40662574768066,1.0,52.825,54.0,15.0,14.0,2.0,1.0,8_1958400_1300500000_3199000000,64.40662574768066,1.0,52.825,15.0,1.0
8_1958400_1300500000_3199000000,64.40662574768066,1.0,52.825,55.0,15.0,14.0,2.0,1.0,4_1958400_1300500000_3199000000,63.62516784667969,1.0,54.343,15.0,1.0
8_1958400_1300500000_3199000000,64.40662574768066,1.0,52.825,56.0,15.0,14.0,2.0,1.0,12_1958400_1300500000_3199000000,62.254831314086914,1.0,55.245,15.0,1.0
8_1958400_1300500000_3199000000,64.40662574768066,1.0,52.825,57.0,15.0,14.0,2.0,1.0,12_1958400_1300500000_3199000000,62.254831314086914,1.0,55.245,15.0,1.0
